Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
NonMatch/digits_on_letters,CTRE,1024,1.11,0.04,1.08,1.17,1.08,1.06,1.16,0
NonMatch/digits_on_letters,CTRE,128,1.08,0.01,1.07,1.08,1.08,1.07,1.08,0
NonMatch/digits_on_letters,CTRE,16,1.21,0.29,1.08,1.72,1.08,0.85,1.56,0
NonMatch/digits_on_letters,CTRE,16384,1.15,0.02,1.13,1.19,1.14,1.12,1.18,0
NonMatch/digits_on_letters,CTRE,2048,1.11,0.03,1.09,1.16,1.09,1.07,1.16,0
NonMatch/digits_on_letters,CTRE,256,1.20,0.26,1.08,1.67,1.08,0.87,1.53,0
NonMatch/digits_on_letters,CTRE,32,1.08,0.01,1.07,1.08,1.08,1.07,1.08,0
NonMatch/digits_on_letters,CTRE,32768,1.14,0.01,1.13,1.15,1.14,1.13,1.15,0
NonMatch/digits_on_letters,CTRE,4096,1.15,0.01,1.14,1.15,1.15,1.14,1.15,0
NonMatch/digits_on_letters,CTRE,512,1.08,0.00,1.08,1.08,1.08,0.00,nan,0
NonMatch/digits_on_letters,CTRE,64,1.08,0.01,1.07,1.08,1.08,1.07,1.08,0
NonMatch/digits_on_letters,CTRE,8192,1.14,0.01,1.14,1.15,1.14,1.14,1.15,0
NonMatch/digits_on_letters,Hyperscan,1024,27.42,0.61,26.67,28.05,27.61,26.66,28.19,0
NonMatch/digits_on_letters,Hyperscan,128,26.49,0.21,26.26,26.82,26.44,26.23,26.75,0
NonMatch/digits_on_letters,Hyperscan,16,12.42,0.25,12.23,12.86,12.33,12.11,12.73,0
NonMatch/digits_on_letters,Hyperscan,16384,27.63,0.98,26.86,28.86,26.97,26.42,28.85,0
NonMatch/digits_on_letters,Hyperscan,2048,26.93,0.43,26.65,27.66,26.68,26.39,27.47,0
NonMatch/digits_on_letters,Hyperscan,256,27.08,0.44,26.64,27.71,27.15,26.53,27.63,0
NonMatch/digits_on_letters,Hyperscan,32,12.45,0.32,12.25,13.02,12.33,12.06,12.85,0
NonMatch/digits_on_letters,Hyperscan,32768,28.06,0.93,26.96,29.01,28.42,26.90,29.22,0
NonMatch/digits_on_letters,Hyperscan,4096,27.69,0.79,26.85,28.77,27.33,26.71,28.67,0
NonMatch/digits_on_letters,Hyperscan,512,26.84,0.38,26.42,27.23,26.97,26.36,27.31,0
NonMatch/digits_on_letters,Hyperscan,64,27.60,0.63,26.70,28.47,27.57,26.81,28.39,0
NonMatch/digits_on_letters,Hyperscan,8192,27.72,0.79,26.84,28.72,27.68,26.74,28.70,0
NonMatch/digits_on_letters,PCRE2,1024,17.37,0.45,16.79,17.85,17.48,16.81,17.92,0
NonMatch/digits_on_letters,PCRE2,128,16.56,0.41,16.21,17.13,16.33,16.05,17.07,0
NonMatch/digits_on_letters,PCRE2,16,17.28,0.64,16.32,18.06,17.32,16.49,18.07,0
NonMatch/digits_on_letters,PCRE2,16384,16.75,0.61,16.22,17.64,16.39,15.99,17.51,0
NonMatch/digits_on_letters,PCRE2,2048,17.50,1.16,16.26,19.34,17.48,16.05,18.94,0
NonMatch/digits_on_letters,PCRE2,256,16.67,0.68,16.22,17.82,16.31,15.82,17.51,0
NonMatch/digits_on_letters,PCRE2,32,16.64,0.31,16.32,17.07,16.69,16.25,17.03,0
NonMatch/digits_on_letters,PCRE2,32768,16.67,0.60,16.21,17.70,16.40,15.92,17.42,0
NonMatch/digits_on_letters,PCRE2,4096,19.22,3.51,16.32,24.40,17.45,14.87,23.58,0
NonMatch/digits_on_letters,PCRE2,512,16.39,0.21,16.19,16.75,16.33,16.12,16.65,0
NonMatch/digits_on_letters,PCRE2,64,16.65,0.35,16.30,17.20,16.68,16.22,17.09,0
NonMatch/digits_on_letters,PCRE2,8192,16.78,0.71,16.22,17.83,16.37,15.90,17.66,0
NonMatch/digits_on_letters,RE2,1024,44.54,0.91,43.71,45.93,44.10,43.40,45.67,0
NonMatch/digits_on_letters,RE2,128,44.90,0.68,44.03,45.93,44.87,44.05,45.74,0
NonMatch/digits_on_letters,RE2,16,26.75,0.53,26.17,27.42,26.60,26.10,27.40,0
NonMatch/digits_on_letters,RE2,16384,46.06,0.93,44.85,47.23,45.89,44.90,47.22,0
NonMatch/digits_on_letters,RE2,2048,44.28,0.37,43.81,44.74,44.25,43.82,44.73,0
NonMatch/digits_on_letters,RE2,256,45.01,0.63,44.46,46.05,44.85,44.23,45.79,0
NonMatch/digits_on_letters,RE2,32,44.44,0.74,43.74,45.59,44.47,43.52,45.36,0
NonMatch/digits_on_letters,RE2,32768,45.79,0.43,45.26,46.35,45.85,45.25,46.33,0
NonMatch/digits_on_letters,RE2,4096,45.45,1.46,44.02,47.65,44.88,43.64,47.26,0
NonMatch/digits_on_letters,RE2,512,44.45,0.68,43.69,45.45,44.35,43.61,45.29,0
NonMatch/digits_on_letters,RE2,64,45.30,0.65,44.63,46.30,45.25,44.49,46.10,0
NonMatch/digits_on_letters,RE2,8192,46.36,0.75,45.55,47.34,46.09,45.43,47.28,0
NonMatch/digits_on_letters,std::regex,1024,54.02,1.57,51.24,54.93,54.58,52.07,55.97,0
NonMatch/digits_on_letters,std::regex,128,57.66,3.93,52.18,61.00,59.38,52.79,62.54,0
NonMatch/digits_on_letters,std::regex,16,56.72,2.62,54.93,61.29,55.93,53.47,59.98,0
NonMatch/digits_on_letters,std::regex,2048,53.43,2.02,51.24,55.33,54.38,50.93,55.93,0
NonMatch/digits_on_letters,std::regex,256,58.17,5.00,51.32,63.86,59.75,51.95,64.38,0
NonMatch/digits_on_letters,std::regex,32,53.76,2.44,51.25,56.90,54.37,50.73,56.80,0
NonMatch/digits_on_letters,std::regex,4096,54.00,2.87,51.27,58.13,54.37,50.43,57.57,0
NonMatch/digits_on_letters,std::regex,512,53.63,2.25,51.25,55.98,54.40,50.84,56.42,0
NonMatch/digits_on_letters,std::regex,64,55.36,2.96,51.25,58.43,56.89,51.68,59.04,0
NonMatch/digits_on_letters,std::regex,8192,55.83,3.77,51.24,61.69,55.06,51.15,60.52,0
NonMatch/dom_alt,CTRE,1024,1.82,0.12,1.69,1.95,1.88,1.67,1.97,0
NonMatch/dom_alt,CTRE,128,1.76,0.04,1.70,1.79,1.77,1.72,1.80,0
NonMatch/dom_alt,CTRE,16,1.64,0.02,1.62,1.67,1.62,1.61,1.66,0
NonMatch/dom_alt,CTRE,16384,2.01,0.08,1.88,2.07,2.02,1.92,2.10,0
NonMatch/dom_alt,CTRE,2048,1.85,0.05,1.76,1.88,1.86,1.79,1.91,0
NonMatch/dom_alt,CTRE,256,1.78,0.02,1.76,1.80,1.79,1.77,1.80,0
NonMatch/dom_alt,CTRE,32,1.70,0.03,1.67,1.74,1.69,1.66,1.73,0
NonMatch/dom_alt,CTRE,32768,1.89,0.08,1.82,2.00,1.85,1.79,1.99,0
NonMatch/dom_alt,CTRE,4096,1.84,0.06,1.76,1.91,1.83,1.76,1.92,0
NonMatch/dom_alt,CTRE,512,1.79,0.02,1.77,1.82,1.80,1.77,1.82,0
NonMatch/dom_alt,CTRE,64,1.69,0.05,1.66,1.78,1.67,1.63,1.75,0
NonMatch/dom_alt,CTRE,8192,1.99,0.10,1.87,2.11,1.96,1.86,2.11,0
NonMatch/dom_alt,Hyperscan,1024,7.27,0.08,7.18,7.39,7.27,7.18,7.37,0
NonMatch/dom_alt,Hyperscan,128,7.33,0.08,7.27,7.46,7.31,7.23,7.42,0
NonMatch/dom_alt,Hyperscan,16,7.26,0.22,7.15,7.65,7.17,7.00,7.53,0
NonMatch/dom_alt,Hyperscan,16384,7.52,0.07,7.44,7.61,7.49,7.43,7.61,0
NonMatch/dom_alt,Hyperscan,2048,7.30,0.17,7.19,7.60,7.24,7.09,7.51,0
NonMatch/dom_alt,Hyperscan,256,7.23,0.06,7.18,7.32,7.19,7.15,7.30,0
NonMatch/dom_alt,Hyperscan,32,7.19,0.03,7.16,7.24,7.18,7.15,7.22,0
NonMatch/dom_alt,Hyperscan,32768,7.54,0.28,7.38,8.04,7.42,7.19,7.89,0
NonMatch/dom_alt,Hyperscan,4096,7.63,0.53,7.33,8.57,7.45,6.98,8.29,0
NonMatch/dom_alt,Hyperscan,512,7.56,0.75,7.17,8.90,7.27,6.63,8.49,0
NonMatch/dom_alt,Hyperscan,64,7.21,0.07,7.16,7.29,7.17,7.13,7.29,0
NonMatch/dom_alt,Hyperscan,8192,7.47,0.25,7.29,7.91,7.37,7.15,7.78,0
NonMatch/dom_alt,PCRE2,1024,18.14,0.38,17.62,18.58,18.28,17.67,18.61,0
NonMatch/dom_alt,PCRE2,128,17.93,0.29,17.64,18.35,17.91,17.57,18.29,0
NonMatch/dom_alt,PCRE2,16,17.84,0.37,17.41,18.36,17.89,17.38,18.31,0
NonMatch/dom_alt,PCRE2,16384,18.40,0.50,17.73,19.09,18.35,17.78,19.02,0
NonMatch/dom_alt,PCRE2,2048,17.84,0.53,17.30,18.43,17.68,17.18,18.49,0
NonMatch/dom_alt,PCRE2,256,18.03,0.50,17.48,18.70,18.03,17.41,18.66,0
NonMatch/dom_alt,PCRE2,32,17.86,0.48,17.45,18.66,17.76,17.27,18.46,0
NonMatch/dom_alt,PCRE2,32768,17.87,0.41,17.51,18.33,17.65,17.37,18.38,0
NonMatch/dom_alt,PCRE2,4096,17.70,0.38,17.33,18.33,17.67,17.23,18.17,0
NonMatch/dom_alt,PCRE2,512,17.86,0.23,17.62,18.19,17.82,17.57,18.15,0
NonMatch/dom_alt,PCRE2,64,17.69,0.33,17.34,18.17,17.61,17.27,18.10,0
NonMatch/dom_alt,PCRE2,8192,17.87,0.57,17.35,18.73,17.60,17.16,18.59,0
NonMatch/dom_alt,RE2,1024,47.30,0.85,46.35,48.57,46.96,46.24,48.35,0
NonMatch/dom_alt,RE2,128,46.79,0.77,46.00,47.73,46.88,45.84,47.75,0
NonMatch/dom_alt,RE2,16,27.97,0.57,27.56,28.84,27.61,27.27,28.68,0
