Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
NonMatch/digits_on_letters,CTRE-Scalar,1024,0.93,0.02,0.92,0.96,0.93,0.91,0.95,0
NonMatch/digits_on_letters,CTRE-Scalar,128,0.87,0.01,0.85,0.87,0.87,0.85,0.88,0
NonMatch/digits_on_letters,CTRE-Scalar,16,0.77,0.01,0.76,0.78,0.77,0.76,0.78,0
NonMatch/digits_on_letters,CTRE-Scalar,16384,1.02,0.01,1.00,1.04,1.02,1.00,1.04,0
NonMatch/digits_on_letters,CTRE-Scalar,2048,0.98,0.02,0.96,1.01,0.97,0.95,1.00,0
NonMatch/digits_on_letters,CTRE-Scalar,256,0.88,0.01,0.88,0.89,0.88,0.88,0.89,0
NonMatch/digits_on_letters,CTRE-Scalar,32,0.82,0.01,0.81,0.83,0.82,0.81,0.83,0
NonMatch/digits_on_letters,CTRE-Scalar,32768,1.02,0.01,1.00,1.03,1.02,1.00,1.03,0
NonMatch/digits_on_letters,CTRE-Scalar,4096,1.01,0.01,1.00,1.02,1.01,1.00,1.02,0
NonMatch/digits_on_letters,CTRE-Scalar,512,1.07,0.38,0.89,1.74,0.90,0.60,1.53,0
NonMatch/digits_on_letters,CTRE-Scalar,64,0.95,0.01,0.95,0.96,0.95,0.95,0.96,0
NonMatch/digits_on_letters,CTRE-Scalar,8192,1.03,0.02,1.01,1.06,1.02,1.00,1.05,0
NonMatch/digits_on_letters,Hyperscan,1024,26.92,0.22,26.71,27.22,26.85,26.65,27.20,0
NonMatch/digits_on_letters,Hyperscan,128,26.72,0.49,26.23,27.27,26.62,26.12,27.33,0
NonMatch/digits_on_letters,Hyperscan,16,12.64,0.54,12.23,13.37,12.31,11.98,13.31,0
NonMatch/digits_on_letters,Hyperscan,16384,27.46,0.41,27.03,28.07,27.39,26.95,27.98,0
NonMatch/digits_on_letters,Hyperscan,2048,26.79,0.24,26.61,27.18,26.67,26.50,27.08,0
NonMatch/digits_on_letters,Hyperscan,256,26.75,0.34,26.48,27.28,26.57,26.33,27.18,0
NonMatch/digits_on_letters,Hyperscan,32,12.44,0.28,12.26,12.92,12.36,12.10,12.78,0
NonMatch/digits_on_letters,Hyperscan,32768,27.79,0.70,26.95,28.46,28.09,26.93,28.66,0
NonMatch/digits_on_letters,Hyperscan,4096,27.77,1.57,26.59,30.49,27.09,25.81,29.72,0
NonMatch/digits_on_letters,Hyperscan,512,26.78,0.54,26.47,27.74,26.60,26.10,27.45,0
NonMatch/digits_on_letters,Hyperscan,64,27.69,0.18,27.47,27.90,27.67,27.47,27.91,0
NonMatch/digits_on_letters,Hyperscan,8192,27.42,0.96,26.77,29.05,26.92,26.22,28.61,0
NonMatch/digits_on_letters,PCRE2,1024,17.00,0.49,16.27,17.62,17.05,16.40,17.61,0
NonMatch/digits_on_letters,PCRE2,128,16.71,0.81,16.20,18.09,16.26,15.71,17.72,0
NonMatch/digits_on_letters,PCRE2,16,17.33,0.36,17.07,17.94,17.29,16.89,17.78,0
NonMatch/digits_on_letters,PCRE2,16384,16.71,0.46,16.23,17.27,16.82,16.14,17.28,0
NonMatch/digits_on_letters,PCRE2,2048,16.90,0.39,16.22,17.18,17.02,16.42,17.38,0
NonMatch/digits_on_letters,PCRE2,256,16.44,0.33,16.18,16.99,16.28,16.03,16.85,0
NonMatch/digits_on_letters,PCRE2,32,16.44,0.34,16.16,16.88,16.22,16.02,16.86,0
NonMatch/digits_on_letters,PCRE2,32768,16.54,0.64,16.20,17.68,16.28,15.74,17.33,0
NonMatch/digits_on_letters,PCRE2,4096,16.63,0.54,16.20,17.47,16.36,15.96,17.30,0
NonMatch/digits_on_letters,PCRE2,512,16.32,0.27,16.17,16.81,16.21,15.98,16.66,0
NonMatch/digits_on_letters,PCRE2,64,16.50,0.27,16.21,16.79,16.62,16.16,16.83,0
NonMatch/digits_on_letters,PCRE2,8192,16.86,0.40,16.21,17.20,17.01,16.36,17.36,0
NonMatch/digits_on_letters,RE2,1024,44.47,0.73,43.66,45.44,44.63,43.57,45.37,0
NonMatch/digits_on_letters,RE2,128,45.27,0.78,44.04,46.20,45.42,44.30,46.24,0
NonMatch/digits_on_letters,RE2,16,26.25,0.41,25.91,26.84,26.00,25.74,26.76,0
NonMatch/digits_on_letters,RE2,16384,46.10,0.45,45.50,46.75,46.06,45.54,46.66,0
NonMatch/digits_on_letters,RE2,2048,44.33,0.63,43.61,45.05,44.61,43.54,45.12,0
NonMatch/digits_on_letters,RE2,256,45.41,1.13,43.80,46.37,45.92,44.01,46.82,0
NonMatch/digits_on_letters,RE2,32,44.82,0.94,43.55,45.79,45.30,43.65,45.99,0
NonMatch/digits_on_letters,RE2,32768,45.87,0.73,45.09,47.07,45.77,44.97,46.78,0
NonMatch/digits_on_letters,RE2,4096,45.28,1.26,43.92,46.80,45.18,43.71,46.85,0
NonMatch/digits_on_letters,RE2,512,45.30,1.00,44.11,46.62,45.52,44.05,46.54,0
NonMatch/digits_on_letters,RE2,64,45.61,0.53,44.85,46.20,45.67,44.96,46.27,0
NonMatch/digits_on_letters,RE2,8192,45.54,0.28,45.17,45.89,45.55,45.19,45.89,0
NonMatch/digits_on_letters,std::regex,1024,54.20,2.81,51.77,58.67,52.78,50.70,57.69,0
NonMatch/digits_on_letters,std::regex,128,58.08,3.51,52.57,61.92,58.12,53.72,62.44,0
NonMatch/digits_on_letters,std::regex,16,59.99,1.82,58.47,63.07,59.34,57.73,62.26,0
NonMatch/digits_on_letters,std::regex,2048,53.93,2.69,51.77,58.07,52.56,50.59,57.26,0
NonMatch/digits_on_letters,std::regex,256,58.42,3.60,52.56,62.09,59.44,53.95,62.89,0
NonMatch/digits_on_letters,std::regex,32,56.65,5.40,52.56,65.64,55.19,49.94,63.36,0
NonMatch/digits_on_letters,std::regex,4096,53.88,1.80,51.77,55.22,55.16,51.64,56.12,0
NonMatch/digits_on_letters,std::regex,512,53.87,1.56,51.85,55.20,54.54,51.93,55.81,0
NonMatch/digits_on_letters,std::regex,64,53.94,1.35,52.55,55.31,54.07,52.26,55.61,0
NonMatch/digits_on_letters,std::regex,8192,53.35,2.81,51.74,58.35,52.04,49.86,56.84,0
NonMatch/dom_alt,CTRE-Scalar,1024,1.84,0.03,1.79,1.88,1.84,1.80,1.88,0
NonMatch/dom_alt,CTRE-Scalar,128,1.67,0.09,1.52,1.73,1.72,1.56,1.78,0
NonMatch/dom_alt,CTRE-Scalar,16,1.63,0.01,1.62,1.65,1.63,1.62,1.65,0
NonMatch/dom_alt,CTRE-Scalar,16384,1.92,0.08,1.78,1.97,1.95,1.82,2.02,0
NonMatch/dom_alt,CTRE-Scalar,2048,2.02,0.34,1.85,2.62,1.88,1.60,2.44,0
NonMatch/dom_alt,CTRE-Scalar,256,1.82,0.03,1.78,1.85,1.81,1.78,1.85,0
NonMatch/dom_alt,CTRE-Scalar,32,1.76,0.18,1.66,2.08,1.68,1.54,1.98,0
NonMatch/dom_alt,CTRE-Scalar,32768,2.03,0.09,1.88,2.09,2.06,1.92,2.14,0
NonMatch/dom_alt,CTRE-Scalar,4096,1.98,0.29,1.80,2.48,1.84,1.62,2.34,0
NonMatch/dom_alt,CTRE-Scalar,512,1.83,0.02,1.81,1.85,1.83,1.81,1.85,0
NonMatch/dom_alt,CTRE-Scalar,64,1.69,0.10,1.51,1.75,1.73,1.57,1.82,0
NonMatch/dom_alt,CTRE-Scalar,8192,1.97,0.21,1.82,2.33,1.88,1.71,2.23,0
NonMatch/dom_alt,Hyperscan,1024,7.21,0.02,7.18,7.24,7.21,7.18,7.24,0
NonMatch/dom_alt,Hyperscan,128,7.32,0.04,7.28,7.37,7.33,7.28,7.37,0
NonMatch/dom_alt,Hyperscan,16,7.19,0.05,7.15,7.26,7.16,7.13,7.25,0
NonMatch/dom_alt,Hyperscan,16384,7.66,0.23,7.51,8.07,7.57,7.36,7.95,0
NonMatch/dom_alt,Hyperscan,2048,7.35,0.24,7.21,7.77,7.26,7.06,7.65,0
NonMatch/dom_alt,Hyperscan,256,7.28,0.24,7.17,7.71,7.18,6.98,7.58,0
NonMatch/dom_alt,Hyperscan,32,7.16,0.01,7.15,7.18,7.16,7.15,7.18,0
NonMatch/dom_alt,Hyperscan,32768,7.46,0.07,7.38,7.55,7.47,7.38,7.55,0
NonMatch/dom_alt,Hyperscan,4096,7.44,0.13,7.35,7.67,7.38,7.28,7.60,0
NonMatch/dom_alt,Hyperscan,512,7.24,0.13,7.16,7.48,7.18,7.08,7.41,0
NonMatch/dom_alt,Hyperscan,64,7.23,0.07,7.15,7.33,7.23,7.15,7.32,0
NonMatch/dom_alt,Hyperscan,8192,7.95,0.64,7.24,8.71,7.85,7.16,8.75,0
NonMatch/dom_alt,PCRE2,1024,18.02,0.16,17.82,18.20,18.06,17.82,18.22,0
NonMatch/dom_alt,PCRE2,128,17.65,0.31,17.37,18.00,17.50,17.27,18.04,0
NonMatch/dom_alt,PCRE2,16,17.45,0.26,17.20,17.77,17.36,17.14,17.77,0
NonMatch/dom_alt,PCRE2,16384,17.46,0.14,17.31,17.65,17.41,17.29,17.63,0
NonMatch/dom_alt,PCRE2,2048,17.80,0.40,17.19,18.23,17.93,17.31,18.30,0
NonMatch/dom_alt,PCRE2,256,18.10,0.37,17.50,18.49,18.14,17.64,18.56,0
NonMatch/dom_alt,PCRE2,32,17.49,0.29,17.23,17.96,17.37,17.13,17.85,0
NonMatch/dom_alt,PCRE2,32768,18.31,1.09,17.26,20.03,17.97,16.95,19.66,0
NonMatch/dom_alt,PCRE2,4096,17.40,0.13,17.24,17.60,17.40,17.24,17.56,0
NonMatch/dom_alt,PCRE2,512,20.11,6.13,17.24,31.07,17.36,12.50,27.72,0
NonMatch/dom_alt,PCRE2,64,17.54,0.17,17.26,17.69,17.54,17.33,17.75,0
NonMatch/dom_alt,PCRE2,8192,17.59,0.42,17.22,18.29,17.41,17.06,18.11,0
NonMatch/dom_alt,RE2,1024,46.78,0.27,46.36,47.01,46.85,46.44,47.12,0
NonMatch/dom_alt,RE2,128,46.82,0.47,46.28,47.55,46.81,46.24,47.41,0
NonMatch/dom_alt,RE2,16,28.15,0.28,27.70,28.37,28.24,27.81,28.50,0
NonMatch/dom_alt,RE2,16384,46.77,0.59,45.77,47.30,46.97,46.04,47.51,0
NonMatch/dom_alt,RE2,2048,46.08,0.22,45.75,46.34,46.13,45.81,46.35,0
NonMatch/dom_alt,RE2,256,45.50,0.20,45.32,45.82,45.51,45.25,45.76,0
NonMatch/dom_alt,RE2,32,46.59,0.20,46.32,46.81,46.57,46.35,46.83,0
NonMatch/dom_alt,RE2,32768,46.37,0.61,45.59,47.07,46.63,45.61,47.13,0
NonMatch/dom_alt,RE2,4096,46.86,0.55,46.37,47.80,46.74,46.18,47.54,0
NonMatch/dom_alt,RE2,512,46.73,0.18,46.55,46.94,46.64,46.51,46.95,0
NonMatch/dom_alt,RE2,64,45.76,0.29,45.49,46.12,45.69,45.40,46.12,0
NonMatch/dom_alt,RE2,8192,46.79,0.57,46.07,47.54,46.65,46.08,47.50,0
NonMatch/dom_alt,std::regex,1024,70.42,2.00,68.52,73.58,69.63,67.94,72.91,0
NonMatch/dom_alt,std::regex,128,68.75,1.77,67.18,70.95,67.79,66.55,70.94,0
NonMatch/dom_alt,std::regex,16,68.34,1.18,67.55,70.41,67.86,66.88,69.80,0
NonMatch/dom_alt,std::regex,2048,68.69,0.29,68.46,69.14,68.56,68.33,69.05,0
NonMatch/dom_alt,std::regex,256,67.42,0.33,67.00,67.90,67.44,67.01,67.83,0
NonMatch/dom_alt,std::regex,32,67.63,1.06,66.62,69.42,67.42,66.32,68.95,0
NonMatch/dom_alt,std::regex,4096,69.16,2.23,67.37,72.42,68.08,66.39,71.93,0
NonMatch/dom_alt,std::regex,512,72.42,2.68,69.38,75.59,72.15,69.09,75.75,0
NonMatch/dom_alt,std::regex,64,67.90,1.34,67.03,70.26,67.37,66.24,69.56,0
NonMatch/dom_alt,std::regex,8192,67.62,0.42,67.14,68.15,67.44,67.09,68.14,0
NonMatch/dom_middle,CTRE-Scalar,1024,1727.19,46.09,1693.11,1787.51,1694.93,1669.96,1784.43,0
NonMatch/dom_middle,CTRE-Scalar,128,206.65,0.89,205.99,208.17,206.46,205.54,207.76,0
NonMatch/dom_middle,CTRE-Scalar,16,21.17,0.30,20.84,21.41,21.36,20.80,21.54,0
NonMatch/dom_middle,CTRE-Scalar,16384,29832.90,271.43,29464.20,30123.54,29851.79,29495.87,30169.92,0
NonMatch/dom_middle,CTRE-Scalar,2048,3454.21,11.59,3446.14,3474.39,3451.53,3439.81,3468.60,0
NonMatch/dom_middle,CTRE-Scalar,256,413.06,0.79,412.32,414.32,412.93,412.09,414.04,0
NonMatch/dom_middle,CTRE-Scalar,32,45.31,0.44,44.83,45.78,45.38,44.76,45.86,0
NonMatch/dom_middle,CTRE-Scalar,32768,64506.94,1159.29,63179.09,66113.72,64181.06,63067.50,65946.39,0
NonMatch/dom_middle,CTRE-Scalar,4096,7190.83,122.72,6971.86,7258.35,7239.25,7038.46,7343.20,0
NonMatch/dom_middle,CTRE-Scalar,512,828.18,0.45,827.42,828.55,828.34,827.63,828.74,0
NonMatch/dom_middle,CTRE-Scalar,64,98.16,0.19,98.02,98.49,98.08,97.92,98.39,0
NonMatch/dom_middle,CTRE-Scalar,8192,14092.51,19.80,14058.77,14107.50,14101.38,14067.93,14117.10,0
NonMatch/dom_middle,Hyperscan,1024,104.30,1.08,103.16,106.07,104.08,102.96,105.65,0
NonMatch/dom_middle,Hyperscan,128,82.67,0.54,82.21,83.55,82.58,82.01,83.34,0
NonMatch/dom_middle,Hyperscan,16,27.53,0.24,27.21,27.72,27.68,27.24,27.82,0
NonMatch/dom_middle,Hyperscan,16384,460.74,1.69,458.85,463.36,460.82,458.64,462.83,0
NonMatch/dom_middle,Hyperscan,2048,128.65,0.69,127.75,129.50,128.85,127.79,129.50,0
NonMatch/dom_middle,Hyperscan,256,83.63,2.64,81.72,88.23,82.61,80.35,86.91,0
NonMatch/dom_middle,Hyperscan,32,57.12,1.02,56.26,58.81,56.88,55.85,58.39,0
NonMatch/dom_middle,Hyperscan,32768,1146.61,11.43,1136.47,1166.09,1142.95,1132.41,1160.80,0
NonMatch/dom_middle,Hyperscan,4096,178.25,2.93,175.71,183.24,177.23,174.61,181.88,0
NonMatch/dom_middle,Hyperscan,512,86.40,0.79,85.34,87.24,86.56,85.42,87.38,0
NonMatch/dom_middle,Hyperscan,64,116.59,0.34,116.12,116.92,116.72,116.17,117.01,0
NonMatch/dom_middle,Hyperscan,8192,270.03,1.13,268.97,271.87,269.62,268.63,271.43,0
NonMatch/dom_middle,PCRE2,1024,49.65,0.59,49.03,50.31,49.69,48.91,50.38,0
NonMatch/dom_middle,PCRE2,128,18.76,0.17,18.63,19.06,18.69,18.54,18.97,0
NonMatch/dom_middle,PCRE2,16,16.77,0.18,16.66,17.08,16.70,16.55,16.99,0
NonMatch/dom_middle,PCRE2,16384,592.66,1.45,590.99,594.59,592.22,590.86,594.45,0
NonMatch/dom_middle,PCRE2,2048,86.67,0.81,85.68,87.87,86.45,85.66,87.68,0
NonMatch/dom_middle,PCRE2,256,22.89,0.46,22.40,23.39,22.87,22.32,23.46,0
NonMatch/dom_middle,PCRE2,32,17.62,0.32,17.05,17.80,17.77,17.22,18.03,0
NonMatch/dom_middle,PCRE2,32768,1278.19,4.93,1270.70,1282.97,1277.72,1272.08,1284.31,0
NonMatch/dom_middle,PCRE2,4096,164.22,0.94,162.81,165.21,164.09,163.06,165.39,0
NonMatch/dom_middle,PCRE2,512,31.40,0.62,30.64,32.06,31.47,30.63,32.17,0
NonMatch/dom_middle,PCRE2,64,18.41,0.20,18.25,18.76,18.32,18.15,18.66,0
NonMatch/dom_middle,PCRE2,8192,306.53,1.86,303.63,308.21,307.16,304.22,308.85,0
NonMatch/dom_middle,RE2,1024,1483.03,18.80,1469.28,1515.96,1477.98,1459.69,1506.37,0
NonMatch/dom_middle,RE2,128,225.94,0.50,225.51,226.77,225.85,225.31,226.56,0
NonMatch/dom_middle,RE2,16,70.24,0.61,69.71,71.18,69.94,69.48,71.01,0
NonMatch/dom_middle,RE2,16384,22891.93,35.56,22840.83,22930.68,22898.92,22847.78,22936.08,0
NonMatch/dom_middle,RE2,2048,2929.03,15.24,2908.39,2943.19,2936.93,2910.10,2947.95,0
NonMatch/dom_middle,RE2,256,404.54,0.69,403.66,405.35,404.84,403.69,405.40,0
NonMatch/dom_middle,RE2,32,92.27,0.96,91.63,93.94,91.90,91.07,93.46,0
NonMatch/dom_middle,RE2,32768,46085.36,87.57,45955.50,46176.00,46096.68,45976.63,46194.09,0
NonMatch/dom_middle,RE2,4096,5787.23,11.77,5775.40,5801.94,5786.18,5772.62,5801.84,0
NonMatch/dom_middle,RE2,512,762.70,4.09,758.40,768.06,763.01,757.63,767.78,0
NonMatch/dom_middle,RE2,64,136.51,0.26,136.25,136.87,136.53,136.18,136.83,0
NonMatch/dom_middle,RE2,8192,11469.58,15.90,11451.93,11494.56,11469.70,11449.84,11489.33,0
NonMatch/dom_middle,std::regex,1024,29784.91,791.74,28725.72,30625.93,29615.93,28801.83,30767.99,0
NonMatch/dom_middle,std::regex,128,3311.67,49.98,3246.90,3377.29,3305.05,3249.61,3373.73,0
NonMatch/dom_middle,std::regex,16,315.60,49.85,277.76,402.41,297.08,253.71,377.49,0
NonMatch/dom_middle,std::regex,2048,61293.91,2016.12,59244.89,63358.54,61184.44,58790.57,63797.25,0
NonMatch/dom_middle,std::regex,256,7647.39,394.50,6948.16,7878.95,7823.08,7157.55,8137.23,0
NonMatch/dom_middle,std::regex,32,607.55,93.36,545.73,768.63,563.31,491.63,723.47,0
NonMatch/dom_middle,std::regex,4096,126518.65,2386.17,123665.89,129068.84,125655.11,123555.83,129481.46,0
NonMatch/dom_middle,std::regex,512,14686.78,811.37,13514.42,15750.82,14586.01,13679.33,15694.23,0
NonMatch/dom_middle,std::regex,64,1523.98,33.87,1480.34,1557.77,1529.29,1481.93,1566.03,0
NonMatch/dom_middle,std::regex,8192,262606.27,8386.78,255857.77,276683.62,258718.79,252192.71,273019.83,0
NonMatch/dom_prefix,CTRE-Scalar,1024,0.88,0.00,0.88,0.88,0.88,0.88,0.88,0
NonMatch/dom_prefix,CTRE-Scalar,128,0.86,0.01,0.85,0.86,0.86,0.85,0.86,0
NonMatch/dom_prefix,CTRE-Scalar,16,0.76,0.01,0.75,0.76,0.76,0.75,0.76,0
NonMatch/dom_prefix,CTRE-Scalar,16384,0.97,0.02,0.96,1.00,0.97,0.96,0.99,0
NonMatch/dom_prefix,CTRE-Scalar,2048,0.96,0.07,0.92,1.08,0.92,0.87,1.05,0
