Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
NonMatch/digits_on_letters,CTRE-SIMD,1024,1.08,0.01,1.07,1.08,1.08,1.07,1.08,0
NonMatch/digits_on_letters,CTRE-SIMD,128,1.07,0.00,1.07,1.07,1.07,0.00,nan,0
NonMatch/digits_on_letters,CTRE-SIMD,16,1.08,0.00,1.08,1.08,1.08,0.00,nan,0
NonMatch/digits_on_letters,CTRE-SIMD,16384,1.10,0.01,1.09,1.12,1.09,1.08,1.11,0
NonMatch/digits_on_letters,CTRE-SIMD,2048,1.08,0.00,1.08,1.08,1.08,0.00,nan,0
NonMatch/digits_on_letters,CTRE-SIMD,256,1.07,0.00,1.07,1.08,1.07,1.07,1.08,0
NonMatch/digits_on_letters,CTRE-SIMD,32,1.07,0.00,1.07,1.07,1.07,0.00,nan,0
NonMatch/digits_on_letters,CTRE-SIMD,32768,1.09,0.01,1.08,1.10,1.10,1.08,1.11,0
NonMatch/digits_on_letters,CTRE-SIMD,4096,1.11,0.03,1.09,1.16,1.09,1.07,1.14,0
NonMatch/digits_on_letters,CTRE-SIMD,512,1.09,0.03,1.07,1.14,1.08,1.05,1.12,0
NonMatch/digits_on_letters,CTRE-SIMD,64,1.07,0.00,1.07,1.07,1.07,0.00,nan,0
NonMatch/digits_on_letters,CTRE-SIMD,8192,1.08,0.00,1.08,1.09,1.08,1.08,1.09,0
NonMatch/digits_on_letters,Hyperscan,1024,26.70,0.26,26.45,27.08,26.58,26.38,27.02,0
NonMatch/digits_on_letters,Hyperscan,128,26.83,0.55,26.37,27.69,26.58,26.15,27.51,0
NonMatch/digits_on_letters,Hyperscan,16,12.42,0.31,12.24,12.98,12.28,12.03,12.81,0
NonMatch/digits_on_letters,Hyperscan,16384,27.96,0.85,26.95,28.98,28.31,26.91,29.02,0
NonMatch/digits_on_letters,Hyperscan,2048,26.68,0.15,26.54,26.85,26.62,26.49,26.87,0
NonMatch/digits_on_letters,Hyperscan,256,27.43,0.52,26.52,27.78,27.64,26.78,28.07,0
NonMatch/digits_on_letters,Hyperscan,32,12.47,0.32,12.27,13.04,12.33,12.07,12.87,0
NonMatch/digits_on_letters,Hyperscan,32768,27.70,0.58,26.93,28.56,27.71,26.98,28.42,0
NonMatch/digits_on_letters,Hyperscan,4096,27.63,0.68,26.62,28.27,27.98,26.78,28.47,0
NonMatch/digits_on_letters,Hyperscan,512,27.70,0.74,26.45,28.43,27.81,26.77,28.62,0
NonMatch/digits_on_letters,Hyperscan,64,27.66,0.36,27.33,28.27,27.54,27.22,28.11,0
