Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Adversarial/alnum_50,CTRE,50,52.66,2.86,49.39,68.90,52.28,51.93,53.40,10000
Adversarial/alnum_50,Hyperscan,50,21.55,0.70,21.02,23.44,21.20,21.37,21.74,0
Adversarial/alnum_50,PCRE2,50,17.74,0.51,17.32,19.53,17.55,17.61,17.87,0
Adversarial/alnum_50,RE2,50,45.93,0.74,44.83,48.56,46.05,45.74,46.12,0
Adversarial/alnum_50,std::regex,50,78.35,2.43,76.81,85.54,77.22,77.72,78.97,0
Adversarial/alpha_1000,CTRE,1000,541.08,1.29,539.69,548.47,540.89,540.75,541.42,10000
Adversarial/alpha_1000,Hyperscan,1000,720.50,2.91,716.63,732.27,719.48,719.75,721.25,10000
Adversarial/alpha_1000,PCRE2,1000,556.84,1.98,554.91,565.93,556.27,556.33,557.35,10000
Adversarial/alpha_1000,RE2,1000,4057.54,69.67,3910.02,4197.38,4059.72,4039.55,4075.54,10000
Adversarial/alpha_1000,std::regex,1000,8809.47,1039.21,7674.34,10597.36,8575.91,8541.01,9077.92,2000
Adversarial/alt_10,CTRE,5,4.58,0.34,4.33,5.68,4.45,4.50,4.67,10000
Adversarial/alt_10,Hyperscan,5,34.82,2.73,33.19,48.62,34.41,34.11,35.53,10000
Adversarial/alt_10,PCRE2,5,24.00,1.63,21.28,26.87,24.20,23.58,24.42,10000
Adversarial/alt_10,RE2,5,54.87,0.85,53.52,56.86,54.75,54.66,55.09,10000
Adversarial/alt_10,std::regex,5,236.30,10.58,187.25,245.61,239.01,233.57,239.03,2000
Adversarial/alt_10_pairs,CTRE,2,3.78,0.59,3.28,5.38,3.46,3.62,3.93,10000
Adversarial/alt_10_pairs,Hyperscan,2,4.26,0.36,4.07,5.71,4.13,4.16,4.35,0
Adversarial/alt_10_pairs,PCRE2,2,15.83,0.70,15.35,18.59,15.51,15.65,16.01,0
Adversarial/alt_10_pairs,RE2,2,26.51,0.65,25.79,27.91,26.36,26.35,26.68,0
Adversarial/alt_10_pairs,std::regex,2,55.89,2.67,53.73,62.87,54.45,55.20,56.57,0
Adversarial/alt_12_words,CTRE,4,5.11,0.62,4.23,6.72,5.24,4.95,5.27,10000
Adversarial/alt_12_words,Hyperscan,4,4.19,0.22,4.06,5.58,4.14,4.14,4.25,0
Adversarial/alt_12_words,PCRE2,4,15.74,0.81,15.36,21.02,15.46,15.53,15.95,0
