Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Adversarial/alnum_50,CTRE-Scalar,50,53.48,0.61,52.06,54.96,53.44,53.32,53.63,10000
Adversarial/alnum_50,Hyperscan,50,22.10,2.65,21.02,38.72,21.32,21.42,22.79,0
Adversarial/alnum_50,PCRE2,50,17.70,0.37,17.36,19.11,17.60,17.60,17.79,0
Adversarial/alnum_50,RE2,50,45.88,0.77,44.81,49.54,45.77,45.68,46.07,0
Adversarial/alnum_50,std::regex,50,79.35,2.52,76.87,85.08,78.72,78.70,80.00,0
Adversarial/alpha_1000,CTRE-Scalar,1000,502.77,1.90,501.09,513.69,502.45,502.28,503.26,10000
Adversarial/alpha_1000,Hyperscan,1000,720.92,2.41,716.67,728.67,720.27,720.29,721.54,10000
Adversarial/alpha_1000,PCRE2,1000,560.22,17.78,554.95,688.07,556.57,555.62,564.81,10000
Adversarial/alpha_1000,RE2,1000,4082.15,64.73,3917.31,4173.13,4098.51,4065.42,4098.87,10000
Adversarial/alpha_1000,std::regex,1000,8185.16,788.35,7684.19,11217.99,7797.01,7981.51,8388.81,2000
Adversarial/alt_10,CTRE-Scalar,5,4.58,0.39,4.14,5.76,4.51,4.48,4.68,10000
Adversarial/alt_10,Hyperscan,5,34.21,0.80,33.21,36.58,33.98,34.00,34.41,10000
Adversarial/alt_10,PCRE2,5,24.35,1.92,21.28,28.63,24.85,23.86,24.85,10000
Adversarial/alt_10,RE2,5,54.90,0.94,53.68,60.07,54.84,54.66,55.15,10000
Adversarial/alt_10,std::regex,5,221.26,18.77,193.89,247.18,225.40,216.42,226.11,2000
Adversarial/alt_10_pairs,CTRE-Scalar,2,3.53,0.33,3.22,4.91,3.42,3.45,3.62,10000
Adversarial/alt_10_pairs,Hyperscan,2,4.30,0.44,4.06,5.81,4.14,4.18,4.41,0
Adversarial/alt_10_pairs,PCRE2,2,16.07,1.08,15.38,20.36,15.53,15.80,16.35,0
Adversarial/alt_10_pairs,RE2,2,26.58,0.76,25.79,28.67,26.26,26.39,26.78,0
Adversarial/alt_10_pairs,std::regex,2,56.64,3.68,53.98,75.13,55.21,55.69,57.59,0
Adversarial/alt_12_words,CTRE-Scalar,4,5.09,0.46,4.27,6.30,5.07,4.98,5.21,10000
Adversarial/alt_12_words,Hyperscan,4,4.27,0.36,4.07,5.65,4.15,4.18,4.36,0
Adversarial/alt_12_words,PCRE2,4,15.85,0.51,15.38,16.97,15.52,15.71,15.98,0
Adversarial/alt_12_words,RE2,4,26.77,1.38,25.81,35.93,26.41,26.41,27.12,0
Adversarial/alt_12_words,std::regex,4,57.97,2.96,55.39,71.21,57.27,57.21,58.74,0
Adversarial/alt_12x3,CTRE-Scalar,3,4.27,0.62,3.27,5.56,4.55,4.11,4.43,10000
Adversarial/alt_12x3,Hyperscan,3,4.26,0.44,4.05,6.73,4.14,4.15,4.37,0
Adversarial/alt_12x3,PCRE2,3,15.72,0.45,15.39,17.39,15.52,15.61,15.84,0
Adversarial/alt_12x3,RE2,3,28.79,0.82,27.97,33.14,28.54,28.57,29.00,0
Adversarial/alt_12x3,std::regex,3,61.13,3.12,58.14,74.00,60.47,60.32,61.93,0
Adversarial/alt_16_single,CTRE-Scalar,1,3.44,0.51,2.98,5.34,3.27,3.31,3.57,10000
Adversarial/alt_16_single,Hyperscan,1,4.36,0.54,4.06,6.50,4.15,4.23,4.50,0
Adversarial/alt_16_single,PCRE2,1,15.85,0.66,15.39,17.81,15.53,15.68,16.02,0
Adversarial/alt_16_single,RE2,1,26.59,0.68,25.81,28.19,26.34,26.41,26.76,0
Adversarial/alt_16_single,std::regex,1,59.14,5.62,54.25,75.86,56.17,57.68,60.59,0
Adversarial/alt_2_char,CTRE-Scalar,1,1.22,0.22,1.06,2.20,1.14,1.17,1.28,10000
Adversarial/alt_2_char,Hyperscan,1,30.70,0.66,29.64,32.22,30.42,30.53,30.87,10000
Adversarial/alt_2_char,PCRE2,1,23.96,0.96,21.40,25.76,24.12,23.72,24.21,10000
Adversarial/alt_2_char,RE2,1,28.87,0.96,27.58,32.29,28.81,28.62,29.12,10000
Adversarial/alt_2_char,std::regex,1,78.86,3.74,75.16,92.67,77.22,77.89,79.83,2000
Adversarial/alt_2x2,CTRE-Scalar,2,1.54,0.22,1.40,2.76,1.46,1.48,1.60,10000
