Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Adversarial/alnum_50,CTRE-SIMD,50,30.67,0.64,29.44,32.53,30.37,30.51,30.84,10000
Adversarial/alnum_50,Hyperscan,50,21.56,0.73,21.01,23.36,21.16,21.37,21.75,0
Adversarial/alnum_50,PCRE2,50,17.95,0.66,17.33,19.55,17.75,17.78,18.12,0
Adversarial/alnum_50,RE2,50,45.90,0.70,44.92,47.45,45.76,45.72,46.08,0
Adversarial/alnum_50,std::regex,50,79.60,4.05,77.15,100.14,77.64,78.55,80.65,0
Adversarial/alpha_1000,CTRE-SIMD,1000,27.62,0.64,26.50,28.94,27.59,27.45,27.78,10000
Adversarial/alpha_1000,Hyperscan,1000,720.29,2.97,716.33,734.14,719.21,719.53,721.06,10000
Adversarial/alpha_1000,PCRE2,1000,557.21,4.89,555.13,593.23,556.38,555.94,558.47,10000
Adversarial/alpha_1000,RE2,1000,4071.53,66.41,3924.38,4186.94,4087.86,4054.38,4088.68,10000
Adversarial/alpha_1000,std::regex,1000,7750.65,47.58,7669.29,7879.45,7740.31,7738.35,7762.94,2000
Adversarial/alt_10,CTRE-SIMD,5,4.49,0.37,4.13,5.81,4.31,4.39,4.58,10000
Adversarial/alt_10,Hyperscan,5,34.06,1.01,33.09,38.40,33.67,33.80,34.32,10000
Adversarial/alt_10,PCRE2,5,24.31,1.86,21.16,27.95,24.71,23.83,24.79,10000
Adversarial/alt_10,RE2,5,54.84,0.65,53.67,56.16,54.86,54.68,55.01,10000
Adversarial/alt_10,std::regex,5,219.94,18.94,194.26,249.18,222.13,215.04,224.83,2000
Adversarial/alt_10_pairs,CTRE-SIMD,2,3.45,0.36,3.17,5.33,3.31,3.36,3.54,10000
Adversarial/alt_10_pairs,Hyperscan,2,4.24,0.26,4.07,5.63,4.17,4.17,4.30,0
Adversarial/alt_10_pairs,PCRE2,2,16.09,1.14,15.36,21.03,15.70,15.79,16.38,0
Adversarial/alt_10_pairs,RE2,2,26.61,0.79,25.79,28.32,26.19,26.41,26.81,0
Adversarial/alt_10_pairs,std::regex,2,56.58,2.53,54.64,64.05,55.50,55.93,57.24,0
Adversarial/alt_12_words,CTRE-SIMD,4,4.69,0.54,4.17,6.64,4.48,4.55,4.83,10000
Adversarial/alt_12_words,Hyperscan,4,4.21,0.26,4.05,5.62,4.14,4.14,4.28,0
Adversarial/alt_12_words,PCRE2,4,15.80,0.54,15.36,17.74,15.67,15.66,15.94,0
Adversarial/alt_12_words,RE2,4,26.61,0.73,25.80,28.22,26.36,26.42,26.80,0
Adversarial/alt_12_words,std::regex,4,57.57,3.31,54.59,67.82,56.38,56.71,58.42,0
Adversarial/alt_12x3,CTRE-SIMD,3,3.76,0.38,3.49,5.43,3.61,3.67,3.86,10000
