Pattern,Engine,Input_Size,Time_ns,Matches
arm/digits,CTRE,4,4.47209,1
arm/digits,CTRE,8,6.385,1
arm/digits,CTRE,16,10.5908,1
arm/digits,CTRE,32,9.40791,1
arm/digits,CTRE,64,31.5654,1
arm/digits,CTRE,128,37.7963,1
arm/digits,CTRE,256,72.0325,1
arm/digits,CTRE,512,176.777,1
arm/digits,CTRE,1024,251.315,1
arm/digits,CTRE,2048,578.261,1
arm/digits,CTRE,4096,1004.47,1
arm/digits,CTRE,8192,2097.02,1
arm/digits,CTRE,16384,4102.56,1
arm/digits,CTRE,32768,7997.39,1
arm/lowercase,CTRE,4,3.35584,1
arm/lowercase,CTRE,8,5.65,1
arm/lowercase,CTRE,16,9.72083,1
arm/lowercase,CTRE,32,19.6004,1
arm/lowercase,CTRE,64,22.0608,1
arm/lowercase,CTRE,128,43.3513,1
arm/lowercase,CTRE,256,91.0379,1
arm/lowercase,CTRE,512,140.359,1
arm/lowercase,CTRE,1024,276.736,1
arm/lowercase,CTRE,2048,513.918,1
arm/lowercase,CTRE,4096,1033.03,1
arm/lowercase,CTRE,8192,2022.45,1
arm/lowercase,CTRE,16384,4008.4,1
arm/lowercase,CTRE,32768,8004.87,1
arm/uppercase,CTRE,4,3.68875,1
arm/uppercase,CTRE,8,5.82125,1
arm/uppercase,CTRE,16,10.89,1
arm/uppercase,CTRE,32,13.9271,1
arm/uppercase,CTRE,64,37.865,1
arm/uppercase,CTRE,128,80.7237,1
arm/uppercase,CTRE,256,132.265,1
arm/uppercase,CTRE,512,228.894,1
arm/uppercase,CTRE,1024,348.363,1
arm/uppercase,CTRE,2048,575.454,1
arm/uppercase,CTRE,4096,1042.76,1
arm/uppercase,CTRE,8192,2036.34,1
arm/uppercase,CTRE,16384,4158.18,1
arm/uppercase,CTRE,32768,8104.29,1
arm/alphanumeric,CTRE,4,4.34708,1
arm/alphanumeric,CTRE,8,4.1875,1
arm/alphanumeric,CTRE,16,5.59417,1
arm/alphanumeric,CTRE,32,29.8775,1
arm/alphanumeric,CTRE,64,35.8479,1
arm/alphanumeric,CTRE,128,61.4663,1
arm/alphanumeric,CTRE,256,91.5692,1
arm/alphanumeric,CTRE,512,208.391,1
arm/alphanumeric,CTRE,1024,341.135,1
arm/alphanumeric,CTRE,2048,650.336,1
arm/alphanumeric,CTRE,4096,1393.19,1
arm/alphanumeric,CTRE,8192,2732.47,1
arm/alphanumeric,CTRE,16384,5108.84,1
arm/alphanumeric,CTRE,32768,10393.6,1
arm/vowels,CTRE,4,7.17042,1
arm/vowels,CTRE,8,10.8071,1
arm/vowels,CTRE,16,29.7263,1
arm/vowels,CTRE,32,36.6504,1
arm/vowels,CTRE,64,75.8925,1
arm/vowels,CTRE,128,60.4771,1
arm/vowels,CTRE,256,116.825,1
arm/vowels,CTRE,512,237.334,1
arm/vowels,CTRE,1024,495.368,1
arm/vowels,CTRE,2048,863.637,1
arm/vowels,CTRE,4096,1724.45,1
arm/vowels,CTRE,8192,3468.19,1
arm/vowels,CTRE,16384,6850.23,1
arm/vowels,CTRE,32768,13773.1,1
arm/hex,CTRE,4,3.88417,1
arm/hex,CTRE,8,6.75333,1
arm/hex,CTRE,16,16.2213,1
arm/hex,CTRE,32,44.9321,1
arm/hex,CTRE,64,54.1437,1
arm/hex,CTRE,128,92.5487,1
arm/hex,CTRE,256,150.294,1
arm/hex,CTRE,512,249.969,1
arm/hex,CTRE,1024,398.55,1
arm/hex,CTRE,2048,650.898,1
arm/hex,CTRE,4096,1225.69,1
arm/hex,CTRE,8192,2381.46,1
arm/hex,CTRE,16384,4631.42,1
arm/hex,CTRE,32768,9747.3,1
arm_nomatch/nomatch_digits,CTRE,4,1.3625,0
arm_nomatch/nomatch_digits,CTRE,8,1.265,0
arm_nomatch/nomatch_digits,CTRE,16,1.36167,0
arm_nomatch/nomatch_digits,CTRE,32,1.36125,0
arm_nomatch/nomatch_digits,CTRE,64,1.65083,0
arm_nomatch/nomatch_digits,CTRE,128,1.26458,0
arm_nomatch/nomatch_digits,CTRE,256,1.475,0
arm_nomatch/nomatch_digits,CTRE,512,1.42209,0
arm_nomatch/nomatch_digits,CTRE,1024,1.36209,0
arm_nomatch/nomatch_digits,CTRE,2048,1.51709,0
arm_nomatch/nomatch_digits,CTRE,4096,1.24167,0
arm_nomatch/nomatch_digits,CTRE,8192,1.36125,0
arm_nomatch/nomatch_digits,CTRE,16384,1.36167,0
arm_nomatch/nomatch_digits,CTRE,32768,1.51625,0
arm_nomatch/nomatch_alpha,CTRE,4,1.65333,0
arm_nomatch/nomatch_alpha,CTRE,8,1.50292,0
arm_nomatch/nomatch_alpha,CTRE,16,2.08333,0
arm_nomatch/nomatch_alpha,CTRE,32,1.56,0
arm_nomatch/nomatch_alpha,CTRE,64,1.98667,0
arm_nomatch/nomatch_alpha,CTRE,128,1.6175,0
arm_nomatch/nomatch_alpha,CTRE,256,1.0475,0
arm_nomatch/nomatch_alpha,CTRE,512,1.61708,0
arm_nomatch/nomatch_alpha,CTRE,1024,1.50292,0
arm_nomatch/nomatch_alpha,CTRE,2048,0.73291,0
arm_nomatch/nomatch_alpha,CTRE,4096,1.50291,0
arm_nomatch/nomatch_alpha,CTRE,8192,1.6175,0
arm_nomatch/nomatch_alpha,CTRE,16384,1.98541,0
arm_nomatch/nomatch_alpha,CTRE,32768,1.61709,0
arm_nomatch/region_reject,CTRE,4,51.7596,0
arm_nomatch/region_reject,CTRE,8,82.6467,0
arm_nomatch/region_reject,CTRE,16,137.015,0
arm_nomatch/region_reject,CTRE,32,230.163,0
arm_nomatch/region_reject,CTRE,64,596.222,0
arm_nomatch/region_reject,CTRE,128,1051.62,0
arm_nomatch/region_reject,CTRE,256,2085.63,0
arm_nomatch/region_reject,CTRE,512,4182.57,0
arm_nomatch/region_reject,CTRE,1024,8794.35,0
arm_nomatch/region_reject,CTRE,2048,18165.6,0
arm_nomatch/region_reject,CTRE,4096,37372.9,0
arm_nomatch/region_reject,CTRE,8192,72074,0
arm_nomatch/region_reject,CTRE,16384,149346,0
arm_nomatch/region_reject,CTRE,32768,300155,0
arm_nomatch/dom_reject,CTRE,4,28.3004,0
arm_nomatch/dom_reject,CTRE,8,50.5533,0
arm_nomatch/dom_reject,CTRE,16,88.1154,0
arm_nomatch/dom_reject,CTRE,32,148.155,0
arm_nomatch/dom_reject,CTRE,64,485.119,0
arm_nomatch/dom_reject,CTRE,128,834.984,0
arm_nomatch/dom_reject,CTRE,256,1574.83,0
