Pattern,Engine,Input_Size,Time_ns,Matches
arm/digits,CTRE-SIMD,4,9.015,1
arm/digits,CTRE-SIMD,8,12.7671,1
arm/digits,CTRE-SIMD,16,17.5392,1
arm/digits,CTRE-SIMD,32,18.4438,1
arm/digits,CTRE-SIMD,64,28.8858,1
arm/digits,CTRE-SIMD,128,35.8508,1
arm/digits,CTRE-SIMD,256,73.7613,1
arm/digits,CTRE-SIMD,512,161.104,1
arm/digits,CTRE-SIMD,1024,282.266,1
arm/digits,CTRE-SIMD,2048,530.525,1
arm/digits,CTRE-SIMD,4096,1053.28,1
arm/digits,CTRE-SIMD,8192,2101.97,1
arm/digits,CTRE-SIMD,16384,4049.25,1
arm/digits,CTRE-SIMD,32768,8051.81,1
arm/lowercase,CTRE-SIMD,4,9.02334,1
arm/lowercase,CTRE-SIMD,8,12.1483,1
arm/lowercase,CTRE-SIMD,16,13.9683,1
arm/lowercase,CTRE-SIMD,32,22.8754,1
arm/lowercase,CTRE-SIMD,64,28.8208,1
arm/lowercase,CTRE-SIMD,128,40.7417,1
arm/lowercase,CTRE-SIMD,256,76.565,1
arm/lowercase,CTRE-SIMD,512,172.558,1
arm/lowercase,CTRE-SIMD,1024,288.415,1
arm/lowercase,CTRE-SIMD,2048,565.764,1
arm/lowercase,CTRE-SIMD,4096,1087.81,1
arm/lowercase,CTRE-SIMD,8192,2054.14,1
arm/lowercase,CTRE-SIMD,16384,4079.93,1
arm/lowercase,CTRE-SIMD,32768,8220.8,1
arm/uppercase,CTRE-SIMD,4,7.57666,1
arm/uppercase,CTRE-SIMD,8,13.2879,1
arm/uppercase,CTRE-SIMD,16,35.5162,1
arm/uppercase,CTRE-SIMD,32,19.2596,1
arm/uppercase,CTRE-SIMD,64,29.8233,1
arm/uppercase,CTRE-SIMD,128,67.1596,1
arm/uppercase,CTRE-SIMD,256,136.321,1
arm/uppercase,CTRE-SIMD,512,223.584,1
arm/uppercase,CTRE-SIMD,1024,361.87,1
arm/uppercase,CTRE-SIMD,2048,603.905,1
arm/uppercase,CTRE-SIMD,4096,1072.64,1
arm/uppercase,CTRE-SIMD,8192,2079.93,1
arm/uppercase,CTRE-SIMD,16384,4132.96,1
arm/uppercase,CTRE-SIMD,32768,8035.79,1
arm/alphanumeric,CTRE-SIMD,4,6.83375,1
arm/alphanumeric,CTRE-SIMD,8,12.0842,1
arm/alphanumeric,CTRE-SIMD,16,21.6058,1
arm/alphanumeric,CTRE-SIMD,32,20.5429,1
arm/alphanumeric,CTRE-SIMD,64,26.1275,1
arm/alphanumeric,CTRE-SIMD,128,92.9317,1
arm/alphanumeric,CTRE-SIMD,256,90.9642,1
arm/alphanumeric,CTRE-SIMD,512,236.738,1
arm/alphanumeric,CTRE-SIMD,1024,282.788,1
arm/alphanumeric,CTRE-SIMD,2048,563.973,1
arm/alphanumeric,CTRE-SIMD,4096,1056.82,1
arm/alphanumeric,CTRE-SIMD,8192,2085.22,1
arm/alphanumeric,CTRE-SIMD,16384,4345.23,1
arm/alphanumeric,CTRE-SIMD,32768,8207.63,1
arm/vowels,CTRE-SIMD,4,8.12125,1
arm/vowels,CTRE-SIMD,8,14.1054,1
arm/vowels,CTRE-SIMD,16,11.9242,1
arm/vowels,CTRE-SIMD,32,36.6029,1
arm/vowels,CTRE-SIMD,64,69.55,1
arm/vowels,CTRE-SIMD,128,120.138,1
arm/vowels,CTRE-SIMD,256,183.05,1
arm/vowels,CTRE-SIMD,512,252.801,1
arm/vowels,CTRE-SIMD,1024,450.769,1
arm/vowels,CTRE-SIMD,2048,881.634,1
arm/vowels,CTRE-SIMD,4096,1745.7,1
arm/vowels,CTRE-SIMD,8192,3544.46,1
arm/vowels,CTRE-SIMD,16384,6954.59,1
arm/vowels,CTRE-SIMD,32768,13894.3,1
arm/hex,CTRE-SIMD,4,7.355,1
arm/hex,CTRE-SIMD,8,5.2,1
arm/hex,CTRE-SIMD,16,21.2508,1
arm/hex,CTRE-SIMD,32,28.6762,1
arm/hex,CTRE-SIMD,64,46.0225,1
arm/hex,CTRE-SIMD,128,91.6762,1
arm/hex,CTRE-SIMD,256,155.868,1
arm/hex,CTRE-SIMD,512,259.877,1
arm/hex,CTRE-SIMD,1024,395.716,1
arm/hex,CTRE-SIMD,2048,638.01,1
arm/hex,CTRE-SIMD,4096,1187.93,1
arm/hex,CTRE-SIMD,8192,2494.71,1
arm/hex,CTRE-SIMD,16384,4680.83,1
arm/hex,CTRE-SIMD,32768,9175.07,1
arm_nomatch/nomatch_digits,CTRE-SIMD,4,1.35625,0
arm_nomatch/nomatch_digits,CTRE-SIMD,8,5.25458,0
