Pattern,Engine,Input_Size,Time_ns,Matches
Simple/digits,CTRE,16,8.55,10000
Simple/digits,RE2,16,80.61,10000
Simple/digits,PCRE2,16,33.23,10000
Simple/digits,Hyperscan,16,54.34,10000
Simple/digits,std::regex,16,324.61,2000
Simple/digits,CTRE,32,16.52,10000
Simple/digits,RE2,32,93.81,10000
Simple/digits,PCRE2,32,27.08,10000
Simple/digits,Hyperscan,32,83.79,10000
Simple/digits,std::regex,32,483.61,2000
Simple/digits,CTRE,64,34.69,10000
Simple/digits,RE2,64,138.21,10000
Simple/digits,PCRE2,64,36.39,10000
Simple/digits,Hyperscan,64,73.33,10000
Simple/digits,std::regex,64,1156.49,2000
Simple/digits,CTRE,128,71.46,10000
Simple/digits,RE2,128,229.18,10000
Simple/digits,PCRE2,128,52.59,10000
Simple/digits,Hyperscan,128,107.85,10000
Simple/digits,std::regex,128,2437.5,2000
Simple/digits,CTRE,256,144.76,10000
Simple/digits,RE2,256,406.51,10000
Simple/digits,PCRE2,256,87.03,10000
Simple/digits,Hyperscan,256,190.96,10000
Simple/digits,std::regex,256,3493.15,2000
Simple/digits,CTRE,512,282.93,10000
Simple/digits,RE2,512,766.29,10000
Simple/digits,PCRE2,512,162.64,10000
Simple/digits,Hyperscan,512,310.65,10000
Simple/digits,std::regex,512,8275.15,2000
Simple/digits,CTRE,1024,585.73,10000
Simple/digits,RE2,1024,1497.42,10000
Simple/digits,PCRE2,1024,301.37,10000
Simple/digits,Hyperscan,1024,585.43,10000
Simple/digits,std::regex,1024,15098.44,2000
Simple/digits,CTRE,2048,1167.09,10000
Simple/digits,RE2,2048,2915.4,10000
Simple/digits,PCRE2,2048,577.82,10000
Simple/digits,Hyperscan,2048,1135.18,10000
Simple/digits,std::regex,2048,36793.79,2000
Simple/digits,CTRE,4096,2323.22,10000
Simple/digits,RE2,4096,5782.08,10000
Simple/digits,PCRE2,4096,1128.95,10000
Simple/digits,Hyperscan,4096,2229.1,10000
Simple/digits,std::regex,4096,80245.4,2000
