Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Complex/decimal,CTRE,1024,582.50,1.03,581.39,584.03,582.67,581.22,583.78,10000
Complex/decimal,CTRE,128,72.71,0.39,72.14,73.18,72.72,72.22,73.19,10000
Complex/decimal,CTRE,16,8.33,0.25,8.21,8.78,8.22,8.02,8.64,10000
Complex/decimal,CTRE,16384,9443.61,12.38,9428.89,9456.57,9447.43,9428.24,9458.99,10000
Complex/decimal,CTRE,2048,1179.17,2.38,1175.08,1181.08,1179.85,1176.21,1182.13,10000
Complex/decimal,CTRE,256,146.09,0.63,145.53,147.02,145.88,145.31,146.87,10000
Complex/decimal,CTRE,32,17.75,0.45,17.24,18.26,17.90,17.19,18.30,10000
Complex/decimal,CTRE,32768,18968.96,87.00,18915.36,19121.15,18928.62,18860.94,19076.98,10000
Complex/decimal,CTRE,4096,2353.13,3.23,2347.59,2355.64,2354.28,2349.12,2357.13,10000
Complex/decimal,CTRE,512,294.57,1.16,293.66,296.59,294.24,293.12,296.01,10000
Complex/decimal,CTRE,64,35.74,0.44,35.40,36.48,35.70,35.20,36.29,10000
Complex/decimal,CTRE,8192,4715.82,3.54,4712.17,4720.29,4716.71,4711.42,4720.22,10000
Complex/decimal,Hyperscan,1024,590.75,0.92,589.85,592.08,590.80,589.60,591.90,10000
Complex/decimal,Hyperscan,128,107.02,0.89,106.35,108.57,106.70,105.92,108.12,10000
Complex/decimal,Hyperscan,16,53.49,0.56,52.94,54.16,53.27,52.80,54.18,10000
Complex/decimal,Hyperscan,16384,8831.03,5.68,8827.61,8841.08,8829.11,8823.98,8838.08,10000
Complex/decimal,Hyperscan,2048,1145.77,1.60,1143.95,1148.21,1145.85,1143.79,1147.75,10000
Complex/decimal,Hyperscan,256,176.14,1.16,174.96,177.99,176.14,174.71,177.58,10000
Complex/decimal,Hyperscan,32,83.39,0.60,82.47,84.03,83.44,82.65,84.13,10000
Complex/decimal,Hyperscan,32768,17637.65,10.14,17620.66,17647.37,17640.25,17625.06,17650.24,10000
Complex/decimal,Hyperscan,4096,2243.54,0.75,2242.92,2244.69,2243.18,2242.60,2244.47,10000
Complex/decimal,Hyperscan,512,312.65,1.02,311.60,314.05,312.48,311.39,313.91,10000
Complex/decimal,Hyperscan,64,78.50,10.20,71.68,96.59,74.61,65.84,91.17,10000
Complex/decimal,Hyperscan,8192,4437.65,4.00,4433.92,4442.85,4436.96,4432.68,4442.62,10000
Complex/decimal,PCRE2,1024,456.07,1.07,455.05,457.51,455.69,454.74,457.40,10000
Complex/decimal,PCRE2,128,68.76,1.06,67.26,70.11,68.65,67.45,70.07,10000
Complex/decimal,PCRE2,16,24.18,0.32,23.76,24.59,24.18,23.78,24.57,10000
Complex/decimal,PCRE2,16384,7005.36,17.73,6994.74,7036.71,6998.69,6983.35,7027.38,10000
Complex/decimal,PCRE2,2048,911.66,1.97,908.69,914.13,911.80,909.21,914.11,10000
Complex/decimal,PCRE2,256,121.91,0.35,121.58,122.33,121.77,121.48,122.35,10000
Complex/decimal,PCRE2,32,29.61,0.33,29.06,29.86,29.66,29.21,30.02,10000
