Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Complex/decimal,CTRE-SIMD,1024,56.15,0.77,55.25,56.81,56.60,55.20,57.10,10000
Complex/decimal,CTRE-SIMD,128,19.64,0.34,19.37,20.20,19.47,19.23,20.06,10000
Complex/decimal,CTRE-SIMD,16,8.39,0.42,8.20,9.14,8.21,7.88,8.91,10000
Complex/decimal,CTRE-SIMD,16384,437.57,4.06,433.79,443.43,436.69,432.53,442.61,10000
Complex/decimal,CTRE-SIMD,2048,87.54,0.49,86.98,88.04,87.61,86.94,88.15,10000
Complex/decimal,CTRE-SIMD,256,28.00,0.48,27.51,28.57,27.80,27.40,28.60,10000
Complex/decimal,CTRE-SIMD,32,11.31,0.33,11.16,11.91,11.16,10.90,11.73,10000
Complex/decimal,CTRE-SIMD,32768,1293.88,22.89,1275.28,1333.23,1287.31,1265.46,1322.30,10000
Complex/decimal,CTRE-SIMD,4096,135.80,1.11,134.62,137.18,135.63,134.43,137.18,10000
Complex/decimal,CTRE-SIMD,512,38.00,1.19,36.77,39.48,37.50,36.52,39.49,10000
Complex/decimal,CTRE-SIMD,64,23.98,0.04,23.94,24.04,23.98,23.94,24.03,10000
Complex/decimal,CTRE-SIMD,8192,233.23,1.21,231.60,234.82,233.07,231.72,234.73,10000
Complex/decimal,Hyperscan,1024,591.49,0.49,590.66,591.99,591.60,590.87,592.10,10000
Complex/decimal,Hyperscan,128,106.96,0.53,106.33,107.70,106.90,106.31,107.62,10000
Complex/decimal,Hyperscan,16,53.76,0.58,53.07,54.30,53.98,53.03,54.48,10000
Complex/decimal,Hyperscan,16384,8832.32,8.36,8825.36,8846.54,8829.47,8821.94,8842.71,10000
Complex/decimal,Hyperscan,2048,1145.26,1.72,1142.69,1146.85,1146.14,1143.13,1147.40,10000
Complex/decimal,Hyperscan,256,176.24,0.99,175.07,177.54,175.99,175.01,177.47,10000
Complex/decimal,Hyperscan,32,84.97,2.93,83.43,90.20,83.67,81.34,88.61,10000
Complex/decimal,Hyperscan,32768,17630.44,11.94,17617.37,17643.92,17628.51,17615.62,17645.27,10000
Complex/decimal,Hyperscan,4096,2242.90,0.67,2241.81,2243.50,2243.04,2242.07,2243.73,10000
Complex/decimal,Hyperscan,512,313.11,0.60,312.44,314.00,312.96,312.37,313.85,10000
Complex/decimal,Hyperscan,64,73.08,0.41,72.56,73.49,73.12,72.57,73.59,10000
Complex/decimal,Hyperscan,8192,4435.43,2.43,4432.59,4438.44,4434.93,4432.41,4438.45,10000
Complex/decimal,PCRE2,1024,454.97,1.11,454.10,456.85,454.44,453.60,456.35,10000
Complex/decimal,PCRE2,128,68.51,0.53,67.92,69.30,68.58,67.84,69.17,10000
Complex/decimal,PCRE2,16,23.64,0.27,23.32,23.90,23.78,23.30,23.98,10000
Complex/decimal,PCRE2,16384,6987.91,4.56,6981.39,6991.43,6990.62,6982.24,6993.57,10000
Complex/decimal,PCRE2,2048,913.30,1.33,911.50,914.95,913.13,911.65,914.94,10000
Complex/decimal,PCRE2,256,122.43,1.33,121.73,124.79,121.85,120.78,124.07,10000
Complex/decimal,PCRE2,32,29.32,0.38,28.98,29.89,29.14,28.85,29.79,10000
Complex/decimal,PCRE2,32768,14168.17,4.74,14162.10,14174.04,14166.68,14162.29,14174.05,10000
Complex/decimal,PCRE2,4096,1777.75,7.08,1772.61,1788.99,1773.37,1768.96,1786.53,10000
Complex/decimal,PCRE2,512,232.28,1.48,230.75,234.76,231.98,230.44,234.12,10000
Complex/decimal,PCRE2,64,41.61,0.75,40.97,42.90,41.39,40.68,42.53,10000
Complex/decimal,PCRE2,8192,3509.33,12.71,3498.13,3531.17,3506.38,3493.55,3525.11,10000
Complex/decimal,RE2,1024,1536.04,34.72,1500.44,1575.47,1522.83,1492.93,1579.15,10000
Complex/decimal,RE2,128,230.87,4.15,226.37,237.53,230.06,225.72,236.02,10000
Complex/decimal,RE2,16,74.27,0.85,73.33,75.54,74.07,73.22,75.33,10000
Complex/decimal,RE2,16384,23162.23,29.28,23126.12,23201.33,23154.51,23125.88,23198.59,10000
Complex/decimal,RE2,2048,2973.55,43.90,2937.09,3042.97,2960.47,2919.04,3028.07,10000
Complex/decimal,RE2,256,411.66,5.08,406.86,419.55,410.09,405.35,417.98,10000
Complex/decimal,RE2,32,94.92,1.46,92.87,96.96,94.92,93.11,96.72,10000
Complex/decimal,RE2,32768,46211.27,228.65,46068.88,46617.69,46124.64,45927.37,46495.17,10000
Complex/decimal,RE2,4096,5859.70,18.86,5847.00,5892.20,5853.04,5836.28,5883.11,10000
Complex/decimal,RE2,512,775.20,12.47,763.06,796.32,772.38,759.71,790.69,10000
Complex/decimal,RE2,64,139.47,1.29,137.89,141.06,139.39,137.86,141.08,10000
Complex/decimal,RE2,8192,11646.18,75.38,11606.04,11780.78,11616.61,11552.58,11739.77,10000
Complex/decimal,std::regex,1024,23178.75,315.97,22775.90,23618.72,23191.85,22786.42,23571.08,2000
Complex/decimal,std::regex,128,2719.15,28.54,2687.08,2765.43,2714.45,2683.71,2754.58,2000
Complex/decimal,std::regex,16,323.67,4.46,316.23,326.89,326.07,318.13,329.20,2000
Complex/decimal,std::regex,2048,48649.06,1485.89,46732.10,50739.91,48309.80,46804.08,50494.04,2000
Complex/decimal,std::regex,256,5766.73,52.27,5732.10,5855.46,5738.78,5701.83,5831.64,2000
Complex/decimal,std::regex,32,591.37,3.71,587.76,596.91,590.02,586.76,595.98,2000
Complex/decimal,std::regex,4096,109308.82,3522.01,105255.35,112657.43,111177.15,104935.66,113681.97,2000
Complex/decimal,std::regex,512,11550.73,207.97,11346.20,11887.17,11469.22,11292.50,11808.96,2000
Complex/decimal,std::regex,64,1382.95,17.48,1364.47,1403.51,1384.73,1361.25,1404.66,2000
