Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Fallback/backref_repeat,CTRE,1024,298.57,0.26,298.30,298.85,298.57,298.24,298.89,5000
Fallback/backref_repeat,CTRE,128,36.92,0.38,36.51,37.47,37.00,36.45,37.39,5000
Fallback/backref_repeat,CTRE,16,4.52,0.02,4.48,4.54,4.53,4.49,4.55,5000
Fallback/backref_repeat,CTRE,16384,4731.44,5.32,4724.96,4737.00,4733.80,4724.83,4738.04,5000
Fallback/backref_repeat,CTRE,2048,595.84,1.74,592.89,597.42,596.48,593.68,598.00,5000
Fallback/backref_repeat,CTRE,256,77.35,2.26,73.41,79.11,77.94,74.55,80.16,5000
Fallback/backref_repeat,CTRE,32,8.93,0.02,8.91,8.95,8.92,8.90,8.95,5000
Fallback/backref_repeat,CTRE,32768,9432.87,6.54,9422.93,9439.22,9436.20,9424.75,9440.99,5000
Fallback/backref_repeat,CTRE,4096,1189.56,3.03,1187.18,1194.78,1189.02,1185.79,1193.33,5000
Fallback/backref_repeat,CTRE,512,147.21,4.54,141.62,151.07,150.10,141.57,152.85,5000
Fallback/backref_repeat,CTRE,64,18.10,0.01,18.09,18.11,18.09,18.08,18.11,5000
Fallback/backref_repeat,CTRE,8192,2369.76,10.81,2353.47,2380.10,2374.82,2356.34,2383.18,5000
Fallback/backref_repeat,PCRE2,1024,1116.74,2.51,1113.00,1119.62,1116.96,1113.63,1119.85,5000
Fallback/backref_repeat,PCRE2,128,153.55,1.01,152.58,155.24,153.42,152.30,154.81,5000
Fallback/backref_repeat,PCRE2,16,32.83,0.79,31.89,33.82,32.90,31.85,33.80,5000
Fallback/backref_repeat,PCRE2,16384,17493.52,178.91,17183.44,17642.92,17538.21,17271.38,17715.66,5000
Fallback/backref_repeat,PCRE2,2048,2215.53,3.34,2212.54,2220.92,2214.90,2211.38,2219.68,5000
Fallback/backref_repeat,PCRE2,256,293.22,1.18,291.91,294.77,293.55,291.76,294.68,5000
Fallback/backref_repeat,PCRE2,32,50.62,0.73,50.00,51.81,50.24,49.71,51.53,5000
Fallback/backref_repeat,PCRE2,32768,34915.15,440.95,34131.58,35198.17,35077.99,34367.63,35462.67,5000
Fallback/backref_repeat,PCRE2,4096,4436.56,68.34,4399.86,4558.57,4407.09,4351.70,4521.42,5000
Fallback/backref_repeat,PCRE2,512,567.64,1.90,565.88,570.53,567.39,565.28,569.99,5000
Fallback/backref_repeat,PCRE2,64,85.19,1.58,82.39,86.18,85.78,83.23,87.15,5000
Fallback/backref_repeat,PCRE2,8192,8779.98,7.22,8773.84,8788.85,8776.18,8771.01,8788.94,5000
Fallback/backref_repeat,std::regex,1024,14380.59,349.70,13991.01,14808.23,14355.52,13946.39,14814.79,1000
Fallback/backref_repeat,std::regex,128,1776.23,75.71,1712.16,1873.59,1732.92,1682.22,1870.24,1000
Fallback/backref_repeat,std::regex,16,215.82,19.12,186.85,237.28,218.35,192.08,239.56,1000
Fallback/backref_repeat,std::regex,2048,29635.21,721.23,28893.19,30726.11,29548.66,28739.69,30530.73,1000
Fallback/backref_repeat,std::regex,256,3488.23,142.13,3341.09,3724.14,3459.08,3311.76,3664.71,1000
Fallback/backref_repeat,std::regex,32,371.24,38.80,338.60,430.38,357.89,323.06,419.42,1000
Fallback/backref_repeat,std::regex,4096,57675.76,4614.17,50400.54,61626.09,58040.52,51946.51,63405.01,1000
Fallback/backref_repeat,std::regex,512,6982.57,228.41,6802.81,7381.26,6906.89,6698.95,7266.18,1000
Fallback/backref_repeat,std::regex,64,650.22,74.64,585.93,766.58,621.09,557.54,742.90,1000
Fallback/backref_repeat,std::regex,8192,125381.18,5733.26,117752.15,131007.28,128505.71,118262.39,132499.97,1000
Fallback/group_repeat,CTRE,1024,157.40,10.09,149.67,168.80,150.68,144.87,169.92,0
Fallback/group_repeat,CTRE,128,18.71,0.43,18.35,19.40,18.53,18.18,19.25,0
Fallback/group_repeat,CTRE,16,3.56,0.03,3.54,3.62,3.54,3.51,3.60,0
Fallback/group_repeat,CTRE,16384,2544.42,2.69,2541.13,2547.32,2543.89,2541.08,2547.76,0
Fallback/group_repeat,CTRE,2048,329.74,0.41,329.19,330.17,329.91,329.23,330.24,0
Fallback/group_repeat,CTRE,256,36.06,0.62,35.39,36.75,36.23,35.29,36.83,0
Fallback/group_repeat,CTRE,32,6.40,1.79,5.57,9.59,5.60,4.18,8.61,0
Fallback/group_repeat,CTRE,32768,4993.65,7.40,4985.65,5002.71,4991.30,4984.46,5002.84,0
Fallback/group_repeat,CTRE,4096,650.18,1.23,648.46,651.61,650.49,648.65,651.71,0
Fallback/group_repeat,CTRE,512,76.27,4.22,73.44,83.72,74.70,71.03,81.50,0
Fallback/group_repeat,CTRE,64,9.92,0.21,9.81,10.29,9.83,9.66,10.18,0
Fallback/group_repeat,CTRE,8192,1283.08,2.34,1280.38,1285.92,1283.87,1280.17,1285.98,0
Fallback/group_repeat,Hyperscan,1024,39.44,0.75,38.54,40.33,39.55,38.50,40.38,0
Fallback/group_repeat,Hyperscan,128,39.45,0.66,38.64,40.29,39.56,38.64,40.27,0
Fallback/group_repeat,Hyperscan,16,23.76,0.34,23.46,24.22,23.62,23.34,24.18,0
Fallback/group_repeat,Hyperscan,16384,40.71,1.42,39.58,42.45,39.76,38.94,42.48,0
Fallback/group_repeat,Hyperscan,2048,39.77,0.85,38.91,40.94,39.67,38.71,40.82,0
Fallback/group_repeat,Hyperscan,256,41.13,2.46,39.31,45.41,40.38,38.08,44.19,0
Fallback/group_repeat,Hyperscan,32,42.66,10.19,37.78,60.88,38.10,30.01,55.31,0
Fallback/group_repeat,Hyperscan,32768,41.11,1.06,40.02,42.29,40.91,39.80,42.42,0
Fallback/group_repeat,Hyperscan,4096,39.63,0.33,39.21,40.14,39.62,39.21,40.04,0
Fallback/group_repeat,Hyperscan,512,39.92,1.57,38.70,42.46,39.28,37.97,41.87,0
Fallback/group_repeat,Hyperscan,64,68.12,0.65,67.51,69.18,68.00,67.31,68.92,0
Fallback/group_repeat,Hyperscan,8192,39.96,0.72,39.28,40.97,39.64,39.07,40.85,0
Fallback/group_repeat,PCRE2,1024,428.50,2.69,426.09,433.02,428.02,425.15,431.84,0
Fallback/group_repeat,PCRE2,128,61.25,0.61,60.58,62.04,61.23,60.48,62.01,0
Fallback/group_repeat,PCRE2,16,24.26,1.77,22.34,27.12,24.13,22.06,26.45,0
Fallback/group_repeat,PCRE2,16384,6632.49,11.69,6622.77,6647.38,6624.92,6617.97,6647.01,0
Fallback/group_repeat,PCRE2,2048,848.87,3.16,844.38,852.21,850.07,844.95,852.80,0
Fallback/group_repeat,PCRE2,256,113.72,0.43,113.14,114.32,113.75,113.19,114.25,0
