Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Fallback/backref_repeat,CTRE-Scalar,1024,281.26,1.13,279.37,282.20,281.56,279.86,282.66,5000
Fallback/backref_repeat,CTRE-Scalar,128,35.70,0.55,35.19,36.46,35.65,35.02,36.38,5000
Fallback/backref_repeat,CTRE-Scalar,16,5.88,0.47,5.67,6.72,5.67,5.30,6.46,5000
Fallback/backref_repeat,CTRE-Scalar,16384,4599.16,39.89,4566.33,4657.25,4579.05,4549.63,4648.70,5000
Fallback/backref_repeat,CTRE-Scalar,2048,588.05,1.79,585.88,590.23,587.52,585.82,590.28,5000
Fallback/backref_repeat,CTRE-Scalar,256,72.34,2.13,68.94,74.31,72.26,69.69,74.99,5000
Fallback/backref_repeat,CTRE-Scalar,32,9.88,0.23,9.77,10.29,9.78,9.59,10.16,5000
Fallback/backref_repeat,CTRE-Scalar,32768,9276.93,86.58,9123.08,9327.80,9308.40,9169.42,9384.43,5000
Fallback/backref_repeat,CTRE-Scalar,4096,1167.31,8.75,1151.69,1172.11,1170.94,1156.44,1178.17,5000
Fallback/backref_repeat,CTRE-Scalar,512,141.22,1.99,139.99,144.70,140.30,138.74,143.70,5000
Fallback/backref_repeat,CTRE-Scalar,64,18.51,0.35,18.26,19.03,18.27,18.07,18.95,5000
Fallback/backref_repeat,CTRE-Scalar,8192,2313.27,17.92,2289.38,2327.55,2324.88,2291.02,2335.52,5000
Fallback/backref_repeat,PCRE2,1024,1115.76,1.12,1114.57,1117.07,1116.26,1114.37,1117.15,5000
Fallback/backref_repeat,PCRE2,128,152.75,0.81,151.40,153.56,152.82,151.74,153.76,5000
Fallback/backref_repeat,PCRE2,16,32.60,0.93,31.71,34.11,32.36,31.45,33.75,5000
Fallback/backref_repeat,PCRE2,16384,17546.36,12.09,17533.98,17565.59,17544.67,17531.34,17561.38,5000
Fallback/backref_repeat,PCRE2,2048,2215.93,2.98,2211.85,2219.11,2216.20,2212.23,2219.64,5000
Fallback/backref_repeat,PCRE2,256,293.01,1.18,291.67,294.51,292.95,291.54,294.48,5000
Fallback/backref_repeat,PCRE2,32,50.19,1.27,49.09,52.17,49.51,48.61,51.77,5000
Fallback/backref_repeat,PCRE2,32768,34944.67,288.17,34429.31,35083.35,35067.45,34586.86,35302.49,5000
Fallback/backref_repeat,PCRE2,4096,4393.26,24.61,4349.63,4409.35,4403.02,4362.70,4423.82,5000
Fallback/backref_repeat,PCRE2,512,564.70,5.36,555.40,568.26,566.41,558.05,571.36,5000
Fallback/backref_repeat,PCRE2,64,83.80,0.49,83.17,84.51,83.75,83.19,84.41,5000
Fallback/backref_repeat,PCRE2,8192,8782.57,5.63,8775.10,8790.85,8781.87,8775.58,8789.56,5000
Fallback/backref_repeat,std::regex,1024,14365.49,947.47,13132.15,15243.36,14740.35,13189.05,15541.93,1000
Fallback/backref_repeat,std::regex,128,1676.67,119.57,1572.82,1864.85,1625.67,1528.20,1825.14,1000
Fallback/backref_repeat,std::regex,16,206.95,11.70,192.94,223.27,208.73,192.42,221.47,1000
Fallback/backref_repeat,std::regex,2048,29897.06,2186.64,28227.25,33574.31,29712.36,27181.99,32612.14,1000
Fallback/backref_repeat,std::regex,256,3494.17,225.65,3203.85,3732.32,3572.04,3213.99,3774.35,1000
Fallback/backref_repeat,std::regex,32,339.23,29.59,310.86,374.48,334.10,302.49,375.98,1000
Fallback/backref_repeat,std::regex,4096,61397.26,5775.45,57071.69,70324.25,58228.81,54226.10,68568.42,1000
Fallback/backref_repeat,std::regex,512,6933.61,202.79,6745.84,7186.68,6847.96,6681.81,7185.40,1000
Fallback/backref_repeat,std::regex,64,622.29,29.64,589.03,646.22,640.27,585.49,659.10,1000
Fallback/backref_repeat,std::regex,8192,126109.95,5405.75,119332.01,131416.61,129050.46,119397.82,132822.07,1000
Fallback/group_repeat,CTRE-Scalar,1024,148.54,0.75,147.53,149.31,148.31,147.61,149.47,0
Fallback/group_repeat,CTRE-Scalar,128,18.59,0.35,18.38,19.22,18.46,18.15,19.03,0
Fallback/group_repeat,CTRE-Scalar,16,3.54,0.00,3.54,3.55,3.54,3.54,3.55,0
Fallback/group_repeat,CTRE-Scalar,16384,2548.85,3.83,2543.17,2552.43,2548.63,2544.09,2553.60,0
Fallback/group_repeat,CTRE-Scalar,2048,331.00,1.03,330.26,332.77,330.54,329.73,332.28,0
Fallback/group_repeat,CTRE-Scalar,256,36.10,0.41,35.47,36.54,36.21,35.59,36.62,0
Fallback/group_repeat,CTRE-Scalar,32,5.66,0.17,5.56,5.96,5.60,5.45,5.87,0
Fallback/group_repeat,CTRE-Scalar,32768,4985.77,15.10,4968.50,5009.46,4982.35,4967.03,5004.51,0
Fallback/group_repeat,CTRE-Scalar,4096,651.67,1.65,649.62,653.71,651.91,649.62,653.71,0
Fallback/group_repeat,CTRE-Scalar,512,75.12,0.14,75.00,75.28,75.07,74.95,75.29,0
Fallback/group_repeat,CTRE-Scalar,64,10.06,0.35,9.82,10.64,9.85,9.62,10.50,0
Fallback/group_repeat,CTRE-Scalar,8192,1284.97,2.35,1281.18,1287.01,1285.56,1282.06,1287.88,0
Fallback/group_repeat,Hyperscan,1024,39.82,0.89,38.76,40.81,39.64,38.71,40.93,0
Fallback/group_repeat,Hyperscan,128,39.39,0.57,38.91,40.30,39.26,38.69,40.09,0
Fallback/group_repeat,Hyperscan,16,23.69,0.24,23.47,23.98,23.58,23.39,23.99,0
Fallback/group_repeat,Hyperscan,16384,40.20,0.96,39.39,41.85,39.97,39.01,41.38,0
Fallback/group_repeat,Hyperscan,2048,39.99,0.61,39.08,40.75,40.06,39.24,40.75,0
Fallback/group_repeat,Hyperscan,256,39.96,0.74,39.06,40.97,39.89,39.04,40.87,0
Fallback/group_repeat,Hyperscan,32,38.43,0.61,37.78,39.29,38.49,37.67,39.19,0
Fallback/group_repeat,Hyperscan,32768,40.46,0.46,40.11,41.00,40.15,39.89,41.02,0
Fallback/group_repeat,Hyperscan,4096,39.26,0.46,38.72,39.78,39.16,38.69,39.84,0
Fallback/group_repeat,Hyperscan,512,40.33,0.87,39.42,41.71,40.32,39.26,41.41,0
Fallback/group_repeat,Hyperscan,64,67.90,0.35,67.61,68.30,67.68,67.46,68.33,0
Fallback/group_repeat,Hyperscan,8192,39.98,0.99,39.20,41.39,39.44,38.76,41.21,0
Fallback/group_repeat,PCRE2,1024,429.39,3.56,425.48,433.99,428.90,424.97,433.82,0
Fallback/group_repeat,PCRE2,128,60.78,0.51,60.30,61.63,60.61,60.14,61.41,0
Fallback/group_repeat,PCRE2,16,22.91,0.99,22.33,24.64,22.35,21.67,24.14,0
Fallback/group_repeat,PCRE2,16384,6625.78,13.89,6614.55,6649.24,6619.80,6608.53,6643.02,0
Fallback/group_repeat,PCRE2,2048,846.24,1.01,845.13,847.15,846.66,844.98,847.49,0
Fallback/group_repeat,PCRE2,256,113.42,0.39,113.08,114.05,113.35,112.94,113.91,0
Fallback/group_repeat,PCRE2,32,26.78,1.24,26.09,28.98,26.17,25.24,28.32,0
Fallback/group_repeat,PCRE2,32768,13235.94,24.23,13219.27,13278.69,13227.48,13205.86,13266.02,0
Fallback/group_repeat,PCRE2,4096,1673.79,2.25,1671.66,1677.12,1673.58,1671.00,1676.59,0
Fallback/group_repeat,PCRE2,512,216.41,0.94,215.28,217.64,216.66,215.24,217.58,0
Fallback/group_repeat,PCRE2,64,37.75,0.98,37.02,39.34,37.28,36.53,38.96,0
Fallback/group_repeat,PCRE2,8192,3323.94,2.59,3320.09,3326.58,3324.62,3320.72,3327.15,0
Fallback/group_repeat,RE2,1024,792.49,11.27,781.13,811.32,790.44,778.50,806.48,0
Fallback/group_repeat,RE2,128,138.79,2.76,136.05,143.11,137.82,135.36,142.21,0
Fallback/group_repeat,RE2,16,50.51,0.58,49.74,50.98,50.90,49.78,51.24,0
Fallback/group_repeat,RE2,16384,11786.29,154.32,11544.04,11956.48,11813.48,11594.67,11977.91,0
Fallback/group_repeat,RE2,2048,1525.08,20.21,1499.76,1553.26,1528.67,1499.99,1550.18,0
Fallback/group_repeat,RE2,256,228.90,3.54,224.99,232.97,228.07,224.50,233.29,0
Fallback/group_repeat,RE2,32,69.72,1.20,68.20,70.93,70.27,68.23,71.21,0
Fallback/group_repeat,RE2,32768,23768.83,54.17,23691.17,23839.23,23766.45,23701.57,23836.09,0
Fallback/group_repeat,RE2,4096,3000.74,32.95,2944.23,3029.33,3012.16,2959.83,3041.65,0
Fallback/group_repeat,RE2,512,418.73,18.82,405.78,451.54,414.70,395.37,442.10,0
Fallback/group_repeat,RE2,64,93.12,2.33,91.02,96.62,92.91,90.23,96.02,0
Fallback/group_repeat,RE2,8192,5896.91,35.81,5862.69,5955.04,5886.16,5852.44,5941.38,0
Fallback/group_repeat,std::regex,1024,12255.83,1276.18,10589.72,14051.75,12210.30,10671.24,13840.41,0
Fallback/group_repeat,std::regex,128,1467.07,51.38,1393.13,1516.01,1479.28,1403.27,1530.87,0
Fallback/group_repeat,std::regex,16,193.66,2.03,191.54,196.13,192.64,191.14,196.18,0
Fallback/group_repeat,std::regex,2048,26598.85,4236.71,21972.97,30542.77,28893.38,21338.28,31859.42,0
Fallback/group_repeat,std::regex,256,3052.14,269.61,2594.41,3292.16,3105.70,2717.38,3386.90,0
Fallback/group_repeat,std::regex,32,393.51,7.67,385.99,403.06,390.14,383.99,403.03,0
Fallback/group_repeat,std::regex,4096,53524.55,4761.81,48619.88,60274.56,52709.94,47611.99,59437.12,0
Fallback/group_repeat,std::regex,512,5969.22,621.42,5275.55,6550.35,6248.50,5197.62,6740.81,0
Fallback/group_repeat,std::regex,64,767.92,13.37,755.53,787.80,761.79,751.31,784.53,0
Fallback/group_repeat,std::regex,8192,126979.47,16769.41,108578.38,147197.92,121395.59,106157.49,147801.45,0
Fallback/lazy_plus,CTRE-Scalar,1024,1076.78,18.78,1067.35,1110.35,1068.35,1053.46,1100.11,510
Fallback/lazy_plus,CTRE-Scalar,128,136.77,0.31,136.47,137.14,136.67,136.38,137.16,380
Fallback/lazy_plus,CTRE-Scalar,16,16.17,0.18,16.00,16.37,16.06,15.94,16.39,670
Fallback/lazy_plus,CTRE-Scalar,16384,17060.19,81.86,17011.80,17204.44,17018.53,16958.54,17161.83,430
Fallback/lazy_plus,CTRE-Scalar,2048,2132.89,1.07,2131.21,2134.17,2133.06,2131.56,2134.21,430
Fallback/lazy_plus,CTRE-Scalar,256,270.22,0.33,269.93,270.69,270.04,269.81,270.63,340
