Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Fallback/backref_repeat,CTRE-SIMD,1024,298.52,0.43,298.05,299.14,298.59,297.98,299.06,5000
Fallback/backref_repeat,CTRE-SIMD,128,36.76,0.38,36.47,37.28,36.52,36.29,37.24,5000
Fallback/backref_repeat,CTRE-SIMD,16,4.89,0.53,4.56,5.79,4.57,4.23,5.55,5000
Fallback/backref_repeat,CTRE-SIMD,16384,4728.27,3.98,4723.73,4734.20,4727.93,4723.33,4733.21,5000
Fallback/backref_repeat,CTRE-SIMD,2048,597.07,1.65,594.16,598.17,597.73,595.02,599.11,5000
Fallback/backref_repeat,CTRE-SIMD,256,77.86,0.63,76.74,78.21,78.11,77.08,78.63,5000
Fallback/backref_repeat,CTRE-SIMD,32,8.94,0.01,8.93,8.95,8.94,8.93,8.95,5000
Fallback/backref_repeat,CTRE-SIMD,32768,9437.69,4.93,9430.29,9442.60,9438.47,9431.56,9443.81,5000
Fallback/backref_repeat,CTRE-SIMD,4096,1187.36,1.18,1185.76,1188.79,1187.02,1185.90,1188.82,5000
Fallback/backref_repeat,CTRE-SIMD,512,151.05,0.62,150.25,151.94,150.92,150.28,151.82,5000
Fallback/backref_repeat,CTRE-SIMD,64,18.26,0.34,18.09,18.87,18.11,17.83,18.68,5000
Fallback/backref_repeat,CTRE-SIMD,8192,2373.28,7.26,2362.63,2382.26,2374.50,2364.27,2382.29,5000
Fallback/backref_repeat,PCRE2,1024,1117.01,1.27,1115.19,1118.39,1117.24,1115.44,1118.58,5000
Fallback/backref_repeat,PCRE2,128,152.59,1.47,151.24,154.36,152.09,150.76,154.42,5000
Fallback/backref_repeat,PCRE2,16,32.44,0.76,31.81,33.73,32.21,31.50,33.39,5000
Fallback/backref_repeat,PCRE2,16384,17561.74,43.62,17532.09,17637.97,17547.82,17507.58,17615.91,5000
Fallback/backref_repeat,PCRE2,2048,2214.50,3.42,2211.20,2219.87,2213.41,2210.26,2218.75,5000
Fallback/backref_repeat,PCRE2,256,292.84,1.01,292.19,294.62,292.37,291.59,294.10,5000
Fallback/backref_repeat,PCRE2,32,49.86,0.78,48.73,50.88,49.95,48.90,50.83,5000
Fallback/backref_repeat,PCRE2,32768,34516.63,1366.23,32076.72,35234.06,35055.44,32820.23,36213.03,5000
Fallback/backref_repeat,PCRE2,4096,4403.70,4.78,4398.85,4410.74,4404.34,4397.76,4409.64,5000
Fallback/backref_repeat,PCRE2,512,566.96,0.80,565.68,567.89,567.07,565.96,567.96,5000
Fallback/backref_repeat,PCRE2,64,84.03,1.15,82.58,85.73,83.94,82.61,85.45,5000
Fallback/backref_repeat,PCRE2,8192,8803.59,53.40,8773.83,8898.58,8780.62,8737.29,8869.90,5000
Fallback/backref_repeat,std::regex,1024,14711.45,1030.38,13194.56,15852.72,14916.18,13432.06,15990.84,1000
Fallback/backref_repeat,std::regex,128,1682.61,130.06,1576.42,1830.74,1610.60,1521.12,1844.10,1000
Fallback/backref_repeat,std::regex,16,204.88,6.63,198.25,214.16,201.43,196.66,213.11,1000
Fallback/backref_repeat,std::regex,2048,30072.85,1254.76,27878.73,31038.23,30399.37,28514.86,31630.84,1000
Fallback/backref_repeat,std::regex,256,3549.72,170.02,3349.48,3698.13,3638.47,3338.61,3760.84,1000
