Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Instantiation/email,Hyperscan,0,232784.78,1296.79,231507.61,234787.36,232691.99,231174.60,234394.95,0
Instantiation/email,PCRE2,0,840.89,1.50,838.62,842.25,841.61,839.03,842.75,0
Instantiation/email,RE2,0,5153.28,38.00,5113.03,5196.93,5159.69,5106.10,5200.46,0
Instantiation/email,std::regex,0,38739.39,505.18,38140.14,39471.43,38756.49,38112.13,39366.65,0
Instantiation/hex,Hyperscan,0,150941.71,924.48,149894.11,152416.93,150714.83,149793.81,152089.61,0
Instantiation/hex,PCRE2,0,259.22,2.36,255.67,261.58,260.11,256.29,262.15,0
Instantiation/hex,RE2,0,2110.09,21.28,2089.50,2135.25,2102.39,2083.66,2136.51,0
Instantiation/hex,std::regex,0,14670.45,231.13,14426.75,14918.72,14561.84,14383.46,14957.43,0
Instantiation/identifier,Hyperscan,0,175168.92,1147.34,174079.87,176482.15,174827.97,173744.32,176593.53,0
Instantiation/identifier,PCRE2,0,470.59,3.39,468.61,476.62,469.13,466.37,474.80,0
Instantiation/identifier,RE2,0,2771.80,42.57,2732.14,2837.92,2764.92,2718.94,2824.66,0
Instantiation/identifier,std::regex,0,25294.00,501.62,24594.24,25776.20,25458.65,24671.16,25916.84,0
Instantiation/ipv4,Hyperscan,0,243155.44,552.36,242595.87,243764.09,243124.39,242469.59,243841.29,0
Instantiation/ipv4,PCRE2,0,708.99,2.70,705.72,713.13,708.65,705.63,712.35,0
Instantiation/ipv4,RE2,0,5953.07,42.67,5881.25,5991.22,5965.00,5900.08,6006.06,0
Instantiation/ipv4,std::regex,0,63542.09,1159.92,62224.16,65241.80,63507.69,62101.86,64982.32,0
Instantiation/log_line,Hyperscan,0,1447096.01,4051.62,1442320.89,1450539.59,1449293.90,1442065.26,1452126.76,0
Instantiation/log_line,PCRE2,0,1784.82,2.21,1782.49,1787.14,1784.54,1782.07,1787.57,0
Instantiation/log_line,RE2,0,12584.12,422.41,12042.47,12990.69,12715.12,12059.63,13108.62,0
Instantiation/log_line,std::regex,0,96052.17,1272.39,94200.02,97744.27,96267.73,94472.29,97632.04,0
Instantiation/simple,Hyperscan,0,212562.38,1510.33,210630.75,214233.64,212026.35,210687.06,214437.71,0
Instantiation/simple,PCRE2,0,214.84,1.78,212.76,217.56,214.82,212.63,217.05,0
Instantiation/simple,RE2,0,1778.61,38.47,1748.49,1840.85,1766.58,1730.85,1826.38,0
Instantiation/simple,std::regex,0,16291.26,384.31,15850.72,16817.53,16292.09,15814.08,16768.43,0
Instantiation/url,Hyperscan,0,612846.95,3988.94,609037.24,619529.30,611681.98,607894.04,617799.87,0
Instantiation/url,PCRE2,0,1196.58,51.14,1170.41,1287.98,1174.97,1133.09,1260.08,0
Instantiation/url,RE2,0,6535.14,64.54,6449.59,6601.52,6569.15,6455.01,6615.27,0
Instantiation/url,std::regex,0,25293.60,319.96,25003.00,25647.65,25191.48,24896.32,25690.88,0
Instantiation/uuid,Hyperscan,0,327806.26,1634.76,325707.53,330269.01,327519.23,325776.44,329836.08,0
Instantiation/uuid,PCRE2,0,900.58,3.03,897.84,905.26,900.70,896.82,904.35,0
Instantiation/uuid,RE2,0,11476.15,100.52,11369.99,11642.09,11448.88,11351.33,11600.96,0
Instantiation/uuid,std::regex,0,79998.99,1410.96,78271.75,81964.29,79761.66,78247.06,81750.93,0
