Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Instantiation/email,Hyperscan,0,233603.48,1544.90,231551.01,235654.03,233394.23,231685.24,235521.73,0
Instantiation/email,PCRE2,0,842.31,1.23,840.55,843.57,842.64,840.78,843.83,0
Instantiation/email,RE2,0,5162.37,54.08,5114.38,5244.38,5152.26,5095.22,5229.51,0
Instantiation/email,std::regex,0,38439.86,318.53,38033.76,38886.66,38364.75,38044.36,38835.37,0
Instantiation/hex,Hyperscan,0,150735.22,823.00,149395.06,151583.73,151026.02,149713.33,151757.11,0
Instantiation/hex,PCRE2,0,264.95,4.09,259.64,269.34,265.16,259.88,270.03,0
Instantiation/hex,RE2,0,2108.50,23.53,2087.75,2145.34,2098.17,2079.28,2137.71,0
Instantiation/hex,std::regex,0,14639.35,88.16,14591.04,14796.56,14599.24,14529.89,14748.82,0
Instantiation/identifier,Hyperscan,0,175361.43,1387.41,173292.39,177046.96,175440.41,173638.73,177084.12,0
Instantiation/identifier,PCRE2,0,488.84,27.53,470.50,535.14,472.79,454.66,523.02,0
Instantiation/identifier,RE2,0,2757.32,11.98,2741.99,2771.73,2757.07,2742.44,2772.20,0
Instantiation/identifier,std::regex,0,24974.55,142.28,24821.30,25192.08,24955.13,24797.89,25151.21,0
Instantiation/ipv4,Hyperscan,0,243150.52,1627.31,241173.04,245505.99,242733.41,241129.95,245171.08,0
Instantiation/ipv4,PCRE2,0,707.73,3.73,702.53,711.66,707.34,703.09,712.36,0
Instantiation/ipv4,RE2,0,5953.81,40.34,5911.14,6009.19,5952.16,5903.73,6003.90,0
Instantiation/ipv4,std::regex,0,63407.73,731.65,62791.52,64563.93,63057.28,62499.26,64316.19,0
Instantiation/log_line,Hyperscan,0,1439981.74,4330.87,1433962.38,1445970.67,1440331.96,1434604.26,1445359.23,0
Instantiation/log_line,PCRE2,0,1786.26,1.03,1785.04,1787.54,1786.01,1784.98,1787.55,0
Instantiation/log_line,RE2,0,12121.33,72.39,12003.85,12177.25,12163.15,12031.44,12211.21,0
Instantiation/log_line,std::regex,0,95295.39,992.20,94275.08,96682.51,95535.97,94063.41,96527.36,0
Instantiation/simple,Hyperscan,0,212501.59,1094.73,211458.71,214151.75,212160.76,211142.30,213860.88,0
Instantiation/simple,PCRE2,0,219.81,7.13,211.95,230.11,219.99,210.96,228.67,0
Instantiation/simple,RE2,0,1755.98,18.49,1737.93,1785.86,1749.95,1733.02,1778.94,0
Instantiation/simple,std::regex,0,16290.26,181.99,16072.71,16557.98,16274.17,16064.29,16516.23,0
Instantiation/url,Hyperscan,0,614626.53,3270.48,610614.84,619314.88,615249.37,610565.69,618687.37,0
Instantiation/url,PCRE2,0,1171.94,3.14,1168.87,1176.90,1171.27,1168.04,1175.83,0
Instantiation/url,RE2,0,6545.37,78.36,6459.02,6634.67,6525.05,6448.07,6642.67,0
Instantiation/url,std::regex,0,25245.14,143.61,25117.72,25411.46,25184.82,25066.83,25423.45,0
Instantiation/uuid,Hyperscan,0,325774.59,958.46,324535.08,327088.32,325499.32,324584.50,326964.68,0
Instantiation/uuid,PCRE2,0,902.98,1.89,900.52,905.38,903.45,900.64,905.32,0
Instantiation/uuid,RE2,0,11538.69,145.54,11359.14,11728.19,11575.47,11357.98,11719.41,0
Instantiation/uuid,std::regex,0,79708.56,584.05,79255.71,80691.74,79642.03,78983.37,80433.75,0
