Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Instantiation/email,Hyperscan,0,233943.54,1849.28,231606.32,235811.06,234434.74,231647.36,236239.73,0
Instantiation/email,PCRE2,0,842.18,2.21,840.15,845.78,841.17,839.43,844.92,0
Instantiation/email,RE2,0,5130.27,24.56,5111.53,5167.85,5116.45,5099.78,5160.77,0
Instantiation/email,std::regex,0,38656.42,613.27,37992.68,39654.96,38562.82,37894.94,39417.90,0
Instantiation/hex,Hyperscan,0,150852.73,1587.45,149069.42,152914.75,151318.19,148881.65,152823.81,0
Instantiation/hex,PCRE2,0,259.67,3.98,255.30,265.53,258.48,254.72,264.62,0
Instantiation/hex,RE2,0,2105.20,22.10,2085.93,2130.95,2092.99,2077.75,2132.64,0
Instantiation/hex,std::regex,0,14789.68,305.10,14501.57,15168.99,14622.59,14410.85,15168.51,0
Instantiation/identifier,Hyperscan,0,175048.70,1457.74,173514.71,176974.66,175426.67,173238.68,176858.72,0
Instantiation/identifier,PCRE2,0,471.61,1.81,468.91,473.25,472.48,469.36,473.87,0
Instantiation/identifier,RE2,0,2760.92,34.83,2712.41,2795.65,2751.78,2717.67,2804.16,0
Instantiation/identifier,std::regex,0,25471.91,451.11,24949.97,25897.07,25569.81,24911.79,26032.03,0
Instantiation/ipv4,Hyperscan,0,243576.59,1083.25,241936.21,244873.92,243693.95,242231.56,244921.62,0
Instantiation/ipv4,PCRE2,0,713.01,3.55,709.18,718.83,712.39,708.60,717.43,0
Instantiation/ipv4,RE2,0,5939.53,31.90,5901.77,5971.01,5956.34,5899.92,5979.15,0
Instantiation/ipv4,std::regex,0,63242.81,1177.65,62385.19,65280.07,62978.14,61780.57,64705.05,0
Instantiation/log_line,Hyperscan,0,1443164.56,4405.81,1438160.62,1448589.73,1441739.31,1437694.02,1448635.09,0
Instantiation/log_line,PCRE2,0,1787.28,7.49,1781.46,1800.34,1785.11,1777.98,1796.58,0
Instantiation/log_line,RE2,0,12201.81,253.14,12034.24,12648.24,12130.14,11887.50,12516.12,0
Instantiation/log_line,std::regex,0,94771.40,1276.32,93134.11,96597.38,94861.49,93186.64,96356.16,0
Instantiation/simple,Hyperscan,0,211870.25,2514.63,209065.72,214443.55,211800.22,208747.92,214992.58,0
Instantiation/simple,PCRE2,0,215.87,3.58,212.46,221.61,214.99,211.43,220.32,0
Instantiation/simple,RE2,0,1752.64,19.33,1733.05,1784.71,1747.18,1728.65,1776.64,0
Instantiation/simple,std::regex,0,16278.32,260.33,15990.84,16507.14,16412.32,15955.08,16601.56,0
Instantiation/url,Hyperscan,0,613006.52,5234.89,604642.77,617331.61,614314.46,606506.54,619506.49,0
Instantiation/url,PCRE2,0,1173.75,3.99,1168.56,1179.03,1172.96,1168.80,1178.70,0
Instantiation/url,RE2,0,6526.35,61.00,6468.23,6626.45,6517.72,6450.61,6602.09,0
Instantiation/url,std::regex,0,25457.70,371.46,25197.39,26071.74,25270.96,24996.47,25918.93,0
Instantiation/uuid,Hyperscan,0,326269.79,1967.92,323777.43,328666.41,326645.40,323826.29,328713.29,0
Instantiation/uuid,PCRE2,0,905.37,5.71,900.74,914.50,902.32,898.27,912.46,0
Instantiation/uuid,RE2,0,11505.00,79.89,11409.55,11620.67,11515.63,11405.80,11604.20,0
Instantiation/uuid,std::regex,0,79268.93,384.02,78748.26,79723.93,79188.74,78792.10,79745.76,0
