Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Large/digits,CTRE,1048576,596606.90,282.16,596154.31,596862.09,596727.39,596256.55,596957.24,500
Large/digits,CTRE,131072,74457.23,57.97,74392.22,74529.93,74474.77,74385.25,74529.21,500
Large/digits,CTRE,2097152,1193394.29,530.84,1192835.35,1194093.48,1193505.87,1192735.16,1194053.41,500
Large/digits,CTRE,262144,148918.20,63.14,148851.39,149001.47,148924.54,148839.80,148996.59,500
Large/digits,CTRE,32768,18590.77,14.88,18568.33,18609.69,18592.06,18572.30,18609.24,500
Large/digits,CTRE,4194304,2388032.69,2064.48,2386633.00,2391418.50,2386814.79,2385469.29,2390596.08,500
Large/digits,CTRE,524288,298214.79,78.27,298134.46,298311.51,298186.30,298117.60,298311.98,500
Large/digits,CTRE,65536,37208.64,63.24,37159.29,37313.92,37191.95,37130.11,37287.17,500
Large/digits,CTRE,8388608,4775448.08,1203.46,4773794.33,4776891.90,4775900.08,4773953.78,4776942.38,500
Large/digits,Hyperscan,1048576,560286.75,225.27,559986.77,560599.19,560313.82,560007.04,560566.47,500
Large/digits,Hyperscan,131072,70063.29,40.27,70010.20,70118.74,70062.27,70013.28,70113.29,500
Large/digits,Hyperscan,2097152,1120487.19,248.83,1120097.57,1120787.76,1120523.70,1120178.23,1120796.16,500
Large/digits,Hyperscan,262144,140041.48,66.29,139956.26,140109.45,140033.65,139959.16,140123.79,500
Large/digits,Hyperscan,32768,17549.24,22.92,17523.66,17580.81,17554.65,17520.78,17577.71,500
Large/digits,Hyperscan,4194304,2240458.04,143.07,2240318.43,2240634.16,2240447.63,2240280.40,2240635.69,500
Large/digits,Hyperscan,524288,280095.60,140.81,279886.93,280272.93,280086.67,279920.76,280270.45,500
Large/digits,Hyperscan,65536,35060.27,17.24,35034.36,35081.27,35063.87,35038.86,35081.67,500
Large/digits,Hyperscan,8388608,4479986.67,540.07,4479108.07,4480458.54,4480224.95,4479316.09,4480657.26,500
Large/digits,PCRE2,1048576,281893.36,166.62,281620.51,282035.72,281971.08,281686.47,282100.24,500
Large/digits,PCRE2,131072,35276.17,48.60,35215.71,35343.85,35280.47,35215.82,35336.52,500
Large/digits,PCRE2,2097152,564997.87,1747.21,563775.09,568078.70,564374.93,562828.43,567167.31,500
Large/digits,PCRE2,262144,70461.45,73.51,70408.65,70584.60,70422.09,70370.18,70552.72,500
Large/digits,PCRE2,32768,8909.71,78.90,8820.22,8998.87,8947.59,8811.75,9007.68,500
Large/digits,PCRE2,4194304,1128869.66,1313.72,1127680.99,1131120.02,1128545.19,1127238.46,1130500.86,500
Large/digits,PCRE2,524288,140913.62,133.02,140768.57,141057.41,140849.40,140748.45,141078.78,500
Large/digits,PCRE2,65536,17635.24,16.00,17621.67,17658.40,17626.67,17615.37,17655.11,500
Large/digits,PCRE2,8388608,2254991.94,1104.81,2254197.72,2256929.73,2254530.11,2253620.14,2256363.74,500
Large/digits,RE2,1048576,1471282.16,6647.05,1467600.11,1483099.83,1468284.79,1463028.75,1479535.57,500
Large/digits,RE2,131072,183613.48,166.76,183445.51,183851.52,183562.28,183406.42,183820.54,500
Large/digits,RE2,2097152,2939634.14,10017.02,2934527.44,2957535.78,2935209.89,2927196.36,2952071.92,500
Large/digits,RE2,262144,372316.81,1552.16,369910.88,373822.61,372672.52,370389.55,374244.07,500
Large/digits,RE2,32768,46537.31,170.06,46341.43,46780.61,46544.53,46326.16,46748.46,500
Large/digits,RE2,4194304,5882976.69,27101.97,5868124.10,5931313.16,5872100.59,5849325.15,5916628.24,500
Large/digits,RE2,524288,734940.18,2608.28,733405.15,739568.37,733713.64,731701.57,738178.79,500
Large/digits,RE2,65536,93021.28,362.75,92516.85,93495.99,93044.05,92570.87,93471.70,500
Large/digits,RE2,8388608,11762529.54,57400.94,11735519.08,11865173.59,11736386.37,11691256.85,11833802.22,500
