Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Large/digits,CTRE-Scalar,1048576,596356.93,312.34,596000.31,596667.90,596494.42,595969.12,596744.75,500
Large/digits,CTRE-Scalar,131072,74470.60,99.04,74306.89,74552.96,74482.20,74347.62,74593.58,500
Large/digits,CTRE-Scalar,2097152,1192846.70,507.49,1192136.84,1193519.12,1192859.63,1192216.57,1193476.84,500
Large/digits,CTRE-Scalar,262144,148913.06,125.96,148772.79,149052.81,148960.79,148756.67,149069.46,500
Large/digits,CTRE-Scalar,32768,18581.52,42.81,18512.08,18626.13,18587.26,18528.37,18634.67,500
Large/digits,CTRE-Scalar,4194304,2386934.62,996.91,2385678.40,2388080.55,2387096.90,2385696.80,2388172.45,500
Large/digits,CTRE-Scalar,524288,298263.75,186.66,297937.22,298406.43,298316.73,298031.98,298495.51,500
Large/digits,CTRE-Scalar,65536,37197.73,29.72,37151.57,37230.07,37207.34,37160.83,37234.63,500
Large/digits,CTRE-Scalar,8388608,4774024.40,1884.73,4771958.31,4776243.93,4773248.41,4771684.21,4776364.60,500
Large/digits,Hyperscan,1048576,560293.13,155.29,560166.79,560546.02,560246.79,560100.31,560485.95,500
Large/digits,Hyperscan,131072,70046.46,58.47,69975.70,70116.61,70026.16,69973.86,70119.05,500
Large/digits,Hyperscan,2097152,1120615.97,207.10,1120273.80,1120804.44,1120668.21,1120358.83,1120873.12,500
Large/digits,Hyperscan,262144,140064.10,61.81,139963.67,140122.68,140071.49,139987.35,140140.85,500
Large/digits,Hyperscan,32768,17581.02,69.70,17542.61,17704.17,17545.41,17494.48,17667.56,500
Large/digits,Hyperscan,4194304,2240359.38,830.13,2238932.75,2240945.26,2240575.40,2239328.64,2241390.12,500
Large/digits,Hyperscan,524288,280460.06,410.06,280208.16,281187.06,280292.04,279950.90,280969.22,500
Large/digits,Hyperscan,65536,35063.94,74.58,34996.89,35189.33,35046.70,34971.34,35156.54,500
Large/digits,Hyperscan,8388608,4480894.93,427.97,4480326.00,4481441.11,4480779.11,4480363.53,4481426.32,500
Large/digits,PCRE2,1048576,282151.68,460.40,281736.10,282904.07,281943.17,281580.01,282723.34,500
Large/digits,PCRE2,131072,35232.77,44.31,35167.08,35271.46,35247.72,35177.76,35287.79,500
Large/digits,PCRE2,2097152,564168.80,278.18,563803.55,564460.01,564251.13,563823.40,564514.21,500
Large/digits,PCRE2,262144,70440.32,71.59,70328.77,70513.29,70457.17,70351.44,70529.21,500
Large/digits,PCRE2,32768,8900.64,62.06,8834.54,8975.27,8926.94,8823.59,8977.69,500
Large/digits,PCRE2,4194304,1128519.17,540.06,1127846.15,1129044.07,1128738.06,1127848.60,1129189.75,500
Large/digits,PCRE2,524288,141191.44,642.31,140682.30,142160.84,140831.01,140393.91,141988.98,500
Large/digits,PCRE2,65536,17638.03,18.33,17618.94,17660.15,17643.14,17615.27,17660.79,500
Large/digits,PCRE2,8388608,2256882.69,1946.19,2254977.65,2259352.19,2256025.19,2254466.17,2259299.20,500
Large/digits,RE2,1048576,1473963.71,8446.85,1467334.16,1485171.01,1468827.67,1463475.55,1484451.86,500
Large/digits,RE2,131072,184249.46,1267.23,183229.79,185660.27,183506.72,182675.98,185822.93,500
Large/digits,RE2,2097152,3004618.36,137668.92,2934599.52,3249461.55,2935389.50,2833679.82,3175556.90,500
Large/digits,RE2,262144,372431.56,1402.62,370846.56,374125.90,372124.32,370689.97,374173.15,500
Large/digits,RE2,32768,46739.21,487.65,46153.26,47453.29,46764.90,46133.72,47344.71,500
Large/digits,RE2,4194304,5893932.47,33112.57,5867968.40,5932084.49,5873238.83,5852817.78,5935047.16,500
Large/digits,RE2,524288,751815.89,34924.07,733562.82,814058.35,736281.90,708451.92,795179.85,500
Large/digits,RE2,65536,93077.00,351.77,92772.19,93625.89,92941.82,92640.23,93513.78,500
Large/digits,RE2,8388608,11788205.36,63098.69,11735860.76,11865568.69,11752228.96,11709857.99,11866552.73,500
