Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Large/digits,CTRE-SIMD,1048576,26024.51,73.92,25904.48,26103.82,26033.35,25932.73,26116.30,500
Large/digits,CTRE-SIMD,131072,2451.05,14.51,2435.51,2471.42,2448.93,2433.03,2469.06,500
Large/digits,CTRE-SIMD,2097152,56300.83,154.16,56205.11,56575.08,56241.32,56109.41,56492.25,500
Large/digits,CTRE-SIMD,262144,4934.72,16.48,4917.07,4955.91,4936.32,4914.26,4955.18,500
Large/digits,CTRE-SIMD,32768,622.23,9.49,611.18,635.31,620.31,610.44,634.01,500
Large/digits,CTRE-SIMD,4194304,114740.99,261.61,114513.35,115150.72,114691.62,114416.15,115065.82,500
Large/digits,CTRE-SIMD,524288,10750.56,108.03,10634.28,10874.16,10743.22,10616.41,10884.70,500
Large/digits,CTRE-SIMD,65536,1230.47,8.03,1220.11,1238.52,1231.18,1220.49,1240.45,500
Large/digits,CTRE-SIMD,8388608,234704.43,792.55,233820.62,235794.05,234594.06,233720.35,235688.51,500
Large/digits,Hyperscan,1048576,560862.69,1321.01,560096.12,563204.53,560361.42,559222.44,562502.94,500
Large/digits,Hyperscan,131072,70045.95,74.22,69921.16,70111.41,70058.89,69953.79,70138.10,500
Large/digits,Hyperscan,2097152,1120651.44,131.23,1120453.81,1120821.53,1120667.20,1120488.49,1120814.39,500
Large/digits,Hyperscan,262144,140062.09,60.09,139997.74,140137.31,140049.35,139987.48,140136.71,500
Large/digits,Hyperscan,32768,17593.55,40.11,17532.03,17634.23,17590.08,17543.75,17643.35,500
Large/digits,Hyperscan,4194304,2240388.57,560.17,2239622.26,2241175.43,2240298.74,2239693.03,2241084.12,500
Large/digits,Hyperscan,524288,280160.15,152.47,280008.35,280413.54,280122.87,279970.83,280349.47,500
Large/digits,Hyperscan,65536,35038.83,20.28,35017.22,35064.65,35045.98,35013.65,35064.01,500
Large/digits,Hyperscan,8388608,4479820.80,774.80,4478882.54,4480744.20,4479897.59,4478858.76,4480782.85,500
Large/digits,PCRE2,1048576,281960.76,286.57,281710.77,282433.37,281859.15,281604.94,282316.58,500
Large/digits,PCRE2,131072,35236.67,47.75,35180.36,35307.87,35220.92,35177.39,35295.96,500
Large/digits,PCRE2,2097152,563868.86,164.55,563686.28,564075.61,563904.63,563664.54,564073.18,500
Large/digits,PCRE2,262144,70499.91,157.52,70302.47,70661.35,70467.70,70304.32,70695.50,500
Large/digits,PCRE2,32768,8836.02,12.92,8822.64,8852.10,8834.74,8819.98,8852.06,500
Large/digits,PCRE2,4194304,1128040.47,644.56,1127406.70,1128884.15,1127701.27,1127240.14,1128840.79,500
Large/digits,PCRE2,524288,140819.90,91.58,140731.96,140923.50,140768.65,140706.19,140933.62,500
Large/digits,PCRE2,65536,17637.79,19.26,17615.88,17662.99,17631.08,17613.87,17661.70,500
Large/digits,PCRE2,8388608,2257544.00,1826.05,2256261.95,2260739.81,2256758.64,2255276.66,2259811.35,500
Large/digits,RE2,1048576,1470578.17,6180.27,1467332.64,1481596.86,1467944.26,1462904.34,1478251.99,500
Large/digits,RE2,131072,183628.95,355.39,183375.00,184251.15,183478.62,183187.67,184070.23,500
Large/digits,RE2,2097152,2959421.31,44081.40,2933736.24,3035678.67,2934003.66,2904687.02,3014155.59,500
Large/digits,RE2,262144,372173.63,1224.01,370112.26,373223.08,372356.94,370653.81,373693.44,500
Large/digits,RE2,32768,46719.03,341.45,46439.01,47135.61,46490.85,46295.06,47143.00,500
Large/digits,RE2,4194304,5878485.40,25652.29,5864478.64,5924181.66,5866567.60,5846633.88,5910336.93,500
Large/digits,RE2,524288,740181.38,11120.23,733112.76,759095.82,733712.24,726373.79,753988.97,500
Large/digits,RE2,65536,92912.22,806.13,91971.49,93807.18,92882.47,91911.27,93913.17,500
Large/digits,RE2,8388608,11757831.12,49532.35,11733452.55,11846339.87,11735753.00,11696328.59,11819333.65,500
