Running category: NonMatch
Pattern,Engine,Input_Size,Time_ns,Matches
NonMatch/digits_on_letters,CTRE,16,1.08,0
NonMatch/digits_on_letters,RE2,16,27.36,0
NonMatch/digits_on_letters,PCRE2,16,16.46,0
NonMatch/digits_on_letters,Hyperscan,16,12.46,0
NonMatch/digits_on_letters,std::regex,16,54.93,0
NonMatch/digits_on_letters,CTRE,32,1.07,0
NonMatch/digits_on_letters,RE2,32,44.87,0
NonMatch/digits_on_letters,PCRE2,32,16.48,0
NonMatch/digits_on_letters,Hyperscan,32,12.87,0
NonMatch/digits_on_letters,std::regex,32,59.49,0
NonMatch/digits_on_letters,CTRE,64,1.08,0
NonMatch/digits_on_letters,RE2,64,46.03,0
NonMatch/digits_on_letters,PCRE2,64,16.80,0
NonMatch/digits_on_letters,Hyperscan,64,27.31,0
NonMatch/digits_on_letters,std::regex,64,51.77,0
NonMatch/digits_on_letters,CTRE,128,1.09,0
NonMatch/digits_on_letters,RE2,128,44.68,0
NonMatch/digits_on_letters,PCRE2,128,16.51,0
NonMatch/digits_on_letters,Hyperscan,128,26.76,0
NonMatch/digits_on_letters,std::regex,128,56.94,0
NonMatch/digits_on_letters,CTRE,256,1.08,0
NonMatch/digits_on_letters,RE2,256,45.62,0
NonMatch/digits_on_letters,PCRE2,256,16.48,0
NonMatch/digits_on_letters,Hyperscan,256,26.61,0
NonMatch/digits_on_letters,std::regex,256,57.13,0
NonMatch/digits_on_letters,CTRE,512,1.08,0
NonMatch/digits_on_letters,RE2,512,43.89,0
NonMatch/digits_on_letters,PCRE2,512,16.51,0
NonMatch/digits_on_letters,Hyperscan,512,26.58,0
NonMatch/digits_on_letters,std::regex,512,51.78,0
NonMatch/digits_on_letters,CTRE,1024,1.08,0
NonMatch/digits_on_letters,RE2,1024,44.17,0
NonMatch/digits_on_letters,PCRE2,1024,16.53,0
NonMatch/digits_on_letters,Hyperscan,1024,27.25,0
NonMatch/digits_on_letters,std::regex,1024,51.78,0
NonMatch/digits_on_letters,CTRE,2048,1.09,0
NonMatch/digits_on_letters,RE2,2048,45.68,0
NonMatch/digits_on_letters,PCRE2,2048,16.47,0
NonMatch/digits_on_letters,Hyperscan,2048,26.67,0
NonMatch/digits_on_letters,std::regex,2048,52.02,0
NonMatch/digits_on_letters,CTRE,4096,1.15,0
NonMatch/digits_on_letters,RE2,4096,44.46,0
NonMatch/digits_on_letters,PCRE2,4096,17.40,0
NonMatch/digits_on_letters,Hyperscan,4096,27.49,0
NonMatch/digits_on_letters,std::regex,4096,51.78,0
NonMatch/digits_on_letters,CTRE,8192,1.14,0
NonMatch/digits_on_letters,RE2,8192,45.44,0
NonMatch/digits_on_letters,PCRE2,8192,17.30,0
NonMatch/digits_on_letters,Hyperscan,8192,27.71,0
NonMatch/digits_on_letters,std::regex,8192,51.78,0
NonMatch/digits_on_letters,CTRE,16384,1.08,0
NonMatch/digits_on_letters,RE2,16384,46.04,0
NonMatch/digits_on_letters,PCRE2,16384,16.48,0
NonMatch/digits_on_letters,Hyperscan,16384,28.20,0
NonMatch/digits_on_letters,CTRE,32768,1.13,0
NonMatch/digits_on_letters,RE2,32768,45.70,0
NonMatch/digits_on_letters,PCRE2,32768,16.51,0
NonMatch/digits_on_letters,Hyperscan,32768,29.42,0
NonMatch/letters_on_digits,CTRE,16,1.60,0
NonMatch/letters_on_digits,RE2,16,26.31,0
NonMatch/letters_on_digits,PCRE2,16,16.47,0
NonMatch/letters_on_digits,Hyperscan,16,12.29,0
NonMatch/letters_on_digits,std::regex,16,51.77,0
NonMatch/letters_on_digits,CTRE,32,1.59,0
NonMatch/letters_on_digits,RE2,32,44.83,0
NonMatch/letters_on_digits,PCRE2,32,17.45,0
NonMatch/letters_on_digits,Hyperscan,32,13.34,0
NonMatch/letters_on_digits,std::regex,32,51.77,0
NonMatch/letters_on_digits,CTRE,64,1.60,0
NonMatch/letters_on_digits,RE2,64,45.02,0
NonMatch/letters_on_digits,PCRE2,64,16.51,0
NonMatch/letters_on_digits,Hyperscan,64,28.16,0
NonMatch/letters_on_digits,std::regex,64,51.78,0
NonMatch/letters_on_digits,CTRE,128,1.60,0
NonMatch/letters_on_digits,RE2,128,44.58,0
NonMatch/letters_on_digits,PCRE2,128,16.48,0
NonMatch/letters_on_digits,Hyperscan,128,26.35,0
NonMatch/letters_on_digits,std::regex,128,57.57,0
NonMatch/letters_on_digits,CTRE,256,1.60,0
NonMatch/letters_on_digits,RE2,256,44.51,0
NonMatch/letters_on_digits,PCRE2,256,17.46,0
NonMatch/letters_on_digits,Hyperscan,256,26.83,0
NonMatch/letters_on_digits,std::regex,256,51.76,0
NonMatch/letters_on_digits,CTRE,512,1.60,0
NonMatch/letters_on_digits,RE2,512,45.52,0
NonMatch/letters_on_digits,PCRE2,512,16.47,0
NonMatch/letters_on_digits,Hyperscan,512,28.62,0
NonMatch/letters_on_digits,std::regex,512,58.39,0
NonMatch/letters_on_digits,CTRE,1024,1.60,0
NonMatch/letters_on_digits,RE2,1024,44.68,0
NonMatch/letters_on_digits,PCRE2,1024,16.61,0
NonMatch/letters_on_digits,Hyperscan,1024,29.32,0
NonMatch/letters_on_digits,std::regex,1024,51.77,0
NonMatch/letters_on_digits,CTRE,2048,1.64,0
NonMatch/letters_on_digits,RE2,2048,44.81,0
NonMatch/letters_on_digits,PCRE2,2048,17.08,0
NonMatch/letters_on_digits,Hyperscan,2048,29.00,0
NonMatch/letters_on_digits,std::regex,2048,51.77,0
NonMatch/letters_on_digits,CTRE,4096,1.60,0
NonMatch/letters_on_digits,RE2,4096,45.35,0
NonMatch/letters_on_digits,PCRE2,4096,17.01,0
NonMatch/letters_on_digits,Hyperscan,4096,26.79,0
NonMatch/letters_on_digits,std::regex,4096,51.77,0
NonMatch/letters_on_digits,CTRE,8192,1.61,0
NonMatch/letters_on_digits,RE2,8192,44.78,0
NonMatch/letters_on_digits,PCRE2,8192,16.52,0
NonMatch/letters_on_digits,Hyperscan,8192,27.10,0
NonMatch/letters_on_digits,std::regex,8192,56.15,0
NonMatch/letters_on_digits,CTRE,16384,1.60,0
NonMatch/letters_on_digits,RE2,16384,45.14,0
