Running category: NonMatch
Pattern,Engine,Input_Size,Time_ns,Matches
NonMatch/digits_on_letters,CTRE-Scalar,16,0.79,0
NonMatch/digits_on_letters,RE2,16,26.53,0
NonMatch/digits_on_letters,PCRE2,16,16.38,0
NonMatch/digits_on_letters,Hyperscan,16,12.24,0
NonMatch/digits_on_letters,std::regex,16,55.20,0
NonMatch/digits_on_letters,CTRE-Scalar,32,0.82,0
NonMatch/digits_on_letters,RE2,32,43.77,0
NonMatch/digits_on_letters,PCRE2,32,19.36,0
NonMatch/digits_on_letters,Hyperscan,32,12.53,0
NonMatch/digits_on_letters,std::regex,32,52.03,0
NonMatch/digits_on_letters,CTRE-Scalar,64,0.95,0
NonMatch/digits_on_letters,RE2,64,44.34,0
NonMatch/digits_on_letters,PCRE2,64,16.41,0
NonMatch/digits_on_letters,Hyperscan,64,26.19,0
NonMatch/digits_on_letters,std::regex,64,52.04,0
NonMatch/digits_on_letters,CTRE-Scalar,128,0.86,0
NonMatch/digits_on_letters,RE2,128,44.59,0
NonMatch/digits_on_letters,PCRE2,128,16.38,0
NonMatch/digits_on_letters,Hyperscan,128,27.47,0
NonMatch/digits_on_letters,std::regex,128,52.04,0
NonMatch/digits_on_letters,CTRE-Scalar,256,0.86,0
NonMatch/digits_on_letters,RE2,256,45.00,0
NonMatch/digits_on_letters,PCRE2,256,16.40,0
NonMatch/digits_on_letters,Hyperscan,256,28.00,0
NonMatch/digits_on_letters,std::regex,256,52.04,0
NonMatch/digits_on_letters,CTRE-Scalar,512,0.89,0
NonMatch/digits_on_letters,RE2,512,46.38,0
NonMatch/digits_on_letters,PCRE2,512,16.43,0
NonMatch/digits_on_letters,Hyperscan,512,26.98,0
NonMatch/digits_on_letters,std::regex,512,52.14,0
NonMatch/digits_on_letters,CTRE-Scalar,1024,0.92,0
NonMatch/digits_on_letters,RE2,1024,43.78,0
NonMatch/digits_on_letters,PCRE2,1024,16.57,0
NonMatch/digits_on_letters,Hyperscan,1024,26.49,0
NonMatch/digits_on_letters,std::regex,1024,52.04,0
NonMatch/digits_on_letters,CTRE-Scalar,2048,0.97,0
NonMatch/digits_on_letters,RE2,2048,44.64,0
NonMatch/digits_on_letters,PCRE2,2048,16.49,0
NonMatch/digits_on_letters,Hyperscan,2048,26.62,0
NonMatch/digits_on_letters,std::regex,2048,56.95,0
NonMatch/digits_on_letters,CTRE-Scalar,4096,1.01,0
NonMatch/digits_on_letters,RE2,4096,43.89,0
NonMatch/digits_on_letters,PCRE2,4096,16.82,0
NonMatch/digits_on_letters,Hyperscan,4096,26.62,0
NonMatch/digits_on_letters,std::regex,4096,52.05,0
NonMatch/digits_on_letters,CTRE-Scalar,8192,1.01,0
NonMatch/digits_on_letters,RE2,8192,45.88,0
NonMatch/digits_on_letters,PCRE2,8192,16.40,0
NonMatch/digits_on_letters,Hyperscan,8192,27.07,0
NonMatch/digits_on_letters,std::regex,8192,57.51,0
NonMatch/digits_on_letters,CTRE-Scalar,16384,1.01,0
NonMatch/digits_on_letters,RE2,16384,46.48,0
NonMatch/digits_on_letters,PCRE2,16384,16.42,0
NonMatch/digits_on_letters,Hyperscan,16384,26.88,0
NonMatch/digits_on_letters,CTRE-Scalar,32768,1.02,0
NonMatch/digits_on_letters,RE2,32768,46.41,0
NonMatch/digits_on_letters,PCRE2,32768,17.20,0
NonMatch/digits_on_letters,Hyperscan,32768,29.65,0
NonMatch/letters_on_digits,CTRE-Scalar,16,0.84,0
NonMatch/letters_on_digits,RE2,16,27.74,0
NonMatch/letters_on_digits,PCRE2,16,16.89,0
NonMatch/letters_on_digits,Hyperscan,16,12.27,0
NonMatch/letters_on_digits,std::regex,16,52.05,0
NonMatch/letters_on_digits,CTRE-Scalar,32,0.85,0
NonMatch/letters_on_digits,RE2,32,44.73,0
NonMatch/letters_on_digits,PCRE2,32,17.22,0
NonMatch/letters_on_digits,Hyperscan,32,12.59,0
NonMatch/letters_on_digits,std::regex,32,52.14,0
NonMatch/letters_on_digits,CTRE-Scalar,64,0.94,0
NonMatch/letters_on_digits,RE2,64,45.68,0
NonMatch/letters_on_digits,PCRE2,64,16.44,0
NonMatch/letters_on_digits,Hyperscan,64,26.31,0
NonMatch/letters_on_digits,std::regex,64,52.08,0
NonMatch/letters_on_digits,CTRE-Scalar,128,0.87,0
NonMatch/letters_on_digits,RE2,128,44.09,0
NonMatch/letters_on_digits,PCRE2,128,16.38,0
NonMatch/letters_on_digits,Hyperscan,128,26.90,0
NonMatch/letters_on_digits,std::regex,128,52.04,0
NonMatch/letters_on_digits,CTRE-Scalar,256,0.90,0
NonMatch/letters_on_digits,RE2,256,44.56,0
NonMatch/letters_on_digits,PCRE2,256,17.19,0
NonMatch/letters_on_digits,Hyperscan,256,26.96,0
NonMatch/letters_on_digits,std::regex,256,55.66,0
NonMatch/letters_on_digits,CTRE-Scalar,512,0.93,0
NonMatch/letters_on_digits,RE2,512,44.66,0
NonMatch/letters_on_digits,PCRE2,512,16.38,0
NonMatch/letters_on_digits,Hyperscan,512,27.09,0
NonMatch/letters_on_digits,std::regex,512,59.37,0
NonMatch/letters_on_digits,CTRE-Scalar,1024,0.96,0
NonMatch/letters_on_digits,RE2,1024,45.52,0
NonMatch/letters_on_digits,PCRE2,1024,16.50,0
NonMatch/letters_on_digits,Hyperscan,1024,28.50,0
NonMatch/letters_on_digits,std::regex,1024,54.86,0
NonMatch/letters_on_digits,CTRE-Scalar,2048,0.99,0
NonMatch/letters_on_digits,RE2,2048,45.43,0
NonMatch/letters_on_digits,PCRE2,2048,16.42,0
NonMatch/letters_on_digits,Hyperscan,2048,27.91,0
NonMatch/letters_on_digits,std::regex,2048,52.98,0
NonMatch/letters_on_digits,CTRE-Scalar,4096,1.04,0
NonMatch/letters_on_digits,RE2,4096,45.21,0
NonMatch/letters_on_digits,PCRE2,4096,17.18,0
NonMatch/letters_on_digits,Hyperscan,4096,27.44,0
NonMatch/letters_on_digits,std::regex,4096,52.04,0
NonMatch/letters_on_digits,CTRE-Scalar,8192,1.05,0
NonMatch/letters_on_digits,RE2,8192,45.30,0
NonMatch/letters_on_digits,PCRE2,8192,16.43,0
NonMatch/letters_on_digits,Hyperscan,8192,27.59,0
NonMatch/letters_on_digits,std::regex,8192,52.05,0
NonMatch/letters_on_digits,CTRE-Scalar,16384,1.05,0
NonMatch/letters_on_digits,RE2,16384,46.15,0
NonMatch/letters_on_digits,PCRE2,16384,16.46,0
NonMatch/letters_on_digits,Hyperscan,16384,28.27,0
NonMatch/letters_on_digits,CTRE-Scalar,32768,1.15,0
NonMatch/letters_on_digits,RE2,32768,45.92,0
NonMatch/letters_on_digits,PCRE2,32768,16.88,0
NonMatch/letters_on_digits,Hyperscan,32768,29.30,0
NonMatch/url_on_digits,CTRE-Scalar,16,0.83,0
NonMatch/url_on_digits,RE2,16,26.94,0
NonMatch/url_on_digits,PCRE2,16,16.42,0
NonMatch/url_on_digits,Hyperscan,16,12.32,0
NonMatch/url_on_digits,std::regex,16,55.33,0
NonMatch/url_on_digits,CTRE-Scalar,32,0.86,0
NonMatch/url_on_digits,RE2,32,44.64,0
NonMatch/url_on_digits,PCRE2,32,16.41,0
NonMatch/url_on_digits,Hyperscan,32,12.29,0
NonMatch/url_on_digits,std::regex,32,60.26,0
NonMatch/url_on_digits,CTRE-Scalar,64,0.95,0
NonMatch/url_on_digits,RE2,64,44.11,0
NonMatch/url_on_digits,PCRE2,64,16.46,0
NonMatch/url_on_digits,Hyperscan,64,13.08,0
NonMatch/url_on_digits,std::regex,64,53.18,0
NonMatch/url_on_digits,CTRE-Scalar,128,0.88,0
NonMatch/url_on_digits,RE2,128,45.14,0
NonMatch/url_on_digits,PCRE2,128,16.54,0
NonMatch/url_on_digits,Hyperscan,128,25.12,0
NonMatch/url_on_digits,std::regex,128,53.20,0
NonMatch/url_on_digits,CTRE-Scalar,256,2.11,0
NonMatch/url_on_digits,RE2,256,44.13,0
NonMatch/url_on_digits,PCRE2,256,16.43,0
NonMatch/url_on_digits,Hyperscan,256,25.64,0
NonMatch/url_on_digits,std::regex,256,56.36,0
