Running category: NonMatch
Pattern,Engine,Input_Size,Time_ns,Matches
NonMatch/digits_on_letters,CTRE-SIMD,16,1.08,0
NonMatch/digits_on_letters,RE2,16,26.95,0
NonMatch/digits_on_letters,PCRE2,16,16.29,0
NonMatch/digits_on_letters,Hyperscan,16,12.22,0
NonMatch/digits_on_letters,std::regex,16,55.95,0
NonMatch/digits_on_letters,CTRE-SIMD,32,1.07,0
NonMatch/digits_on_letters,RE2,32,45.52,0
NonMatch/digits_on_letters,PCRE2,32,16.32,0
NonMatch/digits_on_letters,Hyperscan,32,12.25,0
NonMatch/digits_on_letters,std::regex,32,56.25,0
NonMatch/digits_on_letters,CTRE-SIMD,64,1.36,0
NonMatch/digits_on_letters,RE2,64,44.44,0
NonMatch/digits_on_letters,PCRE2,64,16.34,0
NonMatch/digits_on_letters,Hyperscan,64,26.26,0
NonMatch/digits_on_letters,std::regex,64,55.94,0
NonMatch/digits_on_letters,CTRE-SIMD,128,1.07,0
NonMatch/digits_on_letters,RE2,128,45.61,0
NonMatch/digits_on_letters,PCRE2,128,16.75,0
NonMatch/digits_on_letters,Hyperscan,128,27.96,0
NonMatch/digits_on_letters,std::regex,128,52.82,0
NonMatch/digits_on_letters,CTRE-SIMD,256,1.07,0
NonMatch/digits_on_letters,RE2,256,45.77,0
NonMatch/digits_on_letters,PCRE2,256,16.65,0
NonMatch/digits_on_letters,Hyperscan,256,27.74,0
NonMatch/digits_on_letters,std::regex,256,56.67,0
NonMatch/digits_on_letters,CTRE-SIMD,512,1.07,0
NonMatch/digits_on_letters,RE2,512,44.97,0
NonMatch/digits_on_letters,PCRE2,512,17.08,0
NonMatch/digits_on_letters,Hyperscan,512,27.22,0
NonMatch/digits_on_letters,std::regex,512,52.85,0
NonMatch/digits_on_letters,CTRE-SIMD,1024,1.07,0
NonMatch/digits_on_letters,RE2,1024,45.83,0
NonMatch/digits_on_letters,PCRE2,1024,16.22,0
NonMatch/digits_on_letters,Hyperscan,1024,28.38,0
NonMatch/digits_on_letters,std::regex,1024,52.81,0
NonMatch/digits_on_letters,CTRE-SIMD,2048,1.08,0
NonMatch/digits_on_letters,RE2,2048,45.35,0
NonMatch/digits_on_letters,PCRE2,2048,16.23,0
NonMatch/digits_on_letters,Hyperscan,2048,28.30,0
NonMatch/digits_on_letters,std::regex,2048,56.23,0
NonMatch/digits_on_letters,CTRE-SIMD,4096,1.09,0
NonMatch/digits_on_letters,RE2,4096,45.28,0
NonMatch/digits_on_letters,PCRE2,4096,16.25,0
NonMatch/digits_on_letters,Hyperscan,4096,26.73,0
NonMatch/digits_on_letters,std::regex,4096,52.86,0
NonMatch/digits_on_letters,CTRE-SIMD,8192,1.13,0
NonMatch/digits_on_letters,RE2,8192,46.58,0
NonMatch/digits_on_letters,PCRE2,8192,16.21,0
NonMatch/digits_on_letters,Hyperscan,8192,28.19,0
NonMatch/digits_on_letters,std::regex,8192,54.93,0
NonMatch/digits_on_letters,CTRE-SIMD,16384,1.09,0
NonMatch/digits_on_letters,RE2,16384,46.94,0
NonMatch/digits_on_letters,PCRE2,16384,16.23,0
NonMatch/digits_on_letters,Hyperscan,16384,26.93,0
NonMatch/digits_on_letters,CTRE-SIMD,32768,1.09,0
NonMatch/digits_on_letters,RE2,32768,46.44,0
NonMatch/digits_on_letters,PCRE2,32768,16.21,0
NonMatch/digits_on_letters,Hyperscan,32768,27.14,0
NonMatch/letters_on_digits,CTRE-SIMD,16,1.08,0
NonMatch/letters_on_digits,RE2,16,27.74,0
NonMatch/letters_on_digits,PCRE2,16,16.31,0
NonMatch/letters_on_digits,Hyperscan,16,12.53,0
NonMatch/letters_on_digits,std::regex,16,52.82,0
NonMatch/letters_on_digits,CTRE-SIMD,32,1.08,0
NonMatch/letters_on_digits,RE2,32,44.73,0
NonMatch/letters_on_digits,PCRE2,32,17.23,0
NonMatch/letters_on_digits,Hyperscan,32,13.07,0
NonMatch/letters_on_digits,std::regex,32,52.82,0
NonMatch/letters_on_digits,CTRE-SIMD,64,1.10,0
NonMatch/letters_on_digits,RE2,64,45.69,0
NonMatch/letters_on_digits,PCRE2,64,16.23,0
NonMatch/letters_on_digits,Hyperscan,64,26.25,0
NonMatch/letters_on_digits,std::regex,64,52.83,0
NonMatch/letters_on_digits,CTRE-SIMD,128,1.10,0
NonMatch/letters_on_digits,RE2,128,44.41,0
NonMatch/letters_on_digits,PCRE2,128,17.14,0
NonMatch/letters_on_digits,Hyperscan,128,26.30,0
NonMatch/letters_on_digits,std::regex,128,52.82,0
NonMatch/letters_on_digits,CTRE-SIMD,256,1.10,0
NonMatch/letters_on_digits,RE2,256,44.55,0
NonMatch/letters_on_digits,PCRE2,256,17.16,0
NonMatch/letters_on_digits,Hyperscan,256,26.58,0
NonMatch/letters_on_digits,std::regex,256,52.79,0
NonMatch/letters_on_digits,CTRE-SIMD,512,1.19,0
NonMatch/letters_on_digits,RE2,512,45.51,0
NonMatch/letters_on_digits,PCRE2,512,16.80,0
NonMatch/letters_on_digits,Hyperscan,512,26.60,0
NonMatch/letters_on_digits,std::regex,512,59.73,0
NonMatch/letters_on_digits,CTRE-SIMD,1024,1.20,0
NonMatch/letters_on_digits,RE2,1024,45.89,0
NonMatch/letters_on_digits,PCRE2,1024,16.37,0
NonMatch/letters_on_digits,Hyperscan,1024,27.92,0
NonMatch/letters_on_digits,std::regex,1024,52.79,0
NonMatch/letters_on_digits,CTRE-SIMD,2048,1.27,0
NonMatch/letters_on_digits,RE2,2048,46.03,0
NonMatch/letters_on_digits,PCRE2,2048,16.31,0
NonMatch/letters_on_digits,Hyperscan,2048,28.16,0
NonMatch/letters_on_digits,std::regex,2048,52.79,0
NonMatch/letters_on_digits,CTRE-SIMD,4096,1.31,0
NonMatch/letters_on_digits,RE2,4096,44.47,0
