Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
RealWorld/date,CTRE,1024,550.45,0.88,549.58,551.79,550.20,549.36,551.54,10000
RealWorld/date,CTRE,128,70.09,4.21,68.11,77.62,68.17,64.86,75.32,10000
RealWorld/date,CTRE,16,8.34,0.21,8.23,8.72,8.24,8.08,8.61,10000
RealWorld/date,CTRE,16384,9250.21,4.89,9245.21,9255.34,9249.38,9244.14,9256.28,10000
RealWorld/date,CTRE,2048,1165.17,0.71,1164.34,1166.26,1165.03,1164.29,1166.06,10000
RealWorld/date,CTRE,256,137.69,0.37,137.12,138.02,137.78,137.24,138.15,10000
RealWorld/date,CTRE,32,16.74,0.01,16.73,16.75,16.73,16.72,16.75,10000
RealWorld/date,CTRE,32768,18490.34,15.38,18476.24,18516.42,18485.99,18471.24,18509.44,10000
RealWorld/date,CTRE,4096,2317.03,1.24,2315.72,2318.39,2317.37,2315.49,2318.58,10000
RealWorld/date,CTRE,512,269.11,0.37,268.80,269.71,269.07,268.65,269.58,10000
RealWorld/date,CTRE,64,34.32,0.44,34.05,35.07,34.07,33.77,34.86,10000
RealWorld/date,CTRE,8192,4631.45,9.21,4624.14,4647.37,4629.37,4620.01,4642.88,10000
RealWorld/date,Hyperscan,1024,586.38,1.23,584.46,587.49,586.89,584.85,587.90,10000
RealWorld/date,Hyperscan,128,106.95,0.50,106.08,107.25,107.20,106.33,107.57,10000
RealWorld/date,Hyperscan,16,53.95,0.34,53.61,54.36,53.84,53.53,54.37,10000
RealWorld/date,Hyperscan,16384,8798.58,4.91,8794.07,8806.51,8796.29,8792.48,8804.69,10000
RealWorld/date,Hyperscan,2048,1134.63,0.47,1134.10,1135.24,1134.57,1134.04,1135.22,10000
RealWorld/date,Hyperscan,256,176.20,0.41,175.60,176.73,176.17,175.70,176.71,10000
RealWorld/date,Hyperscan,32,83.57,1.13,82.40,85.37,83.34,82.17,84.97,10000
RealWorld/date,Hyperscan,32768,17566.64,2.99,17562.27,17570.48,17567.35,17562.93,17570.36,10000
RealWorld/date,Hyperscan,4096,2231.07,2.76,2229.45,2235.91,2229.62,2227.64,2234.51,10000
