Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
RealWorld/date,CTRE-Scalar,1024,585.71,0.91,584.34,586.70,585.80,584.58,586.84,10000
RealWorld/date,CTRE-Scalar,128,68.41,0.12,68.31,68.55,68.32,68.25,68.56,10000
RealWorld/date,CTRE-Scalar,16,8.95,0.00,8.95,8.95,8.95,0.00,nan,10000
RealWorld/date,CTRE-Scalar,16384,8983.64,10.00,8970.44,8998.58,8983.30,8971.23,8996.05,10000
RealWorld/date,CTRE-Scalar,2048,1146.08,20.40,1136.06,1182.51,1136.64,1120.75,1171.41,10000
RealWorld/date,CTRE-Scalar,256,142.43,0.72,141.82,143.47,141.99,141.54,143.32,10000
RealWorld/date,CTRE-Scalar,32,16.14,0.99,15.59,17.88,15.59,14.91,17.38,10000
RealWorld/date,CTRE-Scalar,32768,17948.77,16.08,17938.12,17976.98,17944.48,17928.81,17968.73,10000
RealWorld/date,CTRE-Scalar,4096,2259.92,5.64,2255.36,2269.32,2257.79,2252.92,2266.93,10000
RealWorld/date,CTRE-Scalar,512,290.49,8.37,285.49,305.39,287.19,280.10,300.88,10000
RealWorld/date,CTRE-Scalar,64,32.48,1.98,31.46,36.00,31.52,30.02,34.94,10000
RealWorld/date,CTRE-Scalar,8192,4531.60,80.60,4493.47,4675.69,4494.22,4431.52,4631.68,10000
RealWorld/date,Hyperscan,1024,586.69,0.97,585.50,587.54,587.29,585.49,587.89,10000
RealWorld/date,Hyperscan,128,106.39,0.37,105.89,106.89,106.45,105.93,106.85,10000
RealWorld/date,Hyperscan,16,54.51,1.70,53.23,57.37,53.65,52.40,56.63,10000
RealWorld/date,Hyperscan,16384,8798.57,6.10,8792.62,8808.72,8796.38,8790.99,8806.14,10000
RealWorld/date,Hyperscan,2048,1136.01,1.25,1134.46,1137.68,1135.62,1134.46,1137.57,10000
RealWorld/date,Hyperscan,256,175.58,0.69,174.76,176.22,175.87,174.73,176.44,10000
RealWorld/date,Hyperscan,32,82.68,0.25,82.45,83.08,82.57,82.37,82.99,10000
RealWorld/date,Hyperscan,32768,17571.01,7.59,17563.33,17579.64,17567.45,17561.58,17580.43,10000
RealWorld/date,Hyperscan,4096,2229.52,2.02,2227.83,2232.78,2229.07,2227.01,2232.03,10000
RealWorld/date,Hyperscan,512,311.74,0.21,311.37,311.92,311.81,311.47,312.00,10000
RealWorld/date,Hyperscan,64,73.97,1.10,72.87,75.34,73.36,72.60,75.34,10000
RealWorld/date,Hyperscan,8192,4423.99,4.59,4420.30,4429.60,4421.29,4418.29,4429.69,10000
RealWorld/date,PCRE2,1024,499.33,0.78,498.35,500.12,499.26,498.36,500.30,10000
RealWorld/date,PCRE2,128,73.71,1.43,72.30,75.67,73.42,71.94,75.48,10000
RealWorld/date,PCRE2,16,23.94,0.20,23.78,24.18,23.80,23.69,24.19,10000
