Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
RealWorld/date,CTRE-SIMD,1024,50.57,0.74,49.53,51.58,50.71,49.65,51.50,10000
RealWorld/date,CTRE-SIMD,128,29.03,0.26,28.80,29.35,28.88,28.71,29.36,10000
RealWorld/date,CTRE-SIMD,16,11.39,0.01,11.38,11.40,11.39,11.38,11.40,10000
RealWorld/date,CTRE-SIMD,16384,368.35,2.56,366.01,372.10,367.23,365.17,371.53,10000
RealWorld/date,CTRE-SIMD,2048,69.40,0.70,68.24,70.13,69.57,68.53,70.28,10000
RealWorld/date,CTRE-SIMD,256,33.96,0.07,33.89,34.05,33.94,33.87,34.04,10000
RealWorld/date,CTRE-SIMD,32,15.74,0.95,15.28,17.44,15.31,14.56,16.92,10000
RealWorld/date,CTRE-SIMD,32768,811.51,2.93,807.87,814.54,810.95,807.88,815.15,10000
RealWorld/date,CTRE-SIMD,4096,114.93,0.90,113.73,115.81,115.42,113.82,116.04,10000
RealWorld/date,CTRE-SIMD,512,35.74,0.13,35.61,35.93,35.71,35.57,35.90,10000
RealWorld/date,CTRE-SIMD,64,26.59,0.69,26.25,27.83,26.28,25.73,27.45,10000
RealWorld/date,CTRE-SIMD,8192,196.03,3.15,193.75,201.39,194.86,192.11,199.94,10000
RealWorld/date,Hyperscan,1024,586.37,1.37,584.95,588.06,585.92,584.66,588.07,10000
RealWorld/date,Hyperscan,128,107.02,0.69,106.27,107.79,107.02,106.17,107.88,10000
RealWorld/date,Hyperscan,16,53.70,0.36,53.40,54.24,53.53,53.25,54.15,10000
RealWorld/date,Hyperscan,16384,8798.98,2.62,8796.80,8802.86,8797.54,8795.72,8802.23,10000
RealWorld/date,Hyperscan,2048,1135.87,0.25,1135.58,1136.22,1135.93,1135.57,1136.18,10000
RealWorld/date,Hyperscan,256,174.68,0.66,173.83,175.50,174.69,173.87,175.50,10000
RealWorld/date,Hyperscan,32,82.60,0.17,82.32,82.78,82.64,82.39,82.81,10000
