Running category: scaling
Pattern,Engine,Input_Size,Time_ns,Matches
Scaling/alt_2,CTRE,16,22.37,10000
Scaling/alt_2,RE2,16,72.25,10000
Scaling/alt_2,PCRE2,16,53.04,10000
Scaling/alt_2,Hyperscan,16,58.44,10000
Scaling/alt_2,std::regex,16,741.53,2000
Scaling/alt_2,CTRE,32,57.05,10000
Scaling/alt_2,RE2,32,93.09,10000
Scaling/alt_2,PCRE2,32,98.62,10000
Scaling/alt_2,Hyperscan,32,83.11,10000
Scaling/alt_2,std::regex,32,1508.92,2000
Scaling/alt_2,CTRE,64,196.73,10000
Scaling/alt_2,RE2,64,137.70,10000
Scaling/alt_2,PCRE2,64,260.36,10000
Scaling/alt_2,Hyperscan,64,142.88,10000
Scaling/alt_2,std::regex,64,3319.10,2000
Scaling/alt_2,CTRE,128,425.13,10000
Scaling/alt_2,RE2,128,227.96,10000
Scaling/alt_2,PCRE2,128,549.60,10000
Scaling/alt_2,Hyperscan,128,372.72,10000
Scaling/alt_2,std::regex,128,6916.94,2000
Scaling/alt_2,CTRE,256,866.96,10000
Scaling/alt_2,RE2,256,406.49,10000
Scaling/alt_2,PCRE2,256,1097.66,10000
Scaling/alt_2,Hyperscan,256,656.16,10000
Scaling/alt_2,std::regex,256,14299.62,2000
Scaling/alt_2,CTRE,512,1740.64,10000
Scaling/alt_2,RE2,512,764.18,10000
Scaling/alt_2,PCRE2,512,2191.99,10000
Scaling/alt_2,Hyperscan,512,1202.87,10000
Scaling/alt_2,std::regex,512,29133.13,2000
Scaling/alt_2,CTRE,1024,3486.25,10000
Scaling/alt_2,RE2,1024,1497.39,10000
Scaling/alt_2,PCRE2,1024,4400.56,10000
Scaling/alt_2,Hyperscan,1024,2301.03,10000
Scaling/alt_2,std::regex,1024,59913.28,2000
Scaling/alt_2,CTRE,2048,6943.31,10000
Scaling/alt_2,RE2,2048,2924.69,10000
Scaling/alt_2,PCRE2,2048,8852.12,10000
Scaling/alt_2,Hyperscan,2048,4509.63,10000
Scaling/alt_2,std::regex,2048,136172.75,2000
Scaling/alt_2,CTRE,4096,13896.91,10000
Scaling/alt_2,RE2,4096,5776.49,10000
Scaling/alt_2,PCRE2,4096,18334.78,10000
Scaling/alt_2,Hyperscan,4096,8888.98,10000
Scaling/alt_2,std::regex,4096,277620.29,2000
Scaling/alt_2,CTRE,8192,27788.22,10000
Scaling/alt_2,RE2,8192,11506.61,10000
Scaling/alt_2,PCRE2,8192,36676.00,10000
Scaling/alt_2,Hyperscan,8192,17676.93,10000
Scaling/alt_2,std::regex,8192,586349.66,2000
Scaling/alt_2,CTRE,16384,55679.26,10000
Scaling/alt_2,RE2,16384,23368.92,10000
Scaling/alt_2,PCRE2,16384,70270.24,0
WARNING: PCRE2 alt_2@16384 matches=0 expected=10000 (0.0%)
Scaling/alt_2,Hyperscan,16384,35259.24,10000
Scaling/alt_2,CTRE,32768,111042.13,10000
Scaling/alt_2,RE2,32768,46663.48,10000
Scaling/alt_2,PCRE2,32768,70403.08,0
WARNING: PCRE2 alt_2@32768 matches=0 expected=10000 (0.0%)
