Running category: scaling
Pattern,Engine,Input_Size,Time_ns,Matches
Scaling/alt_2,CTRE-Scalar,16,7.19,10000
Scaling/alt_2,RE2,16,73.17,10000
Scaling/alt_2,PCRE2,16,52.63,10000
Scaling/alt_2,Hyperscan,16,53.42,10000
Scaling/alt_2,std::regex,16,741.82,2000
Scaling/alt_2,CTRE-Scalar,32,13.54,10000
Scaling/alt_2,RE2,32,96.00,10000
Scaling/alt_2,PCRE2,32,98.60,10000
Scaling/alt_2,Hyperscan,32,83.38,10000
Scaling/alt_2,std::regex,32,1544.28,2000
Scaling/alt_2,CTRE-Scalar,64,27.20,10000
Scaling/alt_2,RE2,64,139.14,10000
Scaling/alt_2,PCRE2,64,254.54,10000
Scaling/alt_2,Hyperscan,64,142.26,10000
Scaling/alt_2,std::regex,64,3332.27,2000
Scaling/alt_2,CTRE-Scalar,128,53.70,10000
Scaling/alt_2,RE2,128,227.17,10000
Scaling/alt_2,PCRE2,128,548.13,10000
Scaling/alt_2,Hyperscan,128,371.86,10000
Scaling/alt_2,std::regex,128,6943.79,2000
Scaling/alt_2,CTRE-Scalar,256,113.87,10000
Scaling/alt_2,RE2,256,406.07,10000
Scaling/alt_2,PCRE2,256,1099.52,10000
Scaling/alt_2,Hyperscan,256,655.45,10000
Scaling/alt_2,std::regex,256,14618.34,2000
Scaling/alt_2,CTRE-Scalar,512,221.66,10000
Scaling/alt_2,RE2,512,763.96,10000
Scaling/alt_2,PCRE2,512,2193.81,10000
Scaling/alt_2,Hyperscan,512,1199.92,10000
Scaling/alt_2,std::regex,512,29640.42,2000
Scaling/alt_2,CTRE-Scalar,1024,435.95,10000
Scaling/alt_2,RE2,1024,1495.04,10000
Scaling/alt_2,PCRE2,1024,4402.91,10000
Scaling/alt_2,Hyperscan,1024,2296.27,10000
Scaling/alt_2,std::regex,1024,60172.33,2000
Scaling/alt_2,CTRE-Scalar,2048,873.13,10000
Scaling/alt_2,RE2,2048,2915.30,10000
Scaling/alt_2,PCRE2,2048,8856.71,10000
Scaling/alt_2,Hyperscan,2048,4500.56,10000
Scaling/alt_2,std::regex,2048,132622.52,2000
Scaling/alt_2,CTRE-Scalar,4096,1743.16,10000
Scaling/alt_2,RE2,4096,5784.10,10000
Scaling/alt_2,PCRE2,4096,18325.67,10000
Scaling/alt_2,Hyperscan,4096,8886.08,10000
Scaling/alt_2,std::regex,4096,284280.68,2000
Scaling/alt_2,CTRE-Scalar,8192,3480.61,10000
Scaling/alt_2,RE2,8192,11534.94,10000
Scaling/alt_2,PCRE2,8192,36571.76,10000
Scaling/alt_2,Hyperscan,8192,17667.59,10000
Scaling/alt_2,std::regex,8192,590040.46,2000
Scaling/alt_2,CTRE-Scalar,16384,6959.54,10000
Scaling/alt_2,RE2,16384,23378.14,10000
Scaling/alt_2,PCRE2,16384,70790.36,0
WARNING: PCRE2 alt_2@16384 matches=0 expected=10000 (0.0%)
Scaling/alt_2,Hyperscan,16384,35241.19,10000
Scaling/alt_2,CTRE-Scalar,32768,13923.01,10000
Scaling/alt_2,RE2,32768,46845.22,10000
Scaling/alt_2,PCRE2,32768,70801.44,0
WARNING: PCRE2 alt_2@32768 matches=0 expected=10000 (0.0%)
