Running category: scaling
Pattern,Engine,Input_Size,Time_ns,Matches
Scaling/alt_2,CTRE-SIMD,16,22.43,10000
Scaling/alt_2,RE2,16,73.26,10000
Scaling/alt_2,PCRE2,16,52.54,10000
Scaling/alt_2,Hyperscan,16,53.03,10000
Scaling/alt_2,std::regex,16,737.71,2000
Scaling/alt_2,CTRE-SIMD,32,3.71,10000
Scaling/alt_2,RE2,32,94.32,10000
Scaling/alt_2,PCRE2,32,98.45,10000
Scaling/alt_2,Hyperscan,32,83.86,10000
Scaling/alt_2,std::regex,32,1540.50,2000
Scaling/alt_2,CTRE-SIMD,64,2.92,10000
Scaling/alt_2,RE2,64,138.04,10000
Scaling/alt_2,PCRE2,64,253.63,10000
Scaling/alt_2,Hyperscan,64,142.83,10000
Scaling/alt_2,std::regex,64,3362.21,2000
Scaling/alt_2,CTRE-SIMD,128,3.76,10000
Scaling/alt_2,RE2,128,228.30,10000
Scaling/alt_2,PCRE2,128,545.94,10000
Scaling/alt_2,Hyperscan,128,380.41,10000
Scaling/alt_2,std::regex,128,7033.17,2000
Scaling/alt_2,CTRE-SIMD,256,5.90,10000
Scaling/alt_2,RE2,256,405.96,10000
Scaling/alt_2,PCRE2,256,1097.30,10000
Scaling/alt_2,Hyperscan,256,660.80,10000
Scaling/alt_2,std::regex,256,14558.64,2000
Scaling/alt_2,CTRE-SIMD,512,10.29,10000
Scaling/alt_2,RE2,512,764.24,10000
Scaling/alt_2,PCRE2,512,2201.19,10000
Scaling/alt_2,Hyperscan,512,1202.43,10000
Scaling/alt_2,std::regex,512,30017.91,2000
Scaling/alt_2,CTRE-SIMD,1024,22.22,10000
Scaling/alt_2,RE2,1024,1498.93,10000
Scaling/alt_2,PCRE2,1024,4402.40,10000
Scaling/alt_2,Hyperscan,1024,2300.88,10000
Scaling/alt_2,std::regex,1024,65524.90,2000
Scaling/alt_2,CTRE-SIMD,2048,42.38,10000
Scaling/alt_2,RE2,2048,2942.12,10000
Scaling/alt_2,PCRE2,2048,8857.61,10000
Scaling/alt_2,Hyperscan,2048,4502.28,10000
Scaling/alt_2,std::regex,2048,135431.26,2000
Scaling/alt_2,CTRE-SIMD,4096,80.05,10000
Scaling/alt_2,RE2,4096,5785.59,10000
Scaling/alt_2,PCRE2,4096,18332.48,10000
Scaling/alt_2,Hyperscan,4096,8884.85,10000
Scaling/alt_2,std::regex,4096,285157.40,2000
Scaling/alt_2,CTRE-SIMD,8192,157.07,10000
Scaling/alt_2,RE2,8192,11516.92,10000
Scaling/alt_2,PCRE2,8192,36618.31,10000
Scaling/alt_2,Hyperscan,8192,17676.66,10000
Scaling/alt_2,std::regex,8192,595736.57,2000
Scaling/alt_2,CTRE-SIMD,16384,318.21,10000
Scaling/alt_2,RE2,16384,23298.47,10000
Scaling/alt_2,PCRE2,16384,73461.61,0
WARNING: PCRE2 alt_2@16384 matches=0 expected=10000 (0.0%)
Scaling/alt_2,Hyperscan,16384,35241.90,10000
Scaling/alt_2,CTRE-SIMD,32768,754.38,10000
Scaling/alt_2,RE2,32768,46757.24,10000
Scaling/alt_2,PCRE2,32768,70810.20,0
WARNING: PCRE2 alt_2@32768 matches=0 expected=10000 (0.0%)
