Pattern,Engine,Input_Size,Time_ns,Matches
Simple/digits,CTRE-SIMD,16,7.85,10000
Simple/digits,RE2,16,74.22,10000
Simple/digits,PCRE2,16,21.95,10000
Simple/digits,Hyperscan,16,52.69,10000
Simple/digits,std::regex,16,337.69,2000
Simple/digits,CTRE-SIMD,32,2.92,10000
Simple/digits,RE2,32,97.96,10000
Simple/digits,PCRE2,32,27.58,10000
Simple/digits,Hyperscan,32,83.76,10000
Simple/digits,std::regex,32,699.59,2000
Simple/digits,CTRE-SIMD,64,2.18,10000
Simple/digits,RE2,64,139.5,10000
Simple/digits,PCRE2,64,35.13,10000
Simple/digits,Hyperscan,64,72.67,10000
Simple/digits,std::regex,64,1292.58,2000
Simple/digits,CTRE-SIMD,128,3.18,10000
Simple/digits,RE2,128,228.27,10000
Simple/digits,PCRE2,128,51.9,10000
Simple/digits,Hyperscan,128,106.43,10000
Simple/digits,std::regex,128,2633.2,2000
Simple/digits,CTRE-SIMD,256,5.74,10000
Simple/digits,RE2,256,406.4,10000
Simple/digits,PCRE2,256,87.04,10000
Simple/digits,Hyperscan,256,175.33,10000
Simple/digits,std::regex,256,4327.65,2000
Simple/digits,CTRE-SIMD,512,10.2,10000
Simple/digits,RE2,512,765.53,10000
Simple/digits,PCRE2,512,162.54,10000
Simple/digits,Hyperscan,512,312.17,10000
Simple/digits,std::regex,512,9454.03,2000
Simple/digits,CTRE-SIMD,1024,22.15,10000
Simple/digits,RE2,1024,1501.41,10000
Simple/digits,PCRE2,1024,300.94,10000
Simple/digits,Hyperscan,1024,586.28,10000
Simple/digits,std::regex,1024,17699.12,2000
Simple/digits,CTRE-SIMD,2048,39.85,10000
Simple/digits,RE2,2048,2942.5,10000
Simple/digits,PCRE2,2048,588.49,10000
Simple/digits,Hyperscan,2048,1135.09,10000
Simple/digits,std::regex,2048,42508.88,2000
Simple/digits,CTRE-SIMD,4096,78.81,10000
Simple/digits,RE2,4096,5778.65,10000
Simple/digits,PCRE2,4096,1127.71,10000
Simple/digits,Hyperscan,4096,2228.33,10000
Simple/digits,std::regex,4096,99845.25,2000
Simple/digits,CTRE-SIMD,8192,156.35,10000
Simple/digits,RE2,8192,11510.06,10000
Simple/digits,PCRE2,8192,2234.11,10000
Simple/digits,Hyperscan,8192,4414.12,10000
Simple/digits,std::regex,8192,226644.39,2000
Simple/digits,CTRE-SIMD,16384,315.44,10000
Simple/digits,RE2,16384,22966.23,10000
Simple/digits,PCRE2,16384,4427.35,10000
Simple/digits,Hyperscan,16384,8799.13,10000
Simple/digits,CTRE-SIMD,32768,757.14,10000
Simple/digits,RE2,32768,45914.47,10000
Simple/digits,PCRE2,32768,8841.93,10000
Simple/digits,Hyperscan,32768,17562.62,10000
Simple/lowercase,CTRE-SIMD,16,7.62,10000
Simple/lowercase,RE2,16,74.63,10000
Simple/lowercase,PCRE2,16,22.03,10000
Simple/lowercase,Hyperscan,16,54.08,10000
Simple/lowercase,std::regex,16,343.64,2000
Simple/lowercase,CTRE-SIMD,32,4.49,10000
Simple/lowercase,RE2,32,95.26,10000
Simple/lowercase,PCRE2,32,27.15,10000
Simple/lowercase,Hyperscan,32,83.68,10000
Simple/lowercase,std::regex,32,698.59,2000
Simple/lowercase,CTRE-SIMD,64,4.01,10000
Simple/lowercase,RE2,64,139.12,10000
Simple/lowercase,PCRE2,64,35.97,10000
Simple/lowercase,Hyperscan,64,74.61,10000
Simple/lowercase,std::regex,64,1322.38,2000
Simple/lowercase,CTRE-SIMD,128,5.24,10000
Simple/lowercase,RE2,128,229.93,10000
Simple/lowercase,PCRE2,128,52.83,10000
Simple/lowercase,Hyperscan,128,107.67,10000
Simple/lowercase,std::regex,128,2591.43,2000
Simple/lowercase,CTRE-SIMD,256,6.52,10000
Simple/lowercase,RE2,256,405.68,10000
Simple/lowercase,PCRE2,256,86.88,10000
Simple/lowercase,Hyperscan,256,175.91,10000
Simple/lowercase,std::regex,256,4515.46,2000
Simple/lowercase,CTRE-SIMD,512,11.44,10000
Simple/lowercase,RE2,512,787.36,10000
Simple/lowercase,PCRE2,512,162.47,10000
Simple/lowercase,Hyperscan,512,312.3,10000
Simple/lowercase,std::regex,512,9965.95,2000
Simple/lowercase,CTRE-SIMD,1024,23.07,10000
Simple/lowercase,RE2,1024,1484.26,10000
Simple/lowercase,PCRE2,1024,301.82,10000
Simple/lowercase,Hyperscan,1024,586.65,10000
Simple/lowercase,std::regex,1024,17324.43,2000
Simple/lowercase,CTRE-SIMD,2048,43.28,10000
Simple/lowercase,RE2,2048,2926.38,10000
Simple/lowercase,PCRE2,2048,576.78,10000
Simple/lowercase,Hyperscan,2048,1133.77,10000
Simple/lowercase,std::regex,2048,44289.79,2000
Simple/lowercase,CTRE-SIMD,4096,83.35,10000
Simple/lowercase,RE2,4096,5804.97,10000
Simple/lowercase,PCRE2,4096,1126.61,10000
Simple/lowercase,Hyperscan,4096,2233.01,10000
Simple/lowercase,std::regex,4096,94400.97,2000
Simple/lowercase,CTRE-SIMD,8192,164.88,10000
Simple/lowercase,RE2,8192,11565.95,10000
