Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Simple/alphanumeric,CTRE,1024,1615.16,6.45,1607.59,1621.62,1616.10,1607.16,1623.17,10000
Simple/alphanumeric,CTRE,128,189.74,3.64,186.96,195.46,187.85,185.22,194.26,10000
Simple/alphanumeric,CTRE,16,17.39,0.12,17.28,17.60,17.36,17.24,17.54,10000
Simple/alphanumeric,CTRE,16384,25748.93,107.61,25580.59,25848.96,25751.21,25615.32,25882.55,10000
Simple/alphanumeric,CTRE,2048,3229.38,11.80,3208.40,3236.60,3234.26,3214.73,3244.03,10000
Simple/alphanumeric,CTRE,256,397.70,3.80,394.06,401.93,395.84,392.98,402.42,10000
Simple/alphanumeric,CTRE,32,36.56,0.25,36.34,36.97,36.45,36.25,36.86,10000
Simple/alphanumeric,CTRE,32768,51208.70,47.36,51157.90,51256.80,51220.34,51149.89,51267.51,10000
Simple/alphanumeric,CTRE,4096,6417.30,23.70,6398.56,6457.68,6409.71,6387.87,6446.72,10000
Simple/alphanumeric,CTRE,512,811.59,1.58,809.90,813.40,810.81,809.62,813.56,10000
Simple/alphanumeric,CTRE,64,83.87,0.15,83.72,84.09,83.87,83.68,84.05,10000
Simple/alphanumeric,CTRE,8192,12880.55,40.04,12835.02,12922.69,12883.04,12830.84,12930.27,10000
Simple/alphanumeric,Hyperscan,1024,590.01,4.98,586.24,597.21,586.77,583.82,596.19,10000
Simple/alphanumeric,Hyperscan,128,106.99,0.45,106.56,107.74,106.86,106.43,107.56,10000
Simple/alphanumeric,Hyperscan,16,53.08,0.54,52.43,53.74,52.93,52.40,53.75,10000
Simple/alphanumeric,Hyperscan,16384,8799.59,2.89,8795.71,8802.33,8800.57,8795.99,8803.18,10000
Simple/alphanumeric,Hyperscan,2048,1137.09,4.78,1133.64,1145.48,1135.65,1131.16,1143.02,10000
Simple/alphanumeric,Hyperscan,256,175.55,0.71,174.49,176.50,175.60,174.66,176.43,10000
Simple/alphanumeric,Hyperscan,32,84.04,0.75,83.04,84.90,84.35,83.11,84.97,10000
Simple/alphanumeric,Hyperscan,32768,17569.02,7.67,17556.73,17576.30,17571.62,17559.50,17578.54,10000
Simple/alphanumeric,Hyperscan,4096,2230.12,1.41,2228.49,2232.20,2229.60,2228.37,2231.88,10000
Simple/alphanumeric,Hyperscan,512,311.65,0.94,310.00,312.33,311.98,310.48,312.82,10000
Simple/alphanumeric,Hyperscan,64,73.75,0.66,72.76,74.57,73.73,72.94,74.57,10000
Simple/alphanumeric,Hyperscan,8192,4423.96,4.34,4416.87,4428.41,4425.06,4418.57,4429.35,10000
Simple/alphanumeric,PCRE2,1024,575.92,1.41,573.73,577.42,576.19,574.17,577.67,10000
Simple/alphanumeric,PCRE2,128,86.18,0.56,85.25,86.64,86.34,85.49,86.87,10000
Simple/alphanumeric,PCRE2,16,26.10,0.15,26.02,26.38,26.04,25.91,26.30,10000
Simple/alphanumeric,PCRE2,16384,8855.25,26.00,8833.44,8889.20,8839.33,8822.96,8887.54,10000
Simple/alphanumeric,PCRE2,2048,1127.20,1.81,1125.30,1129.34,1127.71,1124.96,1129.45,10000
Simple/alphanumeric,PCRE2,256,156.41,1.83,155.35,159.65,155.56,154.14,158.68,10000
Simple/alphanumeric,PCRE2,32,34.87,0.46,34.54,35.65,34.63,34.29,35.44,10000
Simple/alphanumeric,PCRE2,32768,17665.73,30.82,17646.37,17720.26,17656.16,17627.46,17704.00,10000
Simple/alphanumeric,PCRE2,4096,2237.65,16.00,2227.25,2265.73,2230.50,2217.78,2257.52,10000
Simple/alphanumeric,PCRE2,512,298.60,0.84,297.59,299.75,298.59,297.56,299.64,10000
Simple/alphanumeric,PCRE2,64,52.60,1.30,51.54,54.70,52.29,50.99,54.22,10000
Simple/alphanumeric,PCRE2,8192,4441.85,15.84,4429.47,4460.07,4431.57,4422.18,4461.52,10000
