Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Simple/alphanumeric,CTRE-Scalar,1024,1613.16,5.48,1604.26,1618.53,1615.05,1606.35,1619.96,10000
Simple/alphanumeric,CTRE-Scalar,128,188.16,2.72,185.87,191.92,186.57,184.78,191.54,10000
Simple/alphanumeric,CTRE-Scalar,16,17.35,0.06,17.28,17.43,17.35,17.28,17.42,10000
Simple/alphanumeric,CTRE-Scalar,16384,25690.22,114.20,25553.21,25813.09,25710.62,25548.43,25832.02,10000
Simple/alphanumeric,CTRE-Scalar,2048,3229.01,12.53,3208.70,3243.23,3231.14,3213.45,3244.57,10000
Simple/alphanumeric,CTRE-Scalar,256,400.01,6.56,394.81,410.32,396.84,391.86,408.15,10000
Simple/alphanumeric,CTRE-Scalar,32,37.19,0.74,36.60,38.46,37.02,36.27,38.11,10000
Simple/alphanumeric,CTRE-Scalar,32768,51247.29,104.98,51165.57,51406.88,51187.30,51116.94,51377.65,10000
Simple/alphanumeric,CTRE-Scalar,4096,6470.55,23.75,6454.45,6512.08,6460.92,6441.05,6500.04,10000
Simple/alphanumeric,CTRE-Scalar,512,807.26,2.68,804.90,811.86,806.34,803.93,810.60,10000
Simple/alphanumeric,CTRE-Scalar,64,83.77,0.24,83.55,84.07,83.69,83.47,84.07,10000
Simple/alphanumeric,CTRE-Scalar,8192,12900.32,55.98,12803.23,12948.22,12917.74,12830.81,12969.83,10000
Simple/alphanumeric,Hyperscan,1024,587.13,1.34,586.30,589.45,586.39,585.47,588.80,10000
Simple/alphanumeric,Hyperscan,128,107.00,0.71,106.04,108.00,107.04,106.13,107.88,10000
Simple/alphanumeric,Hyperscan,16,53.12,0.52,52.66,53.99,53.00,52.47,53.77,10000
Simple/alphanumeric,Hyperscan,16384,8804.23,3.80,8800.26,8810.22,8803.16,8799.51,8808.94,10000
Simple/alphanumeric,Hyperscan,2048,1136.61,2.35,1134.02,1139.89,1136.26,1133.70,1139.52,10000
Simple/alphanumeric,Hyperscan,256,175.88,1.01,174.85,177.46,175.86,174.62,177.13,10000
Simple/alphanumeric,Hyperscan,32,83.87,1.42,82.95,86.22,83.02,82.11,85.63,10000
Simple/alphanumeric,Hyperscan,32768,17572.84,1.36,17570.54,17574.07,17573.20,17571.15,17574.53,10000
Simple/alphanumeric,Hyperscan,4096,2230.12,0.96,2229.12,2231.58,2230.07,2228.93,2231.30,10000
Simple/alphanumeric,Hyperscan,512,312.19,0.96,311.08,313.47,312.23,311.00,313.38,10000
Simple/alphanumeric,Hyperscan,64,74.10,0.90,73.18,75.45,74.20,72.98,75.22,10000
Simple/alphanumeric,Hyperscan,8192,4420.29,1.03,4419.13,4421.18,4420.86,4419.01,4421.57,10000
Simple/alphanumeric,PCRE2,1024,575.53,1.47,573.77,577.64,575.08,573.71,577.36,10000
Simple/alphanumeric,PCRE2,128,87.02,0.29,86.76,87.41,86.90,86.66,87.38,10000
Simple/alphanumeric,PCRE2,16,26.07,0.13,25.97,26.23,25.98,25.91,26.23,10000
Simple/alphanumeric,PCRE2,16384,8845.74,10.67,8835.37,8861.25,8840.19,8832.49,8859.00,10000
Simple/alphanumeric,PCRE2,2048,1126.67,3.98,1123.29,1133.25,1124.90,1121.72,1131.61,10000
Simple/alphanumeric,PCRE2,256,154.59,0.61,154.12,155.57,154.37,153.84,155.34,10000
Simple/alphanumeric,PCRE2,32,35.05,0.79,34.48,36.30,34.55,34.06,36.03,10000
Simple/alphanumeric,PCRE2,32768,17666.90,10.58,17659.01,17684.32,17662.65,17653.76,17680.04,10000
Simple/alphanumeric,PCRE2,4096,2227.61,1.33,2225.44,2228.79,2228.20,2225.96,2229.26,10000
Simple/alphanumeric,PCRE2,512,300.34,4.47,297.60,308.28,298.62,294.79,305.90,10000
Simple/alphanumeric,PCRE2,64,52.34,0.89,51.35,53.27,52.54,51.24,53.45,10000
Simple/alphanumeric,PCRE2,8192,4431.14,4.99,4426.69,4438.89,4428.84,4424.94,4437.33,10000
Simple/alphanumeric,RE2,1024,1499.60,9.50,1490.63,1510.69,1494.13,1487.80,1511.40,10000
Simple/alphanumeric,RE2,128,229.36,2.39,227.07,233.36,228.62,226.39,232.32,10000
Simple/alphanumeric,RE2,16,74.50,0.11,74.38,74.64,74.51,74.37,74.64,10000
Simple/alphanumeric,RE2,16384,23180.22,128.12,23041.96,23329.73,23217.92,23021.14,23339.31,10000
Simple/alphanumeric,RE2,2048,2932.50,19.97,2916.66,2967.28,2927.54,2907.70,2957.30,10000
Simple/alphanumeric,RE2,256,410.29,2.94,406.63,414.42,409.31,406.64,413.94,10000
Simple/alphanumeric,RE2,32,94.14,0.75,93.61,95.44,93.85,93.21,95.07,10000
Simple/alphanumeric,RE2,32768,46326.00,244.87,46058.71,46649.15,46354.07,46021.95,46630.05,10000
Simple/alphanumeric,RE2,4096,5879.20,167.41,5790.93,6177.54,5809.30,5671.34,6087.07,10000
Simple/alphanumeric,RE2,512,776.16,14.72,764.52,799.26,769.16,757.89,794.44,10000
Simple/alphanumeric,RE2,64,139.04,0.84,138.41,140.44,138.59,138.00,140.08,10000
Simple/alphanumeric,RE2,8192,11567.73,32.25,11539.53,11617.58,11561.90,11527.69,11607.78,10000
Simple/alphanumeric,std::regex,1024,17907.09,480.04,17272.06,18308.88,18218.27,17311.05,18503.14,2000
