Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Simple/alphanumeric,CTRE-SIMD,1024,28.72,0.88,27.67,29.64,29.14,27.62,29.82,10000
Simple/alphanumeric,CTRE-SIMD,128,4.38,0.04,4.36,4.46,4.37,4.33,4.44,10000
Simple/alphanumeric,CTRE-SIMD,16,17.56,0.31,17.15,17.96,17.63,17.18,17.94,10000
Simple/alphanumeric,CTRE-SIMD,16384,434.98,1.43,433.44,437.23,434.97,433.20,436.76,10000
Simple/alphanumeric,CTRE-SIMD,2048,56.71,0.34,56.23,57.19,56.72,56.29,57.13,10000
Simple/alphanumeric,CTRE-SIMD,256,7.74,0.10,7.65,7.87,7.67,7.61,7.87,10000
Simple/alphanumeric,CTRE-SIMD,32,2.39,0.01,2.39,2.40,2.39,2.39,2.40,10000
Simple/alphanumeric,CTRE-SIMD,32768,943.78,2.08,940.19,945.58,944.25,941.20,946.37,10000
Simple/alphanumeric,CTRE-SIMD,4096,109.47,0.42,109.04,110.06,109.36,108.95,109.99,10000
Simple/alphanumeric,CTRE-SIMD,512,14.42,0.07,14.33,14.48,14.43,14.33,14.50,10000
Simple/alphanumeric,CTRE-SIMD,64,2.92,0.01,2.92,2.94,2.92,2.91,2.94,10000
Simple/alphanumeric,CTRE-SIMD,8192,221.06,0.88,219.59,221.69,221.54,219.96,222.15,10000
Simple/alphanumeric,Hyperscan,1024,586.98,1.02,586.13,588.66,586.98,585.71,588.26,10000
Simple/alphanumeric,Hyperscan,128,110.65,6.88,106.83,122.81,107.14,102.10,119.19,10000
Simple/alphanumeric,Hyperscan,16,52.89,0.33,52.45,53.32,52.81,52.47,53.30,10000
Simple/alphanumeric,Hyperscan,16384,8802.25,9.96,8788.46,8816.58,8801.87,8789.88,8814.62,10000
Simple/alphanumeric,Hyperscan,2048,1136.06,1.28,1134.62,1137.64,1135.69,1134.47,1137.64,10000
Simple/alphanumeric,Hyperscan,256,176.38,1.61,174.65,178.31,175.81,174.38,178.37,10000
Simple/alphanumeric,Hyperscan,32,84.32,0.47,83.79,84.84,84.36,83.74,84.90,10000
Simple/alphanumeric,Hyperscan,32768,17576.52,8.69,17566.18,17589.62,17576.28,17565.73,17587.31,10000
Simple/alphanumeric,Hyperscan,4096,2233.55,4.87,2230.12,2241.57,2230.87,2227.50,2239.60,10000
Simple/alphanumeric,Hyperscan,512,312.17,1.23,311.40,314.35,311.71,310.65,313.69,10000
Simple/alphanumeric,Hyperscan,64,73.43,1.28,72.38,74.93,72.58,71.84,75.02,10000
Simple/alphanumeric,Hyperscan,8192,4424.50,5.16,4420.61,4431.41,4421.17,4418.10,4430.91,10000
Simple/alphanumeric,PCRE2,1024,577.56,4.27,573.44,584.10,577.34,572.26,582.86,10000
Simple/alphanumeric,PCRE2,128,89.63,4.65,86.01,96.97,87.12,83.85,95.41,10000
Simple/alphanumeric,PCRE2,16,28.06,4.56,25.98,36.22,26.02,22.39,33.72,10000
Simple/alphanumeric,PCRE2,16384,8837.06,6.94,8829.12,8846.48,8835.71,8828.44,8845.67,10000
Simple/alphanumeric,PCRE2,2048,1128.12,4.73,1124.06,1136.00,1125.87,1122.25,1134.00,10000
Simple/alphanumeric,PCRE2,256,157.71,4.45,154.38,164.79,155.44,152.19,163.23,10000
Simple/alphanumeric,PCRE2,32,38.40,4.32,35.39,45.67,36.40,33.04,43.77,10000
Simple/alphanumeric,PCRE2,32768,17658.79,17.53,17642.19,17688.43,17653.95,17637.03,17680.55,10000
Simple/alphanumeric,PCRE2,4096,2229.38,4.77,2225.16,2236.84,2228.52,2223.45,2235.31,10000
Simple/alphanumeric,PCRE2,512,301.23,4.41,297.35,307.50,298.71,295.75,306.71,10000
Simple/alphanumeric,PCRE2,64,53.94,5.02,51.45,62.89,51.47,47.71,60.18,10000
Simple/alphanumeric,PCRE2,8192,4429.53,6.78,4423.18,4440.70,4427.80,4421.10,4437.95,10000
