Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Small/digits,CTRE,1,1.09,0.00,1.09,1.09,1.09,0.00,nan,10000
Small/digits,CTRE,10,4.72,0.55,4.47,5.70,4.48,4.04,5.40,10000
Small/digits,CTRE,11,5.15,0.47,4.94,5.99,4.94,4.57,5.73,10000
Small/digits,CTRE,12,5.37,0.00,5.37,5.38,5.37,5.37,5.38,10000
Small/digits,CTRE,13,6.16,0.64,5.86,7.30,5.88,5.37,6.95,10000
Small/digits,CTRE,14,6.89,0.92,6.39,8.52,6.40,5.74,8.03,10000
Small/digits,CTRE,15,6.90,0.01,6.89,6.91,6.90,6.89,6.91,10000
Small/digits,CTRE,16,7.53,0.26,7.41,7.99,7.41,7.21,7.85,10000
Small/digits,CTRE,2,1.36,0.01,1.35,1.37,1.36,1.35,1.37,10000
Small/digits,CTRE,3,1.68,0.00,1.68,1.68,1.68,1.68,1.68,10000
Small/digits,CTRE,4,2.04,0.01,2.03,2.04,2.04,2.03,2.04,10000
Small/digits,CTRE,5,2.41,0.00,2.41,2.42,2.41,2.41,2.42,10000
Small/digits,CTRE,6,2.80,0.01,2.80,2.81,2.80,2.80,2.81,10000
Small/digits,CTRE,7,3.19,0.00,3.19,3.19,3.19,0.00,nan,10000
Small/digits,CTRE,8,3.74,0.23,3.63,4.15,3.63,3.45,4.02,10000
Small/digits,CTRE,9,4.12,0.19,4.03,4.45,4.03,3.88,4.35,10000
Small/digits,Hyperscan,1,28.06,0.46,27.25,28.37,28.25,27.49,28.63,10000
Small/digits,Hyperscan,10,41.99,0.73,41.46,43.26,41.71,41.09,42.89,10000
Small/digits,Hyperscan,11,45.10,0.87,44.39,46.55,44.94,44.02,46.19,10000
Small/digits,Hyperscan,12,46.90,0.99,45.94,47.99,46.62,45.68,48.13,10000
Small/digits,Hyperscan,13,48.36,0.79,47.45,49.19,48.42,47.37,49.34,10000
Small/digits,Hyperscan,14,50.11,1.09,48.95,51.44,50.56,48.75,51.46,10000
Small/digits,Hyperscan,15,52.62,2.67,50.51,56.09,51.07,49.31,55.94,10000
Small/digits,Hyperscan,16,53.11,0.70,52.55,54.15,52.76,52.25,53.98,10000
Small/digits,Hyperscan,2,28.37,0.82,27.81,29.82,28.08,27.35,29.39,10000
Small/digits,Hyperscan,3,30.82,1.19,29.16,32.11,30.89,29.34,32.30,10000
Small/digits,Hyperscan,4,31.30,0.28,31.01,31.72,31.32,30.95,31.64,10000
Small/digits,Hyperscan,5,33.52,0.80,32.49,34.33,33.70,32.52,34.52,10000
Small/digits,Hyperscan,6,35.00,1.13,34.24,36.91,34.38,33.60,36.41,10000
Small/digits,Hyperscan,7,37.15,1.40,36.04,39.57,36.82,35.42,38.88,10000
Small/digits,Hyperscan,8,38.65,0.58,37.99,39.53,38.73,37.93,39.38,10000
Small/digits,Hyperscan,9,40.81,1.11,39.64,42.06,40.52,39.43,42.19,10000
Small/digits,PCRE2,1,18.58,0.99,17.70,19.80,18.20,17.35,19.80,10000
Small/digits,PCRE2,10,20.74,0.59,20.07,21.40,20.60,20.00,21.48,10000
Small/digits,PCRE2,11,20.72,0.41,20.38,21.34,20.55,20.22,21.23,10000
Small/digits,PCRE2,12,20.70,0.05,20.64,20.76,20.69,20.63,20.76,10000
Small/digits,PCRE2,13,21.11,0.35,20.92,21.73,20.95,20.67,21.54,10000
Small/digits,PCRE2,14,21.72,0.58,21.21,22.64,21.72,21.00,22.44,10000
Small/digits,PCRE2,15,21.76,0.56,21.45,22.76,21.53,21.07,22.46,10000
Small/digits,PCRE2,16,22.10,0.29,21.90,22.60,21.95,21.74,22.47,10000
Small/digits,PCRE2,2,18.64,0.78,17.76,19.26,19.17,17.68,19.60,10000
Small/digits,PCRE2,3,18.27,0.55,18.01,19.26,18.02,17.59,18.96,10000
Small/digits,PCRE2,4,18.30,0.03,18.27,18.34,18.29,18.26,18.33,10000
Small/digits,PCRE2,5,18.81,0.36,18.55,19.34,18.56,18.36,19.26,10000
Small/digits,PCRE2,6,19.00,0.35,18.82,19.62,18.85,18.57,19.43,10000
Small/digits,PCRE2,7,19.42,0.60,19.13,20.49,19.14,18.67,20.16,10000
Small/digits,PCRE2,8,19.74,0.59,19.42,20.79,19.50,19.01,20.47,10000
Small/digits,PCRE2,9,19.76,0.03,19.73,19.81,19.76,19.72,19.80,10000
Small/digits,RE2,1,28.27,0.90,27.53,29.48,27.78,27.16,29.38,10000
Small/digits,RE2,10,55.81,0.77,54.79,56.61,55.65,54.84,56.77,10000
Small/digits,RE2,11,60.69,1.37,59.28,62.70,60.81,59.00,62.39,10000
Small/digits,RE2,12,62.24,0.74,61.05,62.84,62.49,61.32,63.16,10000
Small/digits,RE2,13,65.44,0.78,64.43,66.28,65.81,64.48,66.41,10000
Small/digits,RE2,14,67.91,1.07,66.95,69.55,67.58,66.58,69.25,10000
Small/digits,RE2,15,71.86,0.86,70.53,72.90,71.96,70.79,72.93,10000
Small/digits,RE2,16,74.82,0.44,74.39,75.50,74.68,74.27,75.36,10000
Small/digits,RE2,2,31.75,0.48,31.16,32.40,31.75,31.15,32.35,10000
Small/digits,RE2,3,34.46,0.82,33.80,35.75,34.12,33.44,35.48,10000
Small/digits,RE2,4,38.11,0.39,37.70,38.72,37.99,37.63,38.58,10000
Small/digits,RE2,5,41.21,0.72,40.74,42.41,40.78,40.31,42.11,10000
Small/digits,RE2,6,44.31,0.58,43.59,45.16,44.19,43.58,45.04,10000
Small/digits,RE2,7,47.33,0.92,46.34,48.49,47.12,46.19,48.46,10000
Small/digits,RE2,8,50.51,0.50,49.79,50.93,50.76,49.89,51.12,10000
Small/digits,RE2,9,53.18,0.94,52.15,54.26,53.43,52.01,54.35,10000
Small/digits,std::regex,1,74.03,3.01,71.44,77.96,72.31,70.29,77.76,2000
Small/digits,std::regex,10,186.91,4.46,181.44,192.89,186.31,181.38,192.45,2000
Small/digits,std::regex,11,202.67,11.25,191.09,219.58,200.13,188.70,216.63,2000
Small/digits,std::regex,12,219.17,13.21,204.48,233.71,216.39,202.77,235.57,2000
Small/digits,std::regex,13,241.93,30.64,206.96,271.22,256.75,203.88,279.98,2000
Small/digits,std::regex,14,248.75,30.59,217.60,288.90,241.80,210.77,286.73,2000
Small/digits,std::regex,15,262.95,30.28,236.76,313.06,259.21,225.36,300.55,2000
Small/digits,std::regex,16,309.10,35.24,261.00,344.54,321.02,265.35,352.86,2000
Small/digits,std::regex,2,81.67,1.74,80.53,84.69,81.01,79.51,83.82,2000
Small/digits,std::regex,3,89.55,0.70,88.65,90.61,89.55,88.68,90.42,2000
Small/digits,std::regex,4,103.77,4.79,97.19,107.70,106.33,97.83,109.72,2000
Small/digits,std::regex,5,111.41,4.90,107.30,119.40,109.51,105.32,117.50,2000
Small/digits,std::regex,6,115.88,0.88,115.18,117.21,115.43,114.79,116.98,2000
Small/digits,std::regex,7,129.04,5.24,124.39,137.53,126.92,122.53,135.55,2000
Small/digits,std::regex,8,138.43,3.50,135.90,144.51,136.84,134.08,142.78,2000
Small/digits,std::regex,9,160.68,10.96,155.71,180.28,155.72,147.08,174.29,2000
