Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Small/digits,CTRE-Scalar,1,1.35,0.01,1.34,1.35,1.35,1.34,1.35,10000
Small/digits,CTRE-Scalar,10,4.86,0.37,4.69,5.53,4.70,4.40,5.33,10000
Small/digits,CTRE-Scalar,11,5.15,0.00,5.15,5.16,5.15,5.15,5.16,10000
Small/digits,CTRE-Scalar,12,5.81,0.24,5.70,6.24,5.71,5.52,6.11,10000
Small/digits,CTRE-Scalar,13,6.22,0.02,6.18,6.24,6.23,6.19,6.25,10000
Small/digits,CTRE-Scalar,14,6.70,0.00,6.70,6.71,6.70,6.70,6.71,10000
Small/digits,CTRE-Scalar,15,7.28,0.20,7.18,7.63,7.19,7.03,7.52,10000
Small/digits,CTRE-Scalar,16,7.73,0.01,7.72,7.75,7.72,7.71,7.74,10000
Small/digits,CTRE-Scalar,2,1.69,0.06,1.66,1.80,1.67,1.62,1.77,10000
Small/digits,CTRE-Scalar,3,2.04,0.01,2.02,2.05,2.04,2.02,2.05,10000
Small/digits,CTRE-Scalar,4,2.43,0.01,2.42,2.43,2.43,2.42,2.43,10000
Small/digits,CTRE-Scalar,5,2.79,0.00,2.79,2.80,2.79,2.79,2.80,10000
Small/digits,CTRE-Scalar,6,3.13,0.01,3.12,3.14,3.13,3.12,3.14,10000
Small/digits,CTRE-Scalar,7,3.53,0.02,3.51,3.56,3.52,3.50,3.55,10000
Small/digits,CTRE-Scalar,8,3.94,0.01,3.93,3.95,3.94,3.93,3.95,10000
Small/digits,CTRE-Scalar,9,4.34,0.01,4.33,4.34,4.34,4.33,4.34,10000
Small/digits,Hyperscan,1,27.79,1.02,26.73,28.88,27.90,26.52,29.05,10000
Small/digits,Hyperscan,10,42.75,0.71,41.89,43.65,42.60,41.87,43.63,10000
Small/digits,Hyperscan,11,44.92,0.74,44.02,45.96,45.02,44.00,45.84,10000
Small/digits,Hyperscan,12,46.71,0.75,46.00,47.92,46.42,45.78,47.65,10000
Small/digits,Hyperscan,13,48.70,0.67,47.69,49.37,48.98,47.88,49.53,10000
Small/digits,Hyperscan,14,49.22,0.39,48.69,49.55,49.43,48.74,49.70,10000
Small/digits,Hyperscan,15,51.92,1.88,50.60,55.00,50.86,49.58,54.26,10000
Small/digits,Hyperscan,16,53.17,0.75,52.53,54.12,52.82,52.24,54.10,10000
Small/digits,Hyperscan,2,29.18,0.97,27.91,30.09,29.51,27.97,30.39,10000
Small/digits,Hyperscan,3,30.03,0.90,29.22,31.35,29.52,28.91,31.16,10000
Small/digits,Hyperscan,4,31.65,0.42,31.21,32.23,31.60,31.13,32.17,10000
Small/digits,Hyperscan,5,34.43,1.29,33.23,36.35,34.15,32.83,36.03,10000
Small/digits,Hyperscan,6,35.44,0.69,34.61,36.39,35.44,34.59,36.29,10000
Small/digits,Hyperscan,7,38.13,0.74,37.13,38.98,38.17,37.21,39.05,10000
Small/digits,Hyperscan,8,39.22,1.01,37.95,40.28,39.41,37.97,40.47,10000
Small/digits,Hyperscan,9,41.06,0.73,40.29,41.92,41.23,40.16,41.97,10000
Small/digits,PCRE2,1,18.47,0.66,17.71,19.24,18.71,17.65,19.29,10000
Small/digits,PCRE2,10,20.21,0.07,20.14,20.28,20.22,20.13,20.29,10000
Small/digits,PCRE2,11,20.87,0.59,20.39,21.82,20.59,20.14,21.60,10000
Small/digits,PCRE2,12,20.80,0.09,20.69,20.93,20.78,20.69,20.91,10000
Small/digits,PCRE2,13,21.32,0.41,20.98,21.99,21.20,20.82,21.83,10000
Small/digits,PCRE2,14,21.88,0.44,21.40,22.36,21.97,21.33,22.43,10000
Small/digits,PCRE2,15,21.62,0.12,21.46,21.71,21.70,21.47,21.77,10000
Small/digits,PCRE2,16,21.99,0.15,21.82,22.23,21.95,21.80,22.17,10000
Small/digits,PCRE2,2,18.22,0.56,17.75,19.01,17.98,17.53,18.91,10000
Small/digits,PCRE2,3,18.43,0.54,17.99,19.16,18.07,17.75,19.11,10000
Small/digits,PCRE2,4,18.78,0.63,18.26,19.52,18.40,18.00,19.57,10000
