Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Small/digits,CTRE-SIMD,1,1.35,0.01,1.34,1.35,1.35,1.34,1.35,10000
Small/digits,CTRE-SIMD,10,4.82,0.01,4.81,4.83,4.82,4.81,4.83,10000
Small/digits,CTRE-SIMD,11,5.27,0.00,5.27,5.28,5.27,5.27,5.28,10000
Small/digits,CTRE-SIMD,12,5.77,0.01,5.77,5.79,5.77,5.76,5.79,10000
Small/digits,CTRE-SIMD,13,6.44,0.51,6.21,7.36,6.21,5.80,7.08,10000
Small/digits,CTRE-SIMD,14,6.61,0.01,6.60,6.62,6.60,6.59,6.62,10000
Small/digits,CTRE-SIMD,15,7.56,0.34,7.23,8.01,7.54,7.15,7.98,10000
Small/digits,CTRE-SIMD,16,8.07,0.36,7.85,8.67,7.86,7.63,8.51,10000
Small/digits,CTRE-SIMD,2,1.63,0.00,1.63,1.64,1.63,1.63,1.64,10000
Small/digits,CTRE-SIMD,3,2.05,0.00,2.04,2.05,2.05,2.04,2.05,10000
Small/digits,CTRE-SIMD,4,2.52,0.25,2.40,2.97,2.41,2.21,2.83,10000
Small/digits,CTRE-SIMD,5,2.73,0.01,2.72,2.73,2.73,2.72,2.73,10000
Small/digits,CTRE-SIMD,6,3.16,0.00,3.16,3.16,3.16,0.00,nan,10000
Small/digits,CTRE-SIMD,7,3.57,0.01,3.56,3.57,3.57,3.56,3.57,10000
Small/digits,CTRE-SIMD,8,3.95,0.01,3.94,3.95,3.95,3.94,3.95,10000
Small/digits,CTRE-SIMD,9,4.46,0.23,4.35,4.88,4.36,4.17,4.75,10000
Small/digits,Hyperscan,1,27.07,0.46,26.65,27.65,26.91,26.50,27.64,10000
Small/digits,Hyperscan,10,42.66,1.34,41.41,44.66,42.64,41.00,44.32,10000
Small/digits,Hyperscan,11,44.82,0.98,43.83,46.21,44.88,43.60,46.04,10000
Small/digits,Hyperscan,12,46.83,0.51,46.27,47.52,46.67,46.19,47.47,10000
Small/digits,Hyperscan,13,48.08,0.70,47.03,48.89,48.31,47.21,48.95,10000
Small/digits,Hyperscan,14,49.47,0.57,48.71,50.24,49.53,48.76,50.18,10000
Small/digits,Hyperscan,15,52.08,1.38,50.54,54.27,51.77,50.38,53.79,10000
